jogo,data,fase,equipe1,equipe2,gols1_real,gols2_real,placar_real,vencedor_real,status_real,fonte,placar_original,placar_penaltis_real,vencedor_penaltis_real,source_secondary
11,2026-06-14,Fase de grupos,Países Baixos,Japão,2,2,2-2,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760425 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Holanda 2 x 2 Japão,,,
12,2026-06-14,Fase de grupos,Suécia,Tunísia,5,1,5-1,Suécia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760424 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Suécia 5 x 1 Tunísia,,,
13,2026-06-15,Fase de grupos,Arábia Saudita,Uruguai,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760429 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Arábia Saudita 1 x 1 Uruguai,,,
14,2026-06-15,Fase de grupos,Espanha,Cabo Verde,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760428 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Espanha 0 x 0 Cabo Verde,,,
15,2026-06-15,Fase de grupos,Irã,Nova Zelândia,2,2,2-2,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760427 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Irã 2 x 2 Nova Zelândia,,,
16,2026-06-15,Fase de grupos,Bélgica,Egito,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760426 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Bélgica 1 x 1 Egito,,,
17,2026-06-16,Fase de grupos,França,Senegal,3,1,3-1,França,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760432 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),França 3 x 1 Senegal,,,
18,2026-06-16,Fase de grupos,Iraque,Noruega,1,4,1-4,Noruega,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Iraque 1 x 4 Noruega,,,
19,2026-06-16,Fase de grupos,Argentina,Argélia,3,0,3-0,Argentina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760433 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Argentina 3 x 0 Argélia,,,
20,2026-06-17,Fase de grupos,Áustria,Jordânia,3,1,3-1,Áustria,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760431 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Áustria 3 x 1 Jordânia,,,
21,2026-06-17,Fase de grupos,Gana,Panamá,1,0,1-0,Gana,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760434 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Gana 1 x 0 Panamá,,,
22,2026-06-17,Fase de grupos,Inglaterra,Croácia,4,2,4-2,Inglaterra,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760437 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Inglaterra 4 x 2 Croácia,,,
23,2026-06-17,Fase de grupos,Portugal,RD Congo,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760435 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Portugal 1 x 1 RD do Congo,,,
24,2026-06-17,Fase de grupos,Uzbequistão,Colômbia,1,3,1-3,Colômbia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760436 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Uzbequistão 1 x 3 Colômbia,,,
25,2026-06-18,Fase de grupos,Tchéquia,África do Sul,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760438 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Tchéquia 1 x 1 África do Sul,,,
26,2026-06-18,Fase de grupos,Suíça,Bósnia e Herzegovina,4,1,4-1,Suíça,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760439 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Suíça 4 x 1 Bósnia e Herzegovina,,,
27,2026-06-18,Fase de grupos,Canadá,Catar,6,0,6-0,Canadá,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760440 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Canadá 6 x 0 Catar,,,
28,2026-06-18,Fase de grupos,México,Coreia do Sul,1,0,1-0,México,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760441 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),México 1 x 0 República da Coreia,,,
29,2026-06-19,Fase de grupos,Brasil,Haiti,3,0,3-0,Brasil,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760444 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Brasil 3 x 0 Haiti,,,
30,2026-06-19,Fase de grupos,Escócia,Marrocos,0,1,0-1,Marrocos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760445 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Escócia 0 x 1 Marrocos,,,
31,2026-06-20,Fase de grupos,Turquia,Paraguai,0,1,0-1,Paraguai,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760443 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Turquia 0 x 1 Paraguai,,,
32,2026-06-19,Fase de grupos,Estados Unidos,Austrália,2,0,2-0,Estados Unidos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760442 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Estados Unidos 2 x 0 Austrália,,,
33,2026-06-20,Fase de grupos,Alemanha,Costa do Marfim,2,1,2-1,Alemanha,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760448 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Alemanha 2 x 1 Costa do Marfim,,,
34,2026-06-20,Fase de grupos,Equador,Curaçao,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760446 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Equador 0 x 0 Curaçao,,,
35,2026-06-20,Fase de grupos,Países Baixos,Suécia,5,1,5-1,Países Baixos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760447 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Holanda 5 x 1 Suécia,,,
36,2026-06-21,Fase de grupos,Tunísia,Japão,0,4,0-4,Japão,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760449 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Tunísia 0 x 4 Japão,,,
37,2026-06-21,Fase de grupos,Uruguai,Cabo Verde,2,2,2-2,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760450 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Uruguai 2 x 2 Cabo Verde,,,
38,2026-06-21,Fase de grupos,Espanha,Arábia Saudita,4,0,4-0,Espanha,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760453 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Espanha 4 x 0 Arábia Saudita,,,
39,2026-06-21,Fase de grupos,Bélgica,Irã,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760451 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Bélgica 0 x 0 Irã,,,
40,2026-06-21,Fase de grupos,Nova Zelândia,Egito,1,3,1-3,Egito,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760452 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Nova Zelândia 1 x 3 Egito,,,
41,2026-06-22,Fase de grupos,Noruega,Senegal,3,2,3-2,Noruega,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760454 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Noruega 3 x 2 Senegal,,,
42,2026-06-22,Fase de grupos,França,Iraque,3,0,3-0,França,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,França 3 x 0 Iraque,,,
43,2026-06-22,Fase de grupos,Argentina,Áustria,2,0,2-0,Argentina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760456 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Argentina 2 x 0 Áustria,,,
44,2026-06-23,Fase de grupos,Jordânia,Argélia,1,2,1-2,Argélia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760455 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Jordânia 1 x 2 Argélia,,,
45,2026-06-23,Fase de grupos,Inglaterra,Gana,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760458 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Inglaterra 0 x 0 Gana,,,
46,2026-06-23,Fase de grupos,Panamá,Croácia,0,1,0-1,Croácia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760460 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Panamá 0 x 1 Croácia,,,
47,2026-06-23,Fase de grupos,Portugal,Uzbequistão,5,0,5-0,Portugal,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760461 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Portugal 5 x 0 Uzbequistão,,,
48,2026-06-23,Fase de grupos,Colômbia,RD Congo,1,0,1-0,Colômbia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760459 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Colômbia 1 x 0 RD do Congo,,,
49,2026-06-24,Fase de grupos,Escócia,Brasil,0,3,0-3,Brasil,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760465 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Escócia 0 x 3 Brasil,,,
50,2026-06-24,Fase de grupos,Marrocos,Haiti,4,2,4-2,Marrocos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760464 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Marrocos 4 x 2 Haiti,,,
51,2026-06-24,Fase de grupos,Suíça,Canadá,2,1,2-1,Suíça,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760463 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Suíça 2 x 1 Canadá,,,
52,2026-06-24,Fase de grupos,Bósnia e Herzegovina,Catar,3,1,3-1,Bósnia e Herzegovina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760462 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Bósnia e Herzegovina 3 x 1 Catar,,,
53,2026-06-24,Fase de grupos,Tchéquia,México,0,3,0-3,México,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760467 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),República Tcheca 0 x 3 México,,,
54,2026-06-24,Fase de grupos,África do Sul,Coreia do Sul,1,0,1-0,África do Sul,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760466 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),África do Sul 1 x 0 República da Coreia,,,
55,2026-06-25,Fase de grupos,Curaçao,Costa do Marfim,0,2,0-2,Costa do Marfim,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760473 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Curaçao 0 x 2 Costa do Marfim,,,
56,2026-06-25,Fase de grupos,Equador,Alemanha,2,1,2-1,Equador,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760468 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Equador 2 x 1 Alemanha,,,
57,2026-06-25,Fase de grupos,Japão,Suécia,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760471 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Japão 1 x 1 Suécia,,,
58,2026-06-25,Fase de grupos,Tunísia,Países Baixos,1,3,1-3,Países Baixos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760472 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Tunísia 1 x 3 Holanda,,,
59,2026-06-25,Fase de grupos,Turquia,Estados Unidos,3,2,3-2,Turquia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760470 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Turquia 3 x 2 Estados Unidos,,,
60,2026-06-25,Fase de grupos,Paraguai,Austrália,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/ | ESPN public API event 760469 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Paraguai 0 x 0 Austrália,,,
61,2026-06-26,Fase de grupos,Noruega,França,1,4,1-4,França,Finalizado,https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/ | ESPN public API event 760475 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Noruega 1 x 4 França,,,
62,2026-06-26,Fase de grupos,Senegal,Iraque,5,0,5-0,Senegal,Finalizado,https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/,Senegal 5 x 0 Iraque,,,
63,2026-06-26,Fase de grupos,Egito,Irã,1,1,1-1,Empate,Finalizado,https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest | https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/ | ESPN public API event 760476 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Egito 1 x 1 Irã,,,
64,2026-06-26,Fase de grupos,Nova Zelândia,Bélgica,1,5,1-5,Bélgica,Finalizado,https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/ | ESPN public API event 760477 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Nova Zelândia 1 x 5 Bélgica,,,
65,2026-06-26,Fase de grupos,Cabo Verde,Arábia Saudita,0,0,0-0,Empate,Finalizado,https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live | ESPN public API event 760478 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Cabo Verde 0 x 0 Arábia Saudita,,,
66,2026-06-26,Fase de grupos,Uruguai,Espanha,0,1,0-1,Espanha,Finalizado,https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live | ESPN public API event 760479 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Uruguai 0 x 1 Espanha,,,
67,2026-06-27,Fase de grupos,Panamá,Inglaterra,0,2,0-2,Inglaterra,Finalizado,https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/ | ESPN public API event 760485 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Panamá 0 x 2 Inglaterra,,,
68,2026-06-27,Fase de grupos,Croácia,Gana,2,1,2-1,Croácia,Finalizado,https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/ | ESPN public API event 760480 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Croácia 2 x 1 Gana,,,
69,2026-06-27,Fase de grupos,Argélia,Áustria,3,3,3-3,Empate,Finalizado,https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/ | ESPN public API event 760484 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Argélia 3 x 3 Áustria,,,
70,2026-06-27,Fase de grupos,Jordânia,Argentina,1,3,1-3,Argentina,Finalizado,https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/ | ESPN public API event 760483 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Jordânia 1 x 3 Argentina,,,
71,2026-06-27,Fase de grupos,Colômbia,Portugal,0,0,0-0,Empate,Finalizado,https://www.reuters.com/sports/soccer/colombia-portugal-advance-after-no-bore-draw-miami-2026-06-28/ | https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html | ESPN public API event 760481 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),Colômbia 0 x 0 Portugal,,,
72,2026-06-27,Fase de grupos,RD Congo,Uzbequistão,3,1,3-1,RD Congo,Finalizado,https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/ | https://www.theguardian.com/football/live/2026/jun/27/dr-congo-v-uzbekistan-world-cup-2026-live | ESPN public API event 760482 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),RD Congo 3 x 1 Uzbequistão,,,
73,2026-06-28,16 avos de final,África do Sul,Canadá,0,1,0-1,Canadá,Finalizado,https://www.reuters.com/sports/soccer/canada-score-late-winner-advance-last-16-world-cup-2026-06-28/ | ESPN public API event 760486 (https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500),África do Sul 0 x 1 Canadá,,,
