jogo,data,diaSemana,horaET,horaLocal,fase,ordemFase,grupo,rodadaGrupo,equipe1,equipe2,confronto,estadio,cidade,pais,status
55,2026-06-25,Quinta-feira,16:00,16:00,Fase de grupos,1,E,3.0,Curaçao,Costa do Marfim,Curaçao x Costa do Marfim,Lincoln Financial Field,Philadelphia,Estados Unidos,Finalizado
56,2026-06-25,Quinta-feira,16:00,16:00,Fase de grupos,1,E,3.0,Equador,Alemanha,Equador x Alemanha,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado
57,2026-06-25,Quinta-feira,19:00,18:00,Fase de grupos,1,F,3.0,Japão,Suécia,Japão x Suécia,AT&T Stadium,Dallas,Estados Unidos,Finalizado
58,2026-06-25,Quinta-feira,19:00,18:00,Fase de grupos,1,F,3.0,Tunísia,Países Baixos,Tunísia x Países Baixos,Arrowhead Stadium,Kansas City,Estados Unidos,Finalizado
59,2026-06-25,Quinta-feira,22:00,19:00,Fase de grupos,1,D,3.0,Turquia,Estados Unidos,Turquia x Estados Unidos,SoFi Stadium,Los Angeles,Estados Unidos,Finalizado
60,2026-06-25,Quinta-feira,22:00,19:00,Fase de grupos,1,D,3.0,Paraguai,Austrália,Paraguai x Austrália,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Finalizado
61,2026-06-26,Sexta-feira,15:00,15:00,Fase de grupos,1,I,3.0,Noruega,França,Noruega x França,Gillette Stadium,Boston,Estados Unidos,Finalizado
62,2026-06-26,Sexta-feira,15:00,15:00,Fase de grupos,1,I,3.0,Senegal,Iraque,Senegal x Iraque,BMO Field,Toronto,Canadá,Finalizado
63,2026-06-26,Sexta-feira,23:00,20:00,Fase de grupos,1,G,3.0,Egito,Irã,Egito x Irã,Lumen Field,Seattle,Estados Unidos,Finalizado
64,2026-06-26,Sexta-feira,23:00,20:00,Fase de grupos,1,G,3.0,Nova Zelândia,Bélgica,Nova Zelândia x Bélgica,BC Place,Vancouver,Canadá,Finalizado
65,2026-06-26,Sexta-feira,20:00,19:00,Fase de grupos,1,H,3.0,Cabo Verde,Arábia Saudita,Cabo Verde x Arábia Saudita,NRG Stadium,Houston,Estados Unidos,Finalizado
66,2026-06-26,Sexta-feira,20:00,18:00,Fase de grupos,1,H,3.0,Uruguai,Espanha,Uruguai x Espanha,Estadio Akron,Guadalajara,México,Finalizado
67,2026-06-27,Sábado,17:00,17:00,Fase de grupos,1,L,3.0,Panamá,Inglaterra,Panamá x Inglaterra,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado
68,2026-06-27,Sábado,17:00,17:00,Fase de grupos,1,L,3.0,Croácia,Gana,Croácia x Gana,Lincoln Financial Field,Philadelphia,Estados Unidos,Finalizado
69,2026-06-27,Sábado,22:00,21:00,Fase de grupos,1,J,3.0,Argélia,Áustria,Argélia x Áustria,Arrowhead Stadium,Kansas City,Estados Unidos,Finalizado
70,2026-06-27,Sábado,22:00,21:00,Fase de grupos,1,J,3.0,Jordânia,Argentina,Jordânia x Argentina,AT&T Stadium,Dallas,Estados Unidos,Finalizado
71,2026-06-27,Sábado,19:30,19:30,Fase de grupos,1,K,3.0,Colômbia,Portugal,Colômbia x Portugal,Hard Rock Stadium,Miami,Estados Unidos,Finalizado
72,2026-06-27,Sábado,19:30,19:30,Fase de grupos,1,K,3.0,RD Congo,Uzbequistão,RD Congo x Uzbequistão,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Finalizado
73,2026-06-28,Domingo,15:00,12:00,16 avos de final,2,,,África do Sul,Canadá,África do Sul x Canadá,SoFi Stadium,Los Angeles,Estados Unidos,Rede neural
74,2026-06-29,Segunda-feira,16:30,16:30,16 avos de final,2,,,Alemanha,Paraguai,Alemanha x Paraguai,Gillette Stadium,Boston,Estados Unidos,Rede neural
75,2026-06-29,Segunda-feira,21:00,19:00,16 avos de final,2,,,Países Baixos,Marrocos,Países Baixos x Marrocos,Estadio BBVA,Monterrey,México,Rede neural
76,2026-06-29,Segunda-feira,13:00,12:00,16 avos de final,2,,,Brasil,Japão,Brasil x Japão,NRG Stadium,Houston,Estados Unidos,Finalizado
77,2026-06-30,Terça-feira,17:00,17:00,16 avos de final,2,,,França,Suécia,França x Suécia,MetLife Stadium,New York/New Jersey,Estados Unidos,Rede neural
78,2026-06-30,Terça-feira,13:00,12:00,16 avos de final,2,,,Costa do Marfim,Noruega,Costa do Marfim x Noruega,AT&T Stadium,Dallas,Estados Unidos,Rede neural
79,2026-06-30,Terça-feira,21:00,19:00,16 avos de final,2,,,México,Equador,México x Equador,Estadio Azteca,Mexico City,México,Rede neural
80,2026-07-01,Quarta-feira,12:00,12:00,16 avos de final,2,,,Inglaterra,RD Congo,Inglaterra x RD Congo,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Rede neural
81,2026-07-01,Quarta-feira,20:00,17:00,16 avos de final,2,,,Estados Unidos,Bósnia e Herzegovina,Estados Unidos x Bósnia e Herzegovina,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Rede neural
82,2026-07-01,Quarta-feira,16:00,13:00,16 avos de final,2,,,Bélgica,Senegal,Bélgica x Senegal,Lumen Field,Seattle,Estados Unidos,Rede neural
83,2026-07-02,Quinta-feira,19:00,19:00,16 avos de final,2,,,Portugal,Croácia,Portugal x Croácia,BMO Field,Toronto,Canadá,Rede neural
84,2026-07-02,Quinta-feira,15:00,12:00,16 avos de final,2,,,Espanha,Áustria,Espanha x Áustria,SoFi Stadium,Los Angeles,Estados Unidos,Rede neural
85,2026-07-02,Quinta-feira,23:00,20:00,16 avos de final,2,,,Suíça,Argélia,Suíça x Argélia,BC Place,Vancouver,Canadá,Rede neural
86,2026-07-03,Sexta-feira,18:00,18:00,16 avos de final,2,,,Argentina,Cabo Verde,Argentina x Cabo Verde,Hard Rock Stadium,Miami,Estados Unidos,Rede neural
87,2026-07-03,Sexta-feira,21:30,20:30,16 avos de final,2,,,Colômbia,Gana,Colômbia x Gana,Arrowhead Stadium,Kansas City,Estados Unidos,Rede neural
88,2026-07-03,Sexta-feira,14:00,13:00,16 avos de final,2,,,Austrália,Egito,Austrália x Egito,AT&T Stadium,Dallas,Estados Unidos,Rede neural
89,2026-07-04,Sábado,17:00,17:00,Oitavas de final,3,,,Canadá,Países Baixos,Canadá x Países Baixos,Lincoln Financial Field,Philadelphia,Estados Unidos,Rede neural
90,2026-07-04,Sábado,13:00,12:00,Oitavas de final,3,,,Paraguai,França,Paraguai x França,NRG Stadium,Houston,Estados Unidos,Rede neural
91,2026-07-05,Domingo,16:00,16:00,Oitavas de final,3,,,Brasil,Noruega,Brasil x Noruega,MetLife Stadium,New York/New Jersey,Estados Unidos,Rede neural
92,2026-07-05,Domingo,20:00,18:00,Oitavas de final,3,,,Equador,RD Congo,Equador x RD Congo,Estadio Azteca,Mexico City,México,Rede neural
93,2026-07-06,Segunda-feira,15:00,14:00,Oitavas de final,3,,,Portugal,Espanha,Portugal x Espanha,AT&T Stadium,Dallas,Estados Unidos,Rede neural
94,2026-07-06,Segunda-feira,20:00,17:00,Oitavas de final,3,,,Estados Unidos,Bélgica,Estados Unidos x Bélgica,Lumen Field,Seattle,Estados Unidos,Rede neural
95,2026-07-07,Terça-feira,12:00,12:00,Oitavas de final,3,,,Argentina,Egito,Argentina x Egito,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Rede neural
96,2026-07-07,Terça-feira,16:00,13:00,Oitavas de final,3,,,Suíça,Colômbia,Suíça x Colômbia,BC Place,Vancouver,Canadá,Rede neural
97,2026-07-09,Quinta-feira,16:00,16:00,Quartas de final,4,,,Canadá,França,Canadá x França,Gillette Stadium,Boston,Estados Unidos,Rede neural
98,2026-07-10,Sexta-feira,15:00,12:00,Quartas de final,4,,,Portugal,Estados Unidos,Portugal x Estados Unidos,SoFi Stadium,Los Angeles,Estados Unidos,Rede neural
99,2026-07-11,Sábado,17:00,17:00,Quartas de final,4,,,Noruega,RD Congo,Noruega x RD Congo,Hard Rock Stadium,Miami,Estados Unidos,Rede neural
100,2026-07-11,Sábado,21:00,20:00,Quartas de final,4,,,Argentina,Colômbia,Argentina x Colômbia,Arrowhead Stadium,Kansas City,Estados Unidos,Rede neural
101,2026-07-14,Terça-feira,15:00,14:00,Semifinais,5,,,Canadá,Portugal,Canadá x Portugal,AT&T Stadium,Dallas,Estados Unidos,Rede neural
102,2026-07-15,Quarta-feira,15:00,15:00,Semifinais,5,,,RD Congo,Argentina,RD Congo x Argentina,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Rede neural
103,2026-07-18,Sábado,17:00,17:00,Disputa de 3º lugar,6,,,Portugal,RD Congo,Portugal x RD Congo,Hard Rock Stadium,Miami,Estados Unidos,Rede neural
104,2026-07-19,Domingo,15:00,15:00,Final,7,,,Canadá,Argentina,Canadá x Argentina,MetLife Stadium,New York/New Jersey,Estados Unidos,Rede neural
