grupo;posicao_grupo;selecao;jogos;vitorias;empates;derrotas;pontos;gols_pro;gols_contra;saldo_gols;xg_total;xg_contra_total;xg_diff;gols_acima_ou_abaixo_xg;gols_sofridos_acima_ou_abaixo_xga;finalizacoes_pro;finalizacoes_contra;finalizacoes_alvo_pro;finalizacoes_alvo_contra;grandes_chances_pro;grandes_chances_contra;posse_media_pct;passes_certos;passes_total;precisao_passe_media_pct;toques_area_total;toques_area_contra_total;entradas_terco_final_total;entradas_terco_final_contra_total;desarmes_total;interceptacoes_total;cortes_total;recuperacoes_total;defesas_goleiro_total;gols_evitados_goleiro_total;clean_sheets;faltas_cometidas;faltas_sofridas;cartoes_amarelos;cartoes_vermelhos;gols_bola_parada;gols_contra_ataque;gols_penalti;gols_reservas;impacto_banco;forca_media_adversarios;indice_ofensivo;indice_defensivo;indice_eficiencia;indice_desempenho_geral_0_100;tag_desempenho;jogador_destaque;goleiro_destaque;classificado_mata_mata;tipo_classificacao;observacao_estudo_pos_copa;fonte_principal;fonte_secundaria;nivel_confianca;data_acesso
C;3;Escócia;3;1;0;2;3;1;4;-3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Nao;eliminado;Escócia terminou o Grupo C em 3º, com 3 pontos, 1 gols pró e 4 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
C;4;Haiti;3;0;0;3;0;2;8;-6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Haiti terminou o Grupo C em 4º, com 0 pontos, 2 gols pró e 8 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
D;1;Estados Unidos;3;2;0;1;6;8;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;NA;NA;Sim;top2_grupo;Estados Unidos terminou o Grupo D em 1º, com 6 pontos, 8 gols pró e 4 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
D;2;Austrália;3;1;1;1;4;2;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;top2_grupo;Austrália terminou o Grupo D em 2º, com 4 pontos, 2 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
D;3;Paraguai;3;1;1;1;4;2;4;-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;melhor_terceiro;Paraguai terminou o Grupo D em 3º, com 4 pontos, 2 gols pró e 4 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
D;4;Turquia;3;1;0;2;3;3;5;-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Nao;eliminado;Turquia terminou o Grupo D em 4º, com 3 pontos, 3 gols pró e 5 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
E;1;Alemanha;3;2;0;1;6;10;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;NA;NA;Sim;top2_grupo;Alemanha terminou o Grupo E em 1º, com 6 pontos, 10 gols pró e 4 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
E;2;Costa do Marfim;3;2;0;1;6;4;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;NA;NA;Sim;top2_grupo;Costa do Marfim terminou o Grupo E em 2º, com 6 pontos, 4 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
E;3;Equador;3;1;1;1;4;2;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;Gonzalo Plata;NA;Sim;melhor_terceiro;Equador terminou o Grupo E em 3º, com 4 pontos, 2 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
E;4;Curaçao;3;0;1;2;1;1;9;-8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Curaçao terminou o Grupo E em 4º, com 1 pontos, 1 gols pró e 9 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
F;1;Países Baixos;3;2;1;0;7;10;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elite;Virgil van Dijk;NA;Sim;top2_grupo;Países Baixos terminou o Grupo F em 1º, com 7 pontos, 10 gols pró e 4 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
F;2;Japão;3;1;2;0;5;7;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;NA;NA;Sim;top2_grupo;Japão terminou o Grupo F em 2º, com 5 pontos, 7 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
F;3;Suécia;3;1;1;1;4;7;7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;melhor_terceiro;Suécia terminou o Grupo F em 3º, com 4 pontos, 7 gols pró e 7 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
F;4;Tunísia;3;0;0;3;0;2;12;-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Tunísia terminou o Grupo F em 4º, com 0 pontos, 2 gols pró e 12 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
G;1;Bélgica;3;1;2;0;5;6;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;Romelu Lukaku;Thibaut Courtois;Sim;top2_grupo;Bélgica terminou o Grupo G em 1º, com 5 pontos, 6 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
G;2;Egito;3;1;2;0;5;5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;Mohamed Salah;NA;Sim;top2_grupo;Egito terminou o Grupo G em 2º, com 5 pontos, 5 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
G;3;Irã;3;0;3;0;3;3;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Nao;eliminado;Irã terminou o Grupo G em 3º, com 3 pontos, 3 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
G;4;Nova Zelândia;3;0;1;2;1;4;10;-6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Nova Zelândia terminou o Grupo G em 4º, com 1 pontos, 4 gols pró e 10 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
H;1;Espanha;3;2;1;0;7;5;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elite;Lamine Yamal;Unai Simón;Sim;top2_grupo;Espanha terminou o Grupo H em 1º, com 7 pontos, 5 gols pró e 0 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
H;2;Cabo Verde;3;0;3;0;3;2;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;overperformance;Kevin Pina;NA;Sim;top2_grupo;Cabo Verde terminou o Grupo H em 2º, com 3 pontos, 2 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
H;3;Uruguai;3;0;2;1;2;3;4;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;baixo_volume;NA;NA;Nao;eliminado;Uruguai terminou o Grupo H em 3º, com 2 pontos, 3 gols pró e 4 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
H;4;Arábia Saudita;3;0;2;1;2;1;5;-4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Arábia Saudita terminou o Grupo H em 4º, com 2 pontos, 1 gols pró e 5 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
I;1;França;3;3;0;0;9;10;2;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elite;Ousmane Dembélé;Mike Maignan;Sim;top2_grupo;França terminou o Grupo I em 1º, com 9 pontos, 10 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
I;2;Noruega;3;2;0;1;6;8;7;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;Alexander Isak;NA;Sim;top2_grupo;Noruega terminou o Grupo I em 2º, com 6 pontos, 8 gols pró e 7 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
I;3;Senegal;3;1;0;2;3;8;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;melhor_terceiro;Senegal terminou o Grupo I em 3º, com 3 pontos, 8 gols pró e 6 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
I;4;Iraque;3;0;0;3;0;1;12;-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Iraque terminou o Grupo I em 4º, com 0 pontos, 1 gols pró e 12 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
J;1;Argentina;3;3;0;0;9;8;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elite;Lionel Messi;NA;Sim;top2_grupo;Argentina terminou o Grupo J em 1º, com 9 pontos, 8 gols pró e 1 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
J;2;Áustria;3;1;1;1;4;6;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;top2_grupo;Áustria terminou o Grupo J em 2º, com 4 pontos, 6 gols pró e 6 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
J;3;Argélia;3;1;1;1;4;5;7;-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;melhor_terceiro;Argélia terminou o Grupo J em 3º, com 4 pontos, 5 gols pró e 7 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
J;4;Jordânia;3;0;0;3;0;3;8;-5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Jordânia terminou o Grupo J em 4º, com 0 pontos, 3 gols pró e 8 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
K;1;Colômbia;3;2;1;0;7;4;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;forte;James Rodríguez;NA;Sim;top2_grupo;Colômbia terminou o Grupo K em 1º, com 7 pontos, 4 gols pró e 1 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
K;2;Portugal;3;1;2;0;5;6;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;Cristiano Ronaldo;NA;Sim;top2_grupo;Portugal terminou o Grupo K em 2º, com 5 pontos, 6 gols pró e 1 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
K;3;RD Congo;3;1;1;1;4;4;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;eficiente;NA;NA;Sim;melhor_terceiro;RD Congo terminou o Grupo K em 3º, com 4 pontos, 4 gols pró e 3 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
K;4;Uzbequistão;3;0;0;3;0;2;11;-9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Uzbequistão terminou o Grupo K em 4º, com 0 pontos, 2 gols pró e 11 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
L;1;Inglaterra;3;2;1;0;7;6;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;forte;Harry Kane;Jordan Pickford;Sim;top2_grupo;Inglaterra terminou o Grupo L em 1º, com 7 pontos, 6 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
L;2;Croácia;3;2;0;1;6;5;5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;solido;NA;NA;Sim;top2_grupo;Croácia terminou o Grupo L em 2º, com 6 pontos, 5 gols pró e 5 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
L;3;Gana;3;1;1;1;4;2;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;irregular;NA;NA;Sim;melhor_terceiro;Gana terminou o Grupo L em 3º, com 4 pontos, 2 gols pró e 2 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
L;4;Panamá;3;0;0;3;0;0;4;-4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fragil_defensivamente;NA;NA;Nao;eliminado;Panamá terminou o Grupo L em 4º, com 0 pontos, 0 gols pró e 4 gols contra.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
