jogo_id;jogo;data;fase;grupo;selecao;adversario;jogador;posicao;titular;minutos;gols;assistencias;xg;xa;finalizacoes;finalizacoes_alvo;chances_criadas;passes_chave;passes_certos;passes_total;dribles_certos;dribles_tentados;duelos_ganhos;duelos_total;desarmes;interceptacoes;cortes;recuperacoes;defesas;gols_evitados;cartao_amarelo;cartao_vermelho;rating;foi_jogador_partida;foi_reserva_decisivo;tipo_impacto;observacao;fonte_principal;fonte_secundaria;nivel_confianca;data_acesso
R32_77;77;2026-06-30;Round of 32;NA;França;Suécia;Michael Olise;MEI;Sim;NA;0;2;NA;NA;NA;3;NA;NA;NA;57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;criacao;Deu duas assistências e foi citado com 3 finalizações no alvo e 57 passes.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_77;77;2026-06-30;Round of 32;NA;Suécia;França;Jacob Widell Zetterström;GOL;Sim;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;goleiro_defesas;FOX listou 9 defesas em jogo de alta pressão francesa.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_79;79;2026-06-30;Round of 32;NA;Equador;México;Piero Hincapié;DEF;Sim;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;cartao_vermelho;Expulso no fim, selando a frustração equatoriana.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_79;79;2026-06-30;Round of 32;NA;México;Equador;Gilberto Mora;MEI;Sim;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;controle_meio;Atuação elogiada no meio-campo antes de sair aplaudido.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_79;79;2026-06-30;Round of 32;NA;México;Equador;Julián Quiñones;ATA;Sim;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sim;Nao;gol_assistencia;Abriu o placar e serviu Raúl Jiménez no segundo gol.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_79;79;2026-06-30;Round of 32;NA;México;Equador;Raúl Jiménez;ATA;Sim;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;gol;Marcou o 2-0 ainda no primeiro tempo.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_80;80;2026-07-01;Round of 32;NA;Inglaterra;RD Congo;Anthony Gordon;ATA;Nao;NA;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Sim;reserva_decisivo;Entrou no segundo tempo e deu as duas assistências para Kane.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_80;80;2026-07-01;Round of 32;NA;Inglaterra;RD Congo;Harry Kane;ATA;Sim;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sim;Nao;gols_decisivos;Marcou aos 75 e 86 para virar o jogo.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_80;80;2026-07-01;Round of 32;NA;RD Congo;Inglaterra;Brian Cipenga;ATA;Sim;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;gol;Abriu o placar aos 7 minutos.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_80;80;2026-07-01;Round of 32;NA;RD Congo;Inglaterra;Lionel Mpasi;GOL;Sim;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;goleiro_defesas;Teve boa atuação, com várias defesas antes da virada inglesa.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_82;82;2026-07-01;Round of 32;NA;Bélgica;Senegal;Romelu Lukaku;ATA;Nao;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Sim;reserva_decisivo;Saiu do banco no intervalo e iniciou a reação belga com gol aos 86.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_82;82;2026-07-01;Round of 32;NA;Bélgica;Senegal;Youri Tielemans;MEI;Sim;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sim;Nao;gols_decisivos;Empatou no fim do tempo normal e converteu o pênalti decisivo na prorrogação.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_82;82;2026-07-01;Round of 32;NA;Senegal;Bélgica;Habib Diarra;MEI;Sim;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;gol;Abriu o placar para Senegal.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
R32_82;82;2026-07-01;Round of 32;NA;Senegal;Bélgica;Ismaïla Sarr;ATA;Sim;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;gol;Marcou o segundo de Senegal e foi um dos destaques ofensivos.;pesquisa_web_2026-07-01;data/resultados_reais.csv;Alta;2026-07-01
