jogo,fase,grupo,data,equipe1_prevista,equipe2_prevista,placar_previsto_original,gols1_previsto_original,gols2_previsto_original,placar_previsto_atual,gols1_previsto_atual,gols2_previsto_atual,vencedor_previsto_original,vencedor_previsto_atual,tipo_previsao,confianca_modelo,xg1_modelo,xg2_modelo,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,prob_classificacao_equipe1,prob_classificacao_equipe2,fonte_previsao,arbitro_principal,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10
11,Fase de grupos,F,2026-06-14,Países Baixos,Japão,1-0,1,0,1-0,1,0,Países Baixos,Países Baixos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.122,0.882,0.4064,0.3078,0.2858,,,Modelo diário recalibrado,ELFATH Ismail,8.0,7.7
12,Fase de grupos,F,2026-06-14,Suécia,Tunísia,1-0,1,0,1-0,1,0,Suécia,Suécia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.106,0.902,0.4014,0.3095,0.2891,,,Modelo diário recalibrado,ESKAS Espen,6.4,6.6
13,Fase de grupos,H,2026-06-15,Arábia Saudita,Uruguai,0-1,0,1,0-1,0,1,Uruguai,Uruguai,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.901,1.081,0.3023,0.3078,0.3898,,,Modelo diário recalibrado,FAGHANI Alireza,6.6,7.8
14,Fase de grupos,H,2026-06-15,Espanha,Cabo Verde,1-0,1,0,1-0,1,0,Espanha,Espanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.295,0.811,0.4841,0.2868,0.2292,,,Modelo diário recalibrado,FALCON PEREZ Yael,4.7,6.3
15,Fase de grupos,G,2026-06-15,Irã,Nova Zelândia,0-1,0,1,0-1,0,1,Nova Zelândia,Nova Zelândia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.955,0.943,0.3396,0.3177,0.3427,,,Modelo diário recalibrado,FISCHER Drew,5.4,7.9
16,Fase de grupos,G,2026-06-15,Bélgica,Egito,1-0,1,0,1-0,1,0,Bélgica,Bélgica,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.303,0.767,0.493,0.2853,0.2218,,,Modelo diário recalibrado,GARAY Cristian,7.8,7.6
17,Fase de grupos,I,2026-06-16,França,Senegal,1-2,1,2,1-2,1,2,Senegal,Senegal,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.055,1.093,0.3456,0.2879,0.3665,,,Modelo diário recalibrado,GARCIA Katia,6.7,7.9
18,Fase de grupos,I,2026-06-16,Iraque,Noruega,0-1,0,1,0-1,0,1,Noruega,Noruega,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.794,1.236,0.2371,0.3074,0.4555,,,Modelo diário recalibrado,GHORBAL Mustapha,6.3,6.3
19,Fase de grupos,J,2026-06-16,Argentina,Argélia,1-0,1,0,1-0,1,0,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.124,0.887,0.4179,0.3076,0.2746,,,Modelo diário recalibrado,HERNANDEZ Alejandro,8.0,5.4
20,Fase de grupos,J,2026-06-16,Áustria,Jordânia,1-0,1,0,1-0,1,0,Áustria,Áustria,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.21,0.761,0.4606,0.3136,0.2259,,,Modelo diário recalibrado,HERRERA Dario,6.8,5.0
21,Fase de grupos,L,2026-06-17,Gana,Panamá,0-1,0,1,0-1,0,1,Panamá,Panamá,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.757,1.215,0.2483,0.2908,0.4608,,,Modelo diário recalibrado,JAYED Jalal,6.4,5.9
22,Fase de grupos,L,2026-06-17,Inglaterra,Croácia,1-2,1,2,1-2,1,2,Croácia,Croácia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.025,1.065,0.3499,0.2974,0.3527,,,Modelo diário recalibrado,KAWANA-WAUGH Campbell-Kirk,5.9,7.7
23,Fase de grupos,K,2026-06-17,Portugal,RD Congo,1-0,1,0,1-0,1,0,Portugal,Portugal,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.257,0.776,0.4677,0.3017,0.2307,,,Modelo diário recalibrado,KOVACS Istvan,6.2,6.3
24,Fase de grupos,K,2026-06-17,Uzbequistão,Colômbia,0-1,0,1,0-1,0,1,Colômbia,Colômbia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.715,1.249,0.2069,0.2989,0.4942,,,Modelo diário recalibrado,LETEXIER Francois,4.9,7.2
25,Fase de grupos,A,2026-06-18,Tchéquia,África do Sul,2-1,2,1,2-1,2,1,Tchéquia,Tchéquia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.387,1.049,0.4603,0.2615,0.2783,,,Modelo diário recalibrado,MA Ning,7.2,5.1
26,Fase de grupos,B,2026-06-18,Suíça,Bósnia e Herzegovina,1-0,1,0,1-0,1,0,Suíça,Suíça,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.305,0.883,0.452,0.2996,0.2484,,,Modelo diário recalibrado,MAKHADMEH Adham,4.2,6.3
27,Fase de grupos,B,2026-06-18,Canadá,Catar,1-2,1,2,1-2,1,2,Catar,Catar,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.038,1.346,0.2931,0.2712,0.4357,,,Modelo diário recalibrado,MAKKELIE Danny,7.3,7.2
28,Fase de grupos,A,2026-06-18,México,Coreia do Sul,2-1,2,1,2-1,2,1,México,México,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.107,1.064,0.3572,0.3086,0.3342,,,Modelo diário recalibrado,MARCINIAK Szymon,8.0,7.0
29,Fase de grupos,C,2026-06-19,Brasil,Haiti,1-0,1,0,1-0,1,0,Brasil,Brasil,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.279,0.954,0.4257,0.2967,0.2776,,,Modelo diário recalibrado,MARIANI Maurizio,7.2,6.5
30,Fase de grupos,C,2026-06-19,Escócia,Marrocos,1-0,1,0,1-0,1,0,Escócia,Escócia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.139,0.908,0.4231,0.2955,0.2814,,,Modelo diário recalibrado,MARTINEZ Hector Said,8.2,7.7
31,Fase de grupos,D,2026-06-19,Turquia,Paraguai,2-1,2,1,2-1,2,1,Turquia,Turquia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.238,1.069,0.4191,0.2661,0.3147,,,Modelo diário recalibrado,MOHAMED Amin,4.2,5.7
32,Fase de grupos,D,2026-06-19,Estados Unidos,Austrália,2-1,2,1,2-1,2,1,Estados Unidos,Estados Unidos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.304,1.129,0.3936,0.2907,0.3157,,,Modelo diário recalibrado,NATION Oshane,5.5,7.7
33,Fase de grupos,E,2026-06-20,Alemanha,Costa do Marfim,2-1,2,1,2-1,2,1,Alemanha,Alemanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.201,1.009,0.4108,0.2856,0.3036,,,Modelo diário recalibrado,NYBERG Glenn,8.2,4.6
34,Fase de grupos,E,2026-06-20,Equador,Curaçao,2-1,2,1,2-1,2,1,Equador,Equador,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.213,1.12,0.3764,0.2684,0.3552,,,Modelo diário recalibrado,OLIVER Michael,4.3,6.9
35,Fase de grupos,F,2026-06-20,Países Baixos,Suécia,2-1,2,1,2-1,2,1,Países Baixos,Países Baixos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.563,1.019,0.4916,0.2655,0.2429,,,Modelo diário recalibrado,OMAR AL ALI,7.7,4.7
36,Fase de grupos,F,2026-06-20,Tunísia,Japão,0-1,0,1,0-1,0,1,Japão,Japão,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,0.73,1.824,0.1622,0.212,0.6259,,,Modelo diário recalibrado,ORTEGA Kevin,7.4,7.9
37,Fase de grupos,H,2026-06-21,Uruguai,Cabo Verde,0-1,0,1,0-1,0,1,Cabo Verde,Cabo Verde,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.924,0.978,0.3393,0.3166,0.3441,,,Modelo diário recalibrado,PENSO Tori,7.1,5.5
38,Fase de grupos,H,2026-06-21,Espanha,Arábia Saudita,2-1,2,1,2-1,2,1,Espanha,Espanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.18,1.108,0.3867,0.283,0.3302,,,Modelo diário recalibrado,PINHEIRO Joao,4.5,4.5
39,Fase de grupos,G,2026-06-21,Bélgica,Irã,2-1,2,1,2-1,2,1,Bélgica,Bélgica,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.354,0.994,0.4609,0.2679,0.2713,,,Modelo diário recalibrado,RAMON ABATTI,8.2,7.0
40,Fase de grupos,G,2026-06-21,Nova Zelândia,Egito,0-1,0,1,0-1,0,1,Egito,Egito,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.987,1.389,0.2823,0.2676,0.4501,,,Modelo diário recalibrado,RAMOS Cesar,5.9,7.9
41,Fase de grupos,I,2026-06-22,Noruega,Senegal,2-1,2,1,2-1,2,1,Noruega,Noruega,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.378,1.251,0.3903,0.262,0.3477,,,Modelo diário recalibrado,ROJAS Andres,7.6,6.3
42,Fase de grupos,I,2026-06-22,França,Iraque,1-0,1,0,1-0,1,0,França,França,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.884,0.757,0.6503,0.2088,0.1409,,,Modelo diário recalibrado,SCHAERER Sandro,5.1,7.4
43,Fase de grupos,J,2026-06-22,Argentina,Áustria,1-0,1,0,1-0,1,0,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.551,0.832,0.5366,0.2664,0.197,,,Modelo diário recalibrado,TANTASHEV Ilgiz,5.5,7.3
44,Fase de grupos,J,2026-06-22,Jordânia,Argélia,0-1,0,1,0-1,0,1,Argélia,Argélia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.976,1.487,0.2516,0.2474,0.501,,,Modelo diário recalibrado,TAYLOR Anthony,6.3,6.4
45,Fase de grupos,L,2026-06-23,Inglaterra,Gana,1-0,1,0,1-0,1,0,Inglaterra,Inglaterra,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.523,0.984,0.498,0.2679,0.2341,,,Modelo diário recalibrado,TEJERA Gustavo,5.1,5.1
46,Fase de grupos,L,2026-06-23,Panamá,Croácia,1-2,1,2,1-2,1,2,Croácia,Croácia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.005,1.352,0.2758,0.2692,0.455,,,Modelo diário recalibrado,TELLO Facundo,5.3,5.7
47,Fase de grupos,K,2026-06-23,Portugal,Uzbequistão,1-0,1,0,1-0,1,0,Portugal,Portugal,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.638,0.847,0.5703,0.2342,0.1955,,,Modelo diário recalibrado,TOM Abongile,5.0,4.5
48,Fase de grupos,K,2026-06-23,Colômbia,RD Congo,1-2,1,2,1-2,1,2,RD Congo,RD Congo,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.131,1.1,0.3504,0.2828,0.3668,,,Modelo diário recalibrado,TURPIN Clement,4.9,6.7
49,Fase de grupos,C,2026-06-24,Escócia,Brasil,0-1,0,1,0-1,0,1,Brasil,Brasil,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,0.962,1.204,0.2803,0.2809,0.4388,,,Modelo diário recalibrado,VALENZUELA Jesus,6.5,7.9
50,Fase de grupos,C,2026-06-24,Marrocos,Haiti,1-0,1,0,1-0,1,0,Marrocos,Marrocos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.445,0.713,0.5643,0.2581,0.1777,,,Modelo diário recalibrado,VINCIC Slavko,5.0,5.1
51,Fase de grupos,B,2026-06-24,Suíça,Canadá,1-2,1,2,1-2,1,2,Canadá,Canadá,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.276,1.263,0.3602,0.2567,0.3831,,,Modelo diário recalibrado,WILTON SAMPAIO,4.9,5.1
52,Fase de grupos,B,2026-06-24,Bósnia e Herzegovina,Catar,1-2,1,2,1-2,1,2,Catar,Catar,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.155,1.36,0.3154,0.2631,0.4215,,,Modelo diário recalibrado,ZWAYER Felix,8.2,6.4
53,Fase de grupos,A,2026-06-24,Tchéquia,México,0-1,0,1,0-1,0,1,México,México,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,0.571,1.458,0.1366,0.2596,0.6037,,,Modelo diário recalibrado,AL JASSIM Abdulrahman,7.9,6.7
54,Fase de grupos,A,2026-06-24,África do Sul,Coreia do Sul,0-1,0,1,0-1,0,1,Coreia do Sul,Coreia do Sul,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.906,1.47,0.2314,0.2522,0.5164,,,Modelo diário recalibrado,AL TURAIS Khalid,4.8,6.1
55,Fase de grupos,E,2026-06-25,Curaçao,Costa do Marfim,0-1,0,1,0-1,0,1,Costa do Marfim,Costa do Marfim,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.914,1.475,0.2368,0.2496,0.5137,,,Modelo diário recalibrado,ARAKI Yusuke,5.8,5.0
56,Fase de grupos,E,2026-06-25,Equador,Alemanha,0-1,0,1,0-1,0,1,Alemanha,Alemanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,0.592,1.464,0.1426,0.2556,0.6018,,,Modelo diário recalibrado,ARTAN Omar Abdulkadir,6.5,5.8
57,Fase de grupos,F,2026-06-25,Japão,Suécia,2-1,2,1,2-1,2,1,Japão,Japão,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.675,1.043,0.5368,0.2323,0.2309,,,Modelo diário recalibrado,ATCHO Pierre,7.6,7.7
58,Fase de grupos,F,2026-06-25,Tunísia,Países Baixos,0-2,0,2,0-2,0,2,Países Baixos,Países Baixos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,0.54,2.009,0.0846,0.1807,0.7348,,,Modelo diário recalibrado,BARTON Ivan,5.8,4.5
59,Fase de grupos,D,2026-06-25,Turquia,Estados Unidos,0-1,0,1,0-1,0,1,Estados Unidos,Estados Unidos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,0.623,1.6,0.1336,0.2336,0.6329,,,Modelo diário recalibrado,BEIDA Dahane,6.9,5.9
60,Fase de grupos,D,2026-06-25,Paraguai,Austrália,1-2,1,2,1-2,1,2,Austrália,Austrália,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.03,1.163,0.341,0.2857,0.3734,,,Modelo diário recalibrado,BENITEZ Juan Gabriel,6.5,5.3
61,Fase de grupos,I,2026-06-26,Noruega,França,1-2,1,2,1-2,1,2,França,França,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.251,1.357,0.3484,0.2721,0.3796,,,Modelo diário recalibrado,CALDERON Juan,6.2,7.5
62,Fase de grupos,I,2026-06-26,Senegal,Iraque,2-1,2,1,2-1,2,1,Senegal,Senegal,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.654,1.064,0.494,0.2701,0.236,,,Modelo diário recalibrado,CLAUS Raphael,8.2,4.9
63,Fase de grupos,G,2026-06-26,Egito,Irã,2-1,2,1,2-1,2,1,Egito,Egito,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.194,1.031,0.4116,0.2805,0.3078,,,Modelo diário recalibrado,ELFATH Ismail,8.0,7.7
64,Fase de grupos,G,2026-06-26,Nova Zelândia,Bélgica,0-1,0,1,0-1,0,1,Bélgica,Bélgica,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.827,1.488,0.1965,0.2606,0.5429,,,Modelo diário recalibrado,ESKAS Espen,6.4,6.6
65,Fase de grupos,H,2026-06-26,Cabo Verde,Arábia Saudita,2-1,2,1,2-1,2,1,Cabo Verde,Cabo Verde,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.234,1.076,0.4172,0.2654,0.3174,,,Modelo diário recalibrado,FAGHANI Alireza,6.6,7.8
66,Fase de grupos,H,2026-06-26,Uruguai,Espanha,0-1,0,1,0-1,0,1,Espanha,Espanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.921,1.455,0.239,0.2538,0.5072,,,Modelo diário recalibrado,FALCON PEREZ Yael,4.7,6.3
67,Fase de grupos,L,2026-06-27,Panamá,Inglaterra,0-1,0,1,0-1,0,1,Inglaterra,Inglaterra,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.859,1.333,0.2332,0.2672,0.4997,,,Modelo diário recalibrado,FISCHER Drew,5.4,7.9
68,Fase de grupos,L,2026-06-27,Croácia,Gana,1-0,1,0,1-0,1,0,Croácia,Croácia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.224,0.927,0.4466,0.2817,0.2717,,,Modelo diário recalibrado,GARAY Cristian,7.8,7.6
69,Fase de grupos,J,2026-06-27,Argélia,Áustria,2-1,2,1,2-1,2,1,Argélia,Argélia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.137,1.198,0.3632,0.276,0.3608,,,Modelo diário recalibrado,GARCIA Katia,6.7,7.9
70,Fase de grupos,J,2026-06-27,Jordânia,Argentina,0-1,0,1,0-1,0,1,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,0.406,1.958,0.0657,0.1768,0.7575,,,Modelo diário recalibrado,GHORBAL Mustapha,6.3,6.3
71,Fase de grupos,K,2026-06-27,Colômbia,Portugal,1-2,1,2,1-2,1,2,Portugal,Portugal,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.078,1.19,0.3444,0.2836,0.372,,,Modelo diário recalibrado,HERNANDEZ Alejandro,8.0,5.4
72,Fase de grupos,K,2026-06-27,RD Congo,Uzbequistão,1-0,1,0,1-0,1,0,RD Congo,RD Congo,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.482,0.876,0.4959,0.2867,0.2174,,,Modelo diário recalibrado,HERRERA Dario,6.8,5.0
73,16 avos de final,,2026-06-28,África do Sul,Canadá,0-1,0,1,0-1,0,1,Canadá,Canadá,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,0.882,1.366,0.2638,0.2726,0.4636,0.3844,0.6156,Modelo diário recalibrado,JAYED Jalal,6.4,5.9
74,16 avos de final,,2026-06-29,Alemanha,Paraguai,1-0,1,0,1-0,1,0,Alemanha,Alemanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.18,0.803,0.4357,0.3236,0.2407,0.6461,0.3539,Modelo diário recalibrado,KAWANA-WAUGH Campbell-Kirk,5.9,7.7
75,16 avos de final,,2026-06-29,Países Baixos,Marrocos,2-1,2,1,2-1,2,1,Países Baixos,Países Baixos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.233,1.035,0.4022,0.271,0.3269,0.5333,0.4667,Modelo diário recalibrado,KOVACS Istvan,6.2,6.3
76,16 avos de final,,2026-06-29,Brasil,Japão,1-0,1,0,1-0,1,0,Brasil,Brasil,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.37,0.855,0.471,0.3006,0.2284,0.6694,0.3306,Modelo diário recalibrado,LETEXIER Francois,4.9,7.2
77,16 avos de final,,2026-06-30,França,Suécia,1-0,1,0,1-0,1,0,França,França,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.611,0.829,0.5731,0.2409,0.186,0.7321,0.2679,Modelo diário recalibrado,MA Ning,7.2,5.1
78,16 avos de final,,2026-06-30,Costa do Marfim,Noruega,2-1,2,1,2-1,2,1,Costa do Marfim,Costa do Marfim,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.215,1.071,0.3745,0.3083,0.3172,0.5202,0.4798,Modelo diário recalibrado,MAKHADMEH Adham,4.2,6.3
79,16 avos de final,,2026-06-30,México,Equador,1-0,1,0,1-0,1,0,México,México,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.154,0.581,0.5144,0.3045,0.1811,0.7153,0.2847,Modelo diário recalibrado,MAKKELIE Danny,7.3,7.2
80,16 avos de final,,2026-07-01,Inglaterra,RD Congo,1-0,1,0,1-0,1,0,Inglaterra,Inglaterra,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.317,0.824,0.4986,0.2676,0.2338,0.6752,0.3248,Modelo diário recalibrado,MARCINIAK Szymon,8.0,7.0
81,16 avos de final,,2026-07-01,Estados Unidos,Bósnia e Herzegovina,1-0,1,0,1-0,1,0,Estados Unidos,Estados Unidos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.489,0.842,0.533,0.2543,0.2127,0.6904,0.3096,Modelo diário recalibrado,MARIANI Maurizio,7.2,6.5
82,16 avos de final,,2026-07-01,Bélgica,Senegal,2-1,2,1,2-1,2,1,Bélgica,Bélgica,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.267,1.089,0.3971,0.2843,0.3186,0.5552,0.4448,Modelo diário recalibrado,MARTINEZ Hector Said,8.2,7.7
83,16 avos de final,,2026-07-02,Portugal,Croácia,2-1,2,1,2-1,2,1,Portugal,Portugal,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.112,0.996,0.3938,0.293,0.3131,0.5147,0.4853,Modelo diário recalibrado,MOHAMED Amin,4.2,5.7
84,16 avos de final,,2026-07-02,Espanha,Áustria,1-0,1,0,1-0,1,0,Espanha,Espanha,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.375,0.911,0.4926,0.2655,0.2418,0.6679,0.3321,Modelo diário recalibrado,NATION Oshane,5.5,7.7
85,16 avos de final,,2026-07-02,Suíça,Argélia,1-0,1,0,1-0,1,0,Suíça,Suíça,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.482,0.875,0.5308,0.2538,0.2155,0.6983,0.3017,Modelo diário recalibrado,NYBERG Glenn,8.2,4.6
86,16 avos de final,,2026-07-03,Argentina,Cabo Verde,1-0,1,0,1-0,1,0,Argentina,Argentina,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.503,0.467,0.647,0.2462,0.1068,0.8095,0.1905,Modelo diário recalibrado,OLIVER Michael,4.3,6.9
87,16 avos de final,,2026-07-03,Colômbia,Gana,1-0,1,0,1-0,1,0,Colômbia,Colômbia,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,alta,1.198,0.638,0.5123,0.2946,0.1931,0.7067,0.2933,Modelo diário recalibrado,OMAR AL ALI,7.7,4.7
88,16 avos de final,,2026-07-03,Austrália,Egito,1-0,1,0,1-0,1,0,Austrália,Austrália,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,média,1.097,0.943,0.4087,0.2914,0.3,0.5643,0.4357,Modelo diário recalibrado,ORTEGA Kevin,7.4,7.9
89,Oitavas de final,,2026-07-04,Canadá,Marrocos,1-2,1,2,1-2,1,2,Marrocos,Marrocos,Modelo diário recalibrado; probabilidade de classificação no mata-mata; reais preservados,baixa,1.074,1.092,0.3655,0.2835,0.351,0.4941,0.5059,Modelo diário recalibrado,PENSO Tori,7.1,5.5
