jogo,data,fase,equipe1,equipe2,gols1_real,gols2_real,placar_real,vencedor_real,status_real,fonte,placar_original
14,2026-06-15,Fase de grupos,Espanha,Cabo Verde,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Espanha 0 x 0 Cabo Verde
15,2026-06-15,Fase de grupos,Irã,Nova Zelândia,2,2,2-2,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Irã 2 x 2 Nova Zelândia
16,2026-06-15,Fase de grupos,Bélgica,Egito,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Bélgica 1 x 1 Egito
17,2026-06-16,Fase de grupos,França,Senegal,3,1,3-1,França,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,França 3 x 1 Senegal
18,2026-06-16,Fase de grupos,Iraque,Noruega,1,4,1-4,Noruega,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Iraque 1 x 4 Noruega
19,2026-06-16,Fase de grupos,Argentina,Argélia,3,0,3-0,Argentina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Argentina 3 x 0 Argélia
20,2026-06-17,Fase de grupos,Áustria,Jordânia,3,1,3-1,Áustria,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Áustria 3 x 1 Jordânia
21,2026-06-17,Fase de grupos,Gana,Panamá,1,0,1-0,Gana,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Gana 1 x 0 Panamá
22,2026-06-17,Fase de grupos,Inglaterra,Croácia,4,2,4-2,Inglaterra,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Inglaterra 4 x 2 Croácia
23,2026-06-17,Fase de grupos,Portugal,RD Congo,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Portugal 1 x 1 RD do Congo
24,2026-06-17,Fase de grupos,Uzbequistão,Colômbia,1,3,1-3,Colômbia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Uzbequistão 1 x 3 Colômbia
25,2026-06-18,Fase de grupos,Tchéquia,África do Sul,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Tchéquia 1 x 1 África do Sul
26,2026-06-18,Fase de grupos,Suíça,Bósnia e Herzegovina,4,1,4-1,Suíça,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Suíça 4 x 1 Bósnia e Herzegovina
27,2026-06-18,Fase de grupos,Canadá,Catar,6,0,6-0,Canadá,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Canadá 6 x 0 Catar
28,2026-06-18,Fase de grupos,México,Coreia do Sul,1,0,1-0,México,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,México 1 x 0 República da Coreia
29,2026-06-19,Fase de grupos,Brasil,Haiti,3,0,3-0,Brasil,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Brasil 3 x 0 Haiti
30,2026-06-19,Fase de grupos,Escócia,Marrocos,0,1,0-1,Marrocos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Escócia 0 x 1 Marrocos
31,2026-06-20,Fase de grupos,Turquia,Paraguai,0,1,0-1,Paraguai,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Turquia 0 x 1 Paraguai
32,2026-06-19,Fase de grupos,Estados Unidos,Austrália,2,0,2-0,Estados Unidos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Estados Unidos 2 x 0 Austrália
33,2026-06-20,Fase de grupos,Alemanha,Costa do Marfim,2,1,2-1,Alemanha,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Alemanha 2 x 1 Costa do Marfim
34,2026-06-20,Fase de grupos,Equador,Curaçao,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Equador 0 x 0 Curaçao
35,2026-06-20,Fase de grupos,Países Baixos,Suécia,5,1,5-1,Países Baixos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Holanda 5 x 1 Suécia
36,2026-06-21,Fase de grupos,Tunísia,Japão,0,4,0-4,Japão,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Tunísia 0 x 4 Japão
37,2026-06-21,Fase de grupos,Uruguai,Cabo Verde,2,2,2-2,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Uruguai 2 x 2 Cabo Verde
38,2026-06-21,Fase de grupos,Espanha,Arábia Saudita,4,0,4-0,Espanha,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Espanha 4 x 0 Arábia Saudita
39,2026-06-21,Fase de grupos,Bélgica,Irã,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Bélgica 0 x 0 Irã
40,2026-06-21,Fase de grupos,Nova Zelândia,Egito,1,3,1-3,Egito,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Nova Zelândia 1 x 3 Egito
41,2026-06-22,Fase de grupos,Noruega,Senegal,3,2,3-2,Noruega,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Noruega 3 x 2 Senegal
42,2026-06-22,Fase de grupos,França,Iraque,3,0,3-0,França,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,França 3 x 0 Iraque
43,2026-06-22,Fase de grupos,Argentina,Áustria,2,0,2-0,Argentina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Argentina 2 x 0 Áustria
44,2026-06-23,Fase de grupos,Jordânia,Argélia,1,2,1-2,Argélia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Jordânia 1 x 2 Argélia
45,2026-06-23,Fase de grupos,Inglaterra,Gana,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Inglaterra 0 x 0 Gana
46,2026-06-23,Fase de grupos,Panamá,Croácia,0,1,0-1,Croácia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Panamá 0 x 1 Croácia
47,2026-06-23,Fase de grupos,Portugal,Uzbequistão,5,0,5-0,Portugal,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Portugal 5 x 0 Uzbequistão
48,2026-06-23,Fase de grupos,Colômbia,RD Congo,1,0,1-0,Colômbia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Colômbia 1 x 0 RD do Congo
49,2026-06-24,Fase de grupos,Escócia,Brasil,0,3,0-3,Brasil,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Escócia 0 x 3 Brasil
50,2026-06-24,Fase de grupos,Marrocos,Haiti,4,2,4-2,Marrocos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Marrocos 4 x 2 Haiti
51,2026-06-24,Fase de grupos,Suíça,Canadá,2,1,2-1,Suíça,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Suíça 2 x 1 Canadá
52,2026-06-24,Fase de grupos,Bósnia e Herzegovina,Catar,3,1,3-1,Bósnia e Herzegovina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Bósnia e Herzegovina 3 x 1 Catar
53,2026-06-24,Fase de grupos,Tchéquia,México,0,3,0-3,México,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,República Tcheca 0 x 3 México
54,2026-06-24,Fase de grupos,África do Sul,Coreia do Sul,1,0,1-0,África do Sul,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,África do Sul 1 x 0 República da Coreia
55,2026-06-25,Fase de grupos,Curaçao,Costa do Marfim,0,2,0-2,Costa do Marfim,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Curaçao 0 x 2 Costa do Marfim
56,2026-06-25,Fase de grupos,Equador,Alemanha,2,1,2-1,Equador,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Equador 2 x 1 Alemanha
57,2026-06-25,Fase de grupos,Japão,Suécia,1,1,1-1,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Japão 1 x 1 Suécia
58,2026-06-25,Fase de grupos,Tunísia,Países Baixos,1,3,1-3,Países Baixos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Tunísia 1 x 3 Holanda
59,2026-06-25,Fase de grupos,Turquia,Estados Unidos,3,2,3-2,Turquia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Turquia 3 x 2 Estados Unidos
60,2026-06-25,Fase de grupos,Paraguai,Austrália,0,0,0-0,Empate,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,Paraguai 0 x 0 Austrália
61,2026-06-26,Fase de grupos,Noruega,França,1,4,1-4,França,Finalizado,https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/,Noruega 1 x 4 França
62,2026-06-26,Fase de grupos,Senegal,Iraque,5,0,5-0,Senegal,Finalizado,https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/,Senegal 5 x 0 Iraque
63,2026-06-26,Fase de grupos,Egito,Irã,1,1,1-1,Empate,Finalizado,https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest | https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/,Egito 1 x 1 Irã
64,2026-06-26,Fase de grupos,Nova Zelândia,Bélgica,1,5,1-5,Bélgica,Finalizado,https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/,Nova Zelândia 1 x 5 Bélgica
65,2026-06-26,Fase de grupos,Cabo Verde,Arábia Saudita,0,0,0-0,Empate,Finalizado,https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live,Cabo Verde 0 x 0 Arábia Saudita
66,2026-06-26,Fase de grupos,Uruguai,Espanha,0,1,0-1,Espanha,Finalizado,https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live,Uruguai 0 x 1 Espanha
67,2026-06-27,Fase de grupos,Panamá,Inglaterra,0,2,0-2,Inglaterra,Finalizado,https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/,Panamá 0 x 2 Inglaterra
68,2026-06-27,Fase de grupos,Croácia,Gana,2,1,2-1,Croácia,Finalizado,https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/,Croácia 2 x 1 Gana
69,2026-06-27,Fase de grupos,Argélia,Áustria,3,3,3-3,Empate,Finalizado,https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/,Argélia 3 x 3 Áustria
70,2026-06-27,Fase de grupos,Jordânia,Argentina,1,3,1-3,Argentina,Finalizado,https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/,Jordânia 1 x 3 Argentina
71,2026-06-27,Fase de grupos,Colômbia,Portugal,0,0,0-0,Empate,Finalizado,https://www.reuters.com/sports/soccer/colombia-portugal-advance-after-no-bore-draw-miami-2026-06-28/ | https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html,Colômbia 0 x 0 Portugal
72,2026-06-27,Fase de grupos,RD Congo,Uzbequistão,3,1,3-1,RD Congo,Finalizado,https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/ | https://www.theguardian.com/football/live/2026/jun/27/dr-congo-v-uzbekistan-world-cup-2026-live,RD Congo 3 x 1 Uzbequistão
73,2026-06-28,16 avos de final,África do Sul,Canadá,0,1,0-1,Canadá,Finalizado,https://www.reuters.com/sports/soccer/canada-score-late-winner-advance-last-16-world-cup-2026-06-28/,África do Sul 0 x 1 Canadá
