Jogo 1 | 2026-06-11 | Fase de grupos | México 2 x 0 África do Sul | Vencedor: México
Jogo 19 | 2026-06-16 | Fase de grupos | Argentina 3 x 0 Argélia | Vencedor: Argentina
Jogo 20 | 2026-06-17 | Fase de grupos | Áustria 3 x 1 Jordânia | Vencedor: Áustria
Jogo 21 | 2026-06-17 | Fase de grupos | Gana 1 x 0 Panamá | Vencedor: Gana
Jogo 22 | 2026-06-17 | Fase de grupos | Inglaterra 4 x 2 Croácia | Vencedor: Inglaterra
Jogo 23 | 2026-06-17 | Fase de grupos | Portugal 1 x 1 RD do Congo | Vencedor: Empate
Jogo 24 | 2026-06-17 | Fase de grupos | Uzbequistão 1 x 3 Colômbia | Vencedor: Colômbia
Jogo 25 | 2026-06-18 | Fase de grupos | Tchéquia 1 x 1 África do Sul | Vencedor: Empate
Jogo 26 | 2026-06-18 | Fase de grupos | Suíça 4 x 1 Bósnia e Herzegovina | Vencedor: Suíça
Jogo 27 | 2026-06-18 | Fase de grupos | Canadá 6 x 0 Catar | Vencedor: Canadá
Jogo 28 | 2026-06-18 | Fase de grupos | México 1 x 0 República da Coreia | Vencedor: México
Jogo 29 | 2026-06-19 | Fase de grupos | Brasil 3 x 0 Haiti | Vencedor: Brasil
Jogo 30 | 2026-06-19 | Fase de grupos | Escócia 0 x 1 Marrocos | Vencedor: Marrocos
Jogo 31 | 2026-06-20 | Fase de grupos | Turquia 0 x 1 Paraguai | Vencedor: Paraguai
Jogo 32 | 2026-06-19 | Fase de grupos | Estados Unidos 2 x 0 Austrália | Vencedor: Estados Unidos
Jogo 33 | 2026-06-20 | Fase de grupos | Alemanha 2 x 1 Costa do Marfim | Vencedor: Alemanha
Jogo 34 | 2026-06-20 | Fase de grupos | Equador 0 x 0 Curaçao | Vencedor: Empate
Jogo 35 | 2026-06-20 | Fase de grupos | Holanda 5 x 1 Suécia | Vencedor: Países Baixos
Jogo 36 | 2026-06-21 | Fase de grupos | Tunísia 0 x 4 Japão | Vencedor: Japão
Jogo 37 | 2026-06-21 | Fase de grupos | Uruguai 2 x 2 Cabo Verde | Vencedor: Empate
Jogo 38 | 2026-06-21 | Fase de grupos | Espanha 4 x 0 Arábia Saudita | Vencedor: Espanha
Jogo 39 | 2026-06-21 | Fase de grupos | Bélgica 0 x 0 Irã | Vencedor: Empate
Jogo 40 | 2026-06-21 | Fase de grupos | Nova Zelândia 1 x 3 Egito | Vencedor: Egito
Jogo 41 | 2026-06-22 | Fase de grupos | Noruega 3 x 2 Senegal | Vencedor: Noruega
Jogo 42 | 2026-06-22 | Fase de grupos | França 3 x 0 Iraque | Vencedor: França
Jogo 43 | 2026-06-22 | Fase de grupos | Argentina 2 x 0 Áustria | Vencedor: Argentina
Jogo 44 | 2026-06-23 | Fase de grupos | Jordânia 1 x 2 Argélia | Vencedor: Argélia
Jogo 45 | 2026-06-23 | Fase de grupos | Inglaterra 0 x 0 Gana | Vencedor: Empate
Jogo 46 | 2026-06-23 | Fase de grupos | Panamá 0 x 1 Croácia | Vencedor: Croácia
Jogo 47 | 2026-06-23 | Fase de grupos | Portugal 5 x 0 Uzbequistão | Vencedor: Portugal
Jogo 48 | 2026-06-23 | Fase de grupos | Colômbia 1 x 0 RD do Congo | Vencedor: Colômbia
Jogo 49 | 2026-06-24 | Fase de grupos | Escócia 0 x 3 Brasil | Vencedor: Brasil
Jogo 50 | 2026-06-24 | Fase de grupos | Marrocos 4 x 2 Haiti | Vencedor: Marrocos
Jogo 51 | 2026-06-24 | Fase de grupos | Suíça 2 x 1 Canadá | Vencedor: Suíça
Jogo 52 | 2026-06-24 | Fase de grupos | Bósnia e Herzegovina 3 x 1 Catar | Vencedor: Bósnia e Herzegovina
Jogo 53 | 2026-06-24 | Fase de grupos | República Tcheca 0 x 3 México | Vencedor: México
Jogo 54 | 2026-06-24 | Fase de grupos | África do Sul 1 x 0 República da Coreia | Vencedor: África do Sul
Jogo 55 | 2026-06-25 | Fase de grupos | Curaçao 0 x 2 Costa do Marfim | Vencedor: Costa do Marfim
Jogo 56 | 2026-06-25 | Fase de grupos | Equador 2 x 1 Alemanha | Vencedor: Equador
Jogo 57 | 2026-06-25 | Fase de grupos | Japão 1 x 1 Suécia | Vencedor: Empate
Jogo 58 | 2026-06-25 | Fase de grupos | Tunísia 1 x 3 Holanda | Vencedor: Países Baixos
Jogo 59 | 2026-06-25 | Fase de grupos | Turquia 3 x 2 Estados Unidos | Vencedor: Turquia
Jogo 60 | 2026-06-25 | Fase de grupos | Paraguai 0 x 0 Austrália | Vencedor: Empate
Jogo 61 | 2026-06-26 | Fase de grupos | Noruega 1 x 4 França | Vencedor: França
Jogo 62 | 2026-06-26 | Fase de grupos | Senegal 5 x 0 Iraque | Vencedor: Senegal
Jogo 63 | 2026-06-26 | Fase de grupos | Egito 1 x 1 Irã | Vencedor: Empate
Jogo 64 | 2026-06-26 | Fase de grupos | Nova Zelândia 1 x 5 Bélgica | Vencedor: Bélgica
Jogo 65 | 2026-06-26 | Fase de grupos | Cabo Verde 0 x 0 Arábia Saudita | Vencedor: Empate
Jogo 66 | 2026-06-26 | Fase de grupos | Uruguai 0 x 1 Espanha | Vencedor: Espanha
Jogo 67 | 2026-06-27 | Fase de grupos | Panamá 0 x 2 Inglaterra | Vencedor: Inglaterra
Jogo 68 | 2026-06-27 | Fase de grupos | Croácia 2 x 1 Gana | Vencedor: Croácia
Jogo 69 | 2026-06-27 | Fase de grupos | Argélia 3 x 3 Áustria | Vencedor: Empate
Jogo 70 | 2026-06-27 | Fase de grupos | Jordânia 1 x 3 Argentina | Vencedor: Argentina
Jogo 71 | 2026-06-27 | Fase de grupos | Colômbia 0 x 0 Portugal | Vencedor: Empate
Jogo 72 | 2026-06-27 | Fase de grupos | RD Congo 3 x 1 Uzbequistão | Vencedor: RD Congo
Jogo 73 | 2026-06-28 | 16 avos de final | África do Sul 0 x 1 Canadá | Vencedor: Canadá
Jogo 74 | 2026-06-29 | 16 avos de final | Alemanha 1 (3 pen) x 1 (4 pen) Paraguai | Vencedor: Paraguai
Jogo 75 | 2026-06-29 | 16 avos de final | Países Baixos 1 (2 pen) x 1 (3 pen) Marrocos | Vencedor: Marrocos
Jogo 76 | 2026-06-29 | 16 avos de final | Brasil 2 x 1 Japão | Vencedor: Brasil
Jogo 77 | 2026-06-30 | 16 avos de final | França 3 x 0 Suécia | Vencedor: França
Jogo 78 | 2026-06-30 | 16 avos de final | Costa do Marfim 1 x 2 Noruega | Vencedor: Noruega
Jogo 79 | 2026-06-30 | 16 avos de final | México 2 x 0 Equador | Vencedor: México
Jogo 80 | 2026-07-01 | 16 avos de final | Inglaterra 2 x 1 RD Congo | Vencedor: Inglaterra
Jogo 82 | 2026-07-01 | 16 avos de final | Bélgica 3 x 2 Senegal (após prorrogação) | Vencedor: Bélgica
