jogo,jogo_original_fonte,espn_event_id,team,team_espn,team_norm,source_url,collected_at,stat_foulsCommitted,stat_yellowCards,stat_redCards,stat_offsides,stat_wonCorners,stat_saves,stat_possessionPct,stat_totalShots,stat_shotsOnTarget,stat_shotPct,stat_penaltyKickGoals,stat_penaltyKickShots,stat_accuratePasses,stat_totalPasses,stat_passPct,stat_accurateCrosses,stat_totalCrosses,stat_crossPct,stat_totalLongBalls,stat_accurateLongBalls,stat_longballPct,stat_blockedShots,stat_effectiveTackles,stat_totalTackles,stat_tacklePct,stat_interceptions,stat_effectiveClearance,stat_totalClearance,source_file,temporal_status
13,13,760429,Uruguai,Uruguay,uruguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760429,2026-07-20T17:24:22.669083+00:00,6,0,0,6,14,2,66.8,27,10,0.4,0,0,540,612,0.9,16,47,0.3,41,24,0.6,7,2,3,0.7,10,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760429__1724a8248844b503.json,POST_MATCH_BACKFILLED_FACT
14,14,760428,Cabo Verde,Cape Verde,cabo verde,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428,2026-07-20T17:24:13.512881+00:00,1,1,0,3,1,7,25.7,6,1,0.2,0,0,205,278,0.7,1,4,0.3,56,19,0.3,2,11,18,0.6,15,46,46,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760428__c0f06079bd0ba9d0.json,POST_MATCH_BACKFILLED_FACT
14,14,760428,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428,2026-07-20T17:24:13.512679+00:00,10,1,0,2,11,1,74.3,27,7,0.3,0,0,734,800,0.9,6,36,0.2,30,24,0.8,8,12,13,0.9,6,7,7,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760428__c0f06079bd0ba9d0.json,POST_MATCH_BACKFILLED_FACT
15,15,760427,Irã,Iran,ira,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760427,2026-07-20T17:24:25.541792+00:00,10,1,0,2,4,6,48.5,17,4,0.2,0,0,314,409,0.8,6,19,0.3,61,27,0.4,5,10,17,0.6,11,27,27,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760427__9828372fd281d242.json,POST_MATCH_BACKFILLED_FACT
15,15,760427,Nova Zelândia,New Zealand,nova zelandia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760427,2026-07-20T17:24:25.542002+00:00,8,0,0,0,1,2,51.5,14,8,0.6,0,0,376,446,0.8,1,12,0.1,40,21,0.5,2,10,13,0.8,15,26,26,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760427__9828372fd281d242.json,POST_MATCH_BACKFILLED_FACT
16,16,760426,Bélgica,Belgium,belgica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426,2026-07-20T17:24:17.706550+00:00,15,2,0,0,2,2,53.6,15,3,0.2,0,0,391,455,0.9,6,16,0.4,30,18,0.6,5,11,17,0.6,10,25,25,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760426__4e41fe238da60001.json,POST_MATCH_BACKFILLED_FACT
16,16,760426,Egito,Egypt,egito,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426,2026-07-20T17:24:17.706754+00:00,15,2,0,1,7,3,46.4,14,3,0.2,0,0,323,398,0.8,2,13,0.2,53,20,0.4,7,17,28,0.6,16,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760426__4e41fe238da60001.json,POST_MATCH_BACKFILLED_FACT
17,17,760432,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760432,2026-07-20T17:24:27.699495+00:00,5,0,0,1,6,2,53.4,11,8,0.7,0,0,505,575,0.9,0,9,0.0,44,20,0.5,2,14,19,0.7,7,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760432__7a446a454da47539.json,POST_MATCH_BACKFILLED_FACT
17,17,760432,Senegal,Senegal,senegal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760432,2026-07-20T17:24:27.699678+00:00,9,0,0,3,4,5,46.6,6,2,0.3,0,0,430,502,0.9,1,9,0.1,49,25,0.5,1,10,14,0.7,8,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760432__7a446a454da47539.json,POST_MATCH_BACKFILLED_FACT
18,18,760430,Iraque,Iraq,iraque,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760430,2026-07-20T17:24:31.496901+00:00,12,1,0,1,2,2,38.7,11,1,0.1,0,0,271,334,0.8,6,13,0.5,54,22,0.4,2,13,19,0.7,5,20,20,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760430__0f8b087fb2126c75.json,POST_MATCH_BACKFILLED_FACT
18,18,760430,Noruega,Norway,noruega,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760430,2026-07-20T17:24:31.497095+00:00,13,0,0,0,5,0,61.3,12,5,0.4,0,0,477,537,0.9,7,17,0.4,42,18,0.4,3,10,15,0.7,2,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760430__0f8b087fb2126c75.json,POST_MATCH_BACKFILLED_FACT
19,19,760433,Argélia,Algeria,argelia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760433,2026-07-20T17:24:34.083391+00:00,8,0,0,1,2,3,52.2,7,1,0.0,0,0,563,609,0.9,1,9,0.1,25,15,0.6,3,10,17,0.6,8,12,12,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760433__983ce510ce635f98.json,POST_MATCH_BACKFILLED_FACT
19,19,760433,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760433,2026-07-20T17:24:34.083184+00:00,13,0,0,3,2,0,47.8,10,6,0.6,0,0,504,561,0.9,1,6,0.2,32,17,0.5,1,19,27,0.7,10,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760433__983ce510ce635f98.json,POST_MATCH_BACKFILLED_FACT
20,20,760431,Áustria,Austria,austria,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760431,2026-07-20T17:24:39.093553+00:00,12,1,0,3,4,3,63.2,11,4,0.4,0,1,487,580,0.8,3,17,0.2,47,18,0.4,1,7,17,0.4,15,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760431__a996f555a1079637.json,POST_MATCH_BACKFILLED_FACT
20,20,760431,Jordânia,Jordan,jordania,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760431,2026-07-20T17:24:39.093736+00:00,7,0,0,1,3,1,36.8,11,4,0.4,0,0,241,332,0.7,3,15,0.2,52,23,0.4,2,6,15,0.4,12,39,39,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760431__a996f555a1079637.json,POST_MATCH_BACKFILLED_FACT
21,21,760434,Gana,Ghana,gana,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760434,2026-07-20T17:24:52.046297+00:00,9,1,0,4,2,4,38.0,7,2,0.3,0,0,292,352,0.8,4,16,0.3,52,30,0.6,1,9,16,0.6,8,28,28,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760434__5436201436ec4c13.json,POST_MATCH_BACKFILLED_FACT
21,21,760434,Panamá,Panama,panama,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760434,2026-07-20T17:24:52.046507+00:00,11,2,0,1,2,2,62.0,11,4,0.4,0,0,503,583,0.9,4,21,0.2,70,34,0.5,2,11,29,0.4,5,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760434__5436201436ec4c13.json,POST_MATCH_BACKFILLED_FACT
22,22,760437,Croácia,Croatia,croacia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760437,2026-07-20T17:24:47.079740+00:00,12,0,0,1,2,7,48.3,10,5,0.5,0,0,381,443,0.9,2,13,0.2,42,18,0.4,2,8,11,0.7,9,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760437__de79b3e009f16c2e.json,POST_MATCH_BACKFILLED_FACT
22,22,760437,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760437,2026-07-20T17:24:47.079550+00:00,10,0,0,0,8,3,51.7,22,11,0.5,0,1,406,474,0.9,6,13,0.5,41,15,0.4,5,7,9,0.8,7,16,16,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760437__de79b3e009f16c2e.json,POST_MATCH_BACKFILLED_FACT
23,23,760435,Portugal,Portugal,portugal,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760435,2026-07-20T17:24:44.160711+00:00,9,3,0,3,5,1,75.4,7,1,0.1,0,0,724,783,0.9,6,23,0.3,64,41,0.6,2,6,12,0.5,3,10,10,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760435__0e0b6c4b6e0f2d62.json,POST_MATCH_BACKFILLED_FACT
23,23,760435,RD Congo,Congo DR,rd congo,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760435,2026-07-20T17:24:44.161206+00:00,10,1,0,2,4,0,24.6,8,2,0.3,0,0,195,249,0.8,1,10,0.1,40,11,0.3,3,9,17,0.5,5,27,27,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760435__0e0b6c4b6e0f2d62.json,POST_MATCH_BACKFILLED_FACT
24,24,760436,Colômbia,Colombia,colombia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760436,2026-07-20T17:24:55.480656+00:00,11,1,0,3,4,1,61.4,15,4,0.3,0,0,444,519,0.9,6,16,0.4,48,17,0.4,4,3,10,0.3,6,20,20,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760436__380117874993654c.json,POST_MATCH_BACKFILLED_FACT
24,24,760436,Uzbequistão,Uzbekistan,uzbequistao,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760436,2026-07-20T17:24:55.480393+00:00,14,1,0,0,3,1,38.6,8,2,0.3,0,0,243,319,0.8,3,13,0.2,53,17,0.3,2,7,10,0.7,7,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760436__380117874993654c.json,POST_MATCH_BACKFILLED_FACT
25,25,760438,África do Sul,South Africa,africa do sul,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760438,2026-07-20T17:24:58.312898+00:00,10,2,0,3,5,2,61.7,17,4,0.2,0,1,508,563,0.9,4,17,0.2,58,30,0.5,8,11,20,0.6,9,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760438__a651a80273861ac8.json,POST_MATCH_BACKFILLED_FACT
25,25,760438,Tchéquia,Czechia,tchequia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760438,2026-07-20T17:24:58.312693+00:00,12,1,0,2,5,3,38.3,14,3,0.2,0,0,272,341,0.8,7,16,0.4,45,22,0.5,3,4,12,0.3,9,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760438__a651a80273861ac8.json,POST_MATCH_BACKFILLED_FACT
26,26,760439,Bósnia e Herzegovina,Bosnia-Herzegovina,bosnia e herzegovina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439,2026-07-20T17:25:02.405544+00:00,18,2,1,1,3,3,37.7,5,3,0.6,0,0,287,354,0.8,1,12,0.0,48,13,0.3,1,3,13,0.2,11,36,36,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760439__c39062cc8b7e1ef5.json,POST_MATCH_BACKFILLED_FACT
26,26,760439,Suíça,Switzerland,suica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439,2026-07-20T17:25:02.405299+00:00,7,1,0,3,7,2,62.3,13,7,0.5,0,1,516,586,0.9,1,23,0.0,50,25,0.5,3,13,19,0.7,5,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760439__c39062cc8b7e1ef5.json,POST_MATCH_BACKFILLED_FACT
27,27,760440,Canadá,Canada,canada,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760440,2026-07-20T17:25:06.071148+00:00,9,1,0,1,19,0,79.0,32,10,0.3,0,0,515,567,0.9,13,55,0.2,16,10,0.6,14,5,9,0.6,6,3,3,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760440__e9eca8e107e5470d.json,POST_MATCH_BACKFILLED_FACT
27,27,760440,Catar,Qatar,catar,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760440,2026-07-20T17:25:06.071357+00:00,10,1,2,1,1,4,21.0,2,0,0.0,0,0,104,162,0.6,1,3,0.3,54,17,0.3,1,10,16,0.6,10,61,61,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760440__e9eca8e107e5470d.json,POST_MATCH_BACKFILLED_FACT
28,28,760441,Coreia do Sul,South Korea,coreia do sul,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760441,2026-07-20T17:25:08.531846+00:00,7,2,0,6,2,3,57.6,9,2,0.2,0,0,488,578,0.8,5,9,0.6,64,23,0.4,3,10,17,0.6,5,12,12,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760441__92137b0ad455c2ff.json,POST_MATCH_BACKFILLED_FACT
28,28,760441,México,Mexico,mexico,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760441,2026-07-20T17:25:08.531485+00:00,9,0,0,3,1,2,42.4,8,4,0.5,0,0,349,427,0.8,4,6,0.7,56,16,0.3,1,7,14,0.5,6,20,20,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760441__92137b0ad455c2ff.json,POST_MATCH_BACKFILLED_FACT
29,29,760444,Brasil,Brazil,brasil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760444,2026-07-20T17:25:21.558650+00:00,13,1,0,8,4,3,56.7,8,5,0.6,0,0,462,525,0.9,1,9,0.1,44,20,0.5,1,10,21,0.5,10,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760444__72cfb11a643e6cd0.json,POST_MATCH_BACKFILLED_FACT
29,29,760444,Haiti,Haiti,haiti,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760444,2026-07-20T17:25:21.558867+00:00,14,3,0,4,4,2,43.3,7,3,0.4,0,0,332,399,0.8,3,11,0.3,56,31,0.6,1,10,16,0.6,9,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760444__72cfb11a643e6cd0.json,POST_MATCH_BACKFILLED_FACT
30,30,760445,Escócia,Scotland,escocia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760445,2026-07-20T17:25:16.922118+00:00,11,1,0,1,2,1,41.1,6,0,0.0,0,0,388,456,0.9,3,13,0.2,47,20,0.4,3,12,20,0.6,9,17,17,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760445__09ede1d1ef0c9517.json,POST_MATCH_BACKFILLED_FACT
30,30,760445,Marrocos,Morocco,marrocos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760445,2026-07-20T17:25:16.922318+00:00,8,1,0,0,5,0,58.9,12,2,0.2,0,0,600,670,0.9,2,10,0.2,44,14,0.3,4,6,10,0.6,5,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760445__09ede1d1ef0c9517.json,POST_MATCH_BACKFILLED_FACT
31,31,760443,Paraguai,Paraguay,paraguai,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760443,2026-07-20T17:25:26.213688+00:00,15,1,1,3,0,5,21.5,7,2,0.3,0,0,96,178,0.5,2,6,0.3,64,22,0.3,2,15,25,0.6,9,48,48,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760443__d3d0c3212aaed656.json,POST_MATCH_BACKFILLED_FACT
31,31,760443,Turquia,Türkiye,turquia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760443,2026-07-20T17:25:26.213505+00:00,14,1,0,2,12,1,78.5,32,5,0.2,0,0,559,629,0.9,8,42,0.2,42,28,0.7,12,11,17,0.6,6,29,29,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760443__d3d0c3212aaed656.json,POST_MATCH_BACKFILLED_FACT
