jogo,jogo_original_fonte,espn_event_id,summary_home_team,summary_away_team,summary_home_score,summary_away_score,summary_home_penalty_score,summary_away_penalty_score,summary_winner_home,summary_winner_away,summary_completed,summary_status,source_url,collected_at
12,12,760424,Suécia,Tunísia,5,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760424,2026-07-20T17:24:10.770324+00:00
13,13,760429,Arábia Saudita,Uruguai,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760429,2026-07-20T17:24:22.663169+00:00
14,14,760428,Espanha,Cabo Verde,0,0,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428,2026-07-20T17:24:13.507289+00:00
15,15,760427,Irã,Nova Zelândia,2,2,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760427,2026-07-20T17:24:25.534234+00:00
16,16,760426,Bélgica,Egito,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426,2026-07-20T17:24:17.699660+00:00
17,17,760432,França,Senegal,3,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760432,2026-07-20T17:24:27.694131+00:00
18,18,760430,Iraque,Noruega,1,4,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760430,2026-07-20T17:24:31.490745+00:00
19,19,760433,Argentina,Argélia,3,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760433,2026-07-20T17:24:34.076843+00:00
20,20,760431,Áustria,Jordânia,3,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760431,2026-07-20T17:24:39.087331+00:00
21,21,760434,Gana,Panamá,1,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760434,2026-07-20T17:24:52.040209+00:00
22,22,760437,Inglaterra,Croácia,4,2,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760437,2026-07-20T17:24:47.073334+00:00
23,23,760435,Portugal,RD Congo,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760435,2026-07-20T17:24:44.147929+00:00
24,24,760436,Uzbequistão,Colômbia,1,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760436,2026-07-20T17:24:55.470920+00:00
25,25,760438,Tchéquia,África do Sul,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760438,2026-07-20T17:24:58.306782+00:00
26,26,760439,Suíça,Bósnia e Herzegovina,4,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439,2026-07-20T17:25:02.398976+00:00
27,27,760440,Canadá,Catar,6,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760440,2026-07-20T17:25:06.063145+00:00
28,28,760441,México,Coreia do Sul,1,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760441,2026-07-20T17:25:08.522139+00:00
29,29,760444,Brasil,Haiti,3,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760444,2026-07-20T17:25:21.548625+00:00
30,30,760445,Escócia,Marrocos,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760445,2026-07-20T17:25:16.916052+00:00
31,31,760443,Turquia,Paraguai,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760443,2026-07-20T17:25:26.204981+00:00
32,32,760442,Estados Unidos,Austrália,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442,2026-07-20T17:25:12.745044+00:00
33,33,760448,Alemanha,Costa do Marfim,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760448,2026-07-20T17:25:31.356551+00:00
34,34,760446,Equador,Curaçao,0,0,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760446,2026-07-20T17:25:33.955912+00:00
35,35,760447,Países Baixos,Suécia,5,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760447,2026-07-20T17:25:28.644805+00:00
36,36,760449,Tunísia,Japão,0,4,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760449,2026-07-20T17:25:37.061194+00:00
37,37,760450,Uruguai,Cabo Verde,2,2,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760450,2026-07-20T17:25:47.234028+00:00
38,38,760453,Espanha,Arábia Saudita,4,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760453,2026-07-20T17:25:42.545479+00:00
39,39,760451,Bélgica,Irã,0,0,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760451,2026-07-20T17:25:44.911018+00:00
40,40,760452,Nova Zelândia,Egito,1,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760452,2026-07-20T17:25:51.489279+00:00
41,41,760454,Noruega,Senegal,3,2,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760454,2026-07-20T17:26:03.412645+00:00
42,42,760457,França,Iraque,3,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760457,2026-07-20T17:25:58.791453+00:00
43,43,760456,Argentina,Áustria,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760456,2026-07-20T17:25:55.159898+00:00
44,44,760455,Jordânia,Argélia,1,2,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760455,2026-07-20T17:26:08.727867+00:00
45,45,760458,Inglaterra,Gana,0,0,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760458,2026-07-20T17:26:15.117484+00:00
46,46,760460,Panamá,Croácia,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760460,2026-07-20T17:26:19.165979+00:00
47,47,760461,Portugal,Uzbequistão,5,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760461,2026-07-20T17:26:11.486403+00:00
48,48,760459,Colômbia,RD Congo,1,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760459,2026-07-20T17:26:21.319991+00:00
49,49,760465,Escócia,Brasil,0,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760465,2026-07-20T17:26:39.872347+00:00
50,50,760464,Marrocos,Haiti,4,2,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760464,2026-07-20T17:26:34.773481+00:00
51,51,760463,Suíça,Canadá,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760463,2026-07-20T17:26:30.664866+00:00
52,52,760462,Bósnia e Herzegovina,Catar,3,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760462,2026-07-20T17:26:25.436666+00:00
53,53,760467,Tchéquia,México,0,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760467,2026-07-20T17:26:49.335753+00:00
54,54,760466,África do Sul,Coreia do Sul,1,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760466,2026-07-20T17:26:44.125248+00:00
55,55,760473,Curaçao,Costa do Marfim,0,2,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760473,2026-07-20T17:26:57.340498+00:00
56,56,760468,Equador,Alemanha,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760468,2026-07-20T17:26:53.362137+00:00
57,57,760471,Japão,Suécia,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760471,2026-07-20T17:27:01.077458+00:00
58,58,760472,Tunísia,Países Baixos,1,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760472,2026-07-20T17:27:04.700630+00:00
59,59,760470,Turquia,Estados Unidos,3,2,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760470,2026-07-20T17:27:12.009782+00:00
60,60,760469,Paraguai,Austrália,0,0,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760469,2026-07-20T17:27:08.345834+00:00
61,61,760475,Noruega,França,1,4,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760475,2026-07-20T17:27:21.527711+00:00
62,62,760474,Senegal,Iraque,5,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760474,2026-07-20T17:27:16.327297+00:00
63,63,760476,Egito,Irã,1,1,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760476,2026-07-20T17:27:34.943078+00:00
64,64,760477,Nova Zelândia,Bélgica,1,5,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760477,2026-07-20T17:27:38.929357+00:00
65,65,760478,Cabo Verde,Arábia Saudita,0,0,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760478,2026-07-20T17:27:25.172859+00:00
66,66,760479,Uruguai,Espanha,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760479,2026-07-20T17:27:30.461991+00:00
67,67,760485,Panamá,Inglaterra,0,2,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760485,2026-07-20T17:27:46.096743+00:00
68,68,760480,Croácia,Gana,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760480,2026-07-20T17:27:42.311286+00:00
69,69,760484,Argélia,Áustria,3,3,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760484,2026-07-20T17:28:00.503272+00:00
70,70,760483,Jordânia,Argentina,1,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760483,2026-07-20T17:27:56.001672+00:00
71,71,760481,Colômbia,Portugal,0,0,,,False,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760481,2026-07-20T17:27:49.664782+00:00
72,72,760482,RD Congo,Uzbequistão,3,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760482,2026-07-20T17:27:53.483480+00:00
73,73,760486,África do Sul,Canadá,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760486,2026-07-20T17:28:04.604953+00:00
74,74,760489,Alemanha,Paraguai,1,1,3.0,4.0,False,True,True,FT-Pens,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760489,2026-07-20T17:28:13.586171+00:00
75,75,760488,Países Baixos,Marrocos,1,1,2.0,3.0,False,True,True,FT-Pens,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.161332+00:00
76,76,760487,Brasil,Japão,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760487,2026-07-20T17:28:08.920937+00:00
77,77,760492,França,Suécia,3,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760492,2026-07-20T17:28:24.431229+00:00
78,78,760490,Costa do Marfim,Noruega,1,2,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760490,2026-07-20T17:28:20.351629+00:00
79,79,760491,México,Equador,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760491,2026-07-20T17:28:27.655028+00:00
80,80,760495,Inglaterra,RD Congo,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760495,2026-07-20T17:28:32.229527+00:00
81,81,760494,Estados Unidos,Bósnia e Herzegovina,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760494,2026-07-20T17:28:39.205643+00:00
82,82,760493,Bélgica,Senegal,3,2,,,True,False,True,AET,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760493,2026-07-20T17:28:35.543957+00:00
83,83,760496,Portugal,Croácia,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760496,2026-07-20T17:28:46.132216+00:00
84,84,760497,Espanha,Áustria,3,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760497,2026-07-20T17:28:43.558662+00:00
85,85,760498,Suíça,Argélia,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760498,2026-07-20T17:28:50.762521+00:00
86,86,760500,Argentina,Cabo Verde,3,2,,,True,False,True,AET,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760500,2026-07-20T17:28:56.624855+00:00
87,87,760501,Colômbia,Gana,1,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760501,2026-07-20T17:29:01.248972+00:00
88,88,760499,Austrália,Egito,1,1,2.0,4.0,False,True,True,FT-Pens,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.502003+00:00
89,90,760503,Paraguai,França,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760503,2026-07-20T17:29:08.536276+00:00
90,89,760502,Canadá,Marrocos,0,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760502,2026-07-20T17:29:05.506447+00:00
91,91,760504,Brasil,Noruega,1,2,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760504,2026-07-20T17:29:10.723991+00:00
92,92,760505,México,Inglaterra,2,3,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760505,2026-07-20T17:29:14.118445+00:00
93,93,760506,Portugal,Espanha,0,1,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760506,2026-07-20T17:29:17.880913+00:00
94,94,760507,Estados Unidos,Bélgica,1,4,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760507,2026-07-20T17:29:22.156020+00:00
95,95,760509,Argentina,Egito,3,2,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760509,2026-07-20T17:29:26.967938+00:00
96,96,760508,Suíça,Colômbia,0,0,4.0,3.0,True,False,True,FT-Pens,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.888343+00:00
97,97,760510,França,Marrocos,2,0,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760510,2026-07-20T17:29:34.640869+00:00
98,98,760511,Espanha,Bélgica,2,1,,,True,False,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760511,2026-07-20T17:29:38.243837+00:00
99,99,760512,Noruega,Inglaterra,1,2,,,False,True,True,AET,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760512,2026-07-20T17:29:41.742274+00:00
100,100,760513,Argentina,Suíça,3,1,,,True,False,True,AET,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760513,2026-07-20T17:29:45.703807+00:00
101,101,760514,França,Espanha,0,2,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760514,2026-07-20T17:29:47.994276+00:00
102,102,760515,Inglaterra,Argentina,1,2,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760515,2026-07-20T17:29:53.115575+00:00
103,103,760516,França,Inglaterra,4,6,,,False,True,True,FT,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760516,2026-07-20T17:29:57.233310+00:00
104,104,760517,Espanha,Argentina,1,0,,,True,False,True,AET,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760517,2026-07-20T17:30:01.181564+00:00
