jogo,data,fase,equipe1,equipe2,placar_real,selecao,adversario,xg_pro,xg_contra,posse_pct,finalizacoes,finalizacoes_contra,finalizacoes_alvo,finalizacoes_alvo_contra,grandes_chances,grandes_chances_contra,toques_area,toques_area_contra,entradas_terco_final,entradas_terco_final_contra,passes_certos,passes_total,cruzamentos_certos,cruzamentos_total,duelos_aereos_ganhos,duelos_aereos_total,recuperacoes,clearances,interceptacoes,erros_gol,jogador_destaque,rating_sofascore,tipo_desempenho,detalhe_pesquisado,fonte,escopo_dado,gp,gf,ga,xg_total,gols_acima_xg,indice_desempenho_geral,impacto_modelo
6,2026-06-14,Fase de grupos,Austrália,Turquia,2-0,Austrália,Turquia,NA,NA,28.4,9.0,30.0,4.0,8.0,NA,NA,NA,NA,NA,NA,201.0,271.0,4.0,14.0,NA,NA,NA,55.0,7.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Austrália 2-0 Turquia; posse 28.4%, finalizações 9.0 (4.0 no alvo), escanteios 5.0, faltas 12.0.",ESPN public API event 760421 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.1036
6,2026-06-14,Fase de grupos,Austrália,Turquia,2-0,Turquia,Austrália,NA,NA,71.6,30.0,9.0,8.0,4.0,NA,NA,NA,NA,NA,NA,635.0,704.0,2.0,26.0,NA,NA,NA,29.0,4.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Turquia 0-2 Austrália; posse 71.6%, finalizações 30.0 (8.0 no alvo), escanteios 8.0, faltas 4.0.",ESPN public API event 760421 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.0464
10,2026-06-14,Fase de grupos,Alemanha,Curaçao,7-1,Alemanha,Curaçao,NA,NA,64.6,26.0,8.0,12.0,2.0,NA,NA,NA,NA,NA,NA,554.0,637.0,5.0,12.0,NA,NA,NA,8.0,12.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Alemanha 7-1 Curaçao; posse 64.6%, finalizações 26.0 (12.0 no alvo), escanteios 8.0, faltas 18.0.",ESPN public API event 760422 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.8084
10,2026-06-14,Fase de grupos,Alemanha,Curaçao,7-1,Curaçao,Alemanha,NA,NA,35.4,8.0,26.0,2.0,12.0,NA,NA,NA,NA,NA,NA,282.0,343.0,2.0,7.0,NA,NA,NA,25.0,16.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Curaçao 1-7 Alemanha; posse 35.4%, finalizações 8.0 (2.0 no alvo), escanteios 1.0, faltas 11.0.",ESPN public API event 760422 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.6584
11,2026-06-14,Fase de grupos,Países Baixos,Japão,2-2,Países Baixos,Japão,NA,NA,59.8,10.0,10.0,6.0,3.0,NA,NA,NA,NA,NA,NA,463.0,524.0,8.0,21.0,NA,NA,NA,23.0,7.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Países Baixos 2-2 Japão; posse 59.8%, finalizações 10.0 (6.0 no alvo), escanteios 5.0, faltas 7.0.",ESPN public API event 760425 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.2092
11,2026-06-14,Fase de grupos,Países Baixos,Japão,2-2,Japão,Países Baixos,NA,NA,40.2,10.0,10.0,3.0,6.0,NA,NA,NA,NA,NA,NA,286.0,341.0,6.0,23.0,NA,NA,NA,32.0,4.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Japão 2-2 Países Baixos; posse 40.2%, finalizações 10.0 (3.0 no alvo), escanteios 4.0, faltas 7.0.",ESPN public API event 760425 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.1092
9,2026-06-14,Fase de grupos,Costa do Marfim,Equador,1-0,Costa do Marfim,Equador,NA,NA,48.4,15.0,12.0,4.0,1.0,NA,NA,NA,NA,NA,NA,397.0,470.0,2.0,8.0,NA,NA,NA,29.0,11.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Costa do Marfim 1-0 Equador; posse 48.4%, finalizações 15.0 (4.0 no alvo), escanteios 3.0, faltas 10.0.",ESPN public API event 760423 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.4636
9,2026-06-14,Fase de grupos,Costa do Marfim,Equador,1-0,Equador,Costa do Marfim,NA,NA,51.6,12.0,15.0,1.0,4.0,NA,NA,NA,NA,NA,NA,419.0,492.0,4.0,14.0,NA,NA,NA,18.0,13.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Equador 0-1 Costa do Marfim; posse 51.6%, finalizações 12.0 (1.0 no alvo), escanteios 6.0, faltas 13.0.",ESPN public API event 760423 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.3136
12,2026-06-14,Fase de grupos,Suécia,Tunísia,5-1,Suécia,Tunísia,NA,NA,48.7,13.0,6.0,7.0,2.0,NA,NA,NA,NA,NA,NA,278.0,356.0,3.0,12.0,NA,NA,NA,23.0,6.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Suécia 5-1 Tunísia; posse 48.7%, finalizações 13.0 (7.0 no alvo), escanteios 4.0, faltas 10.0.",ESPN public API event 760424 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.5448
12,2026-06-14,Fase de grupos,Suécia,Tunísia,5-1,Tunísia,Suécia,NA,NA,51.3,6.0,13.0,2.0,7.0,NA,NA,NA,NA,NA,NA,292.0,371.0,3.0,13.0,NA,NA,NA,13.0,6.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Tunísia 1-5 Suécia; posse 51.3%, finalizações 6.0 (2.0 no alvo), escanteios 2.0, faltas 8.0.",ESPN public API event 760424 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.3948
14,2026-06-15,Fase de grupos,Espanha,Cabo Verde,0-0,Espanha,Cabo Verde,NA,NA,74.3,27.0,6.0,7.0,1.0,NA,NA,NA,NA,NA,NA,734.0,800.0,6.0,36.0,NA,NA,NA,7.0,6.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Espanha 0-0 Cabo Verde; posse 74.3%, finalizações 27.0 (7.0 no alvo), escanteios 11.0, faltas 10.0.",ESPN public API event 760428 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.3872
14,2026-06-15,Fase de grupos,Espanha,Cabo Verde,0-0,Cabo Verde,Espanha,NA,NA,25.7,6.0,27.0,1.0,7.0,NA,NA,NA,NA,NA,NA,205.0,278.0,1.0,4.0,NA,NA,NA,46.0,15.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Cabo Verde 0-0 Espanha; posse 25.7%, finalizações 6.0 (1.0 no alvo), escanteios 1.0, faltas 1.0.",ESPN public API event 760428 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.2872
16,2026-06-15,Fase de grupos,Bélgica,Egito,1-1,Bélgica,Egito,NA,NA,53.6,15.0,14.0,3.0,3.0,NA,NA,NA,NA,NA,NA,391.0,455.0,6.0,16.0,NA,NA,NA,25.0,10.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Bélgica 1-1 Egito; posse 53.6%, finalizações 15.0 (3.0 no alvo), escanteios 2.0, faltas 15.0.",ESPN public API event 760426 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.0644
16,2026-06-15,Fase de grupos,Bélgica,Egito,1-1,Egito,Bélgica,NA,NA,46.4,14.0,15.0,3.0,3.0,NA,NA,NA,NA,NA,NA,323.0,398.0,2.0,13.0,NA,NA,NA,17.0,16.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Egito 1-1 Bélgica; posse 46.4%, finalizações 14.0 (3.0 no alvo), escanteios 7.0, faltas 15.0.",ESPN public API event 760426 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.0356
13,2026-06-15,Fase de grupos,Arábia Saudita,Uruguai,1-1,Arábia Saudita,Uruguai,NA,NA,33.2,7.0,27.0,3.0,10.0,NA,NA,NA,NA,NA,NA,236.0,322.0,3.0,6.0,NA,NA,NA,43.0,9.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Arábia Saudita 1-1 Uruguai; posse 33.2%, finalizações 7.0 (3.0 no alvo), escanteios 4.0, faltas 11.0.",ESPN public API event 760429 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.2972
13,2026-06-15,Fase de grupos,Arábia Saudita,Uruguai,1-1,Uruguai,Arábia Saudita,NA,NA,66.8,27.0,7.0,10.0,3.0,NA,NA,NA,NA,NA,NA,540.0,612.0,16.0,47.0,NA,NA,NA,17.0,10.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Uruguai 1-1 Arábia Saudita; posse 66.8%, finalizações 27.0 (10.0 no alvo), escanteios 14.0, faltas 6.0.",ESPN public API event 760429 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.3972
15,2026-06-15,Fase de grupos,Irã,Nova Zelândia,2-2,Irã,Nova Zelândia,NA,NA,48.5,17.0,14.0,4.0,8.0,NA,NA,NA,NA,NA,NA,314.0,409.0,6.0,19.0,NA,NA,NA,27.0,11.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Irã 2-2 Nova Zelândia; posse 48.5%, finalizações 17.0 (4.0 no alvo), escanteios 4.0, faltas 10.0.",ESPN public API event 760427 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.116
15,2026-06-15,Fase de grupos,Irã,Nova Zelândia,2-2,Nova Zelândia,Irã,NA,NA,51.5,14.0,17.0,8.0,4.0,NA,NA,NA,NA,NA,NA,376.0,446.0,1.0,12.0,NA,NA,NA,26.0,15.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Nova Zelândia 2-2 Irã; posse 51.5%, finalizações 14.0 (8.0 no alvo), escanteios 1.0, faltas 8.0.",ESPN public API event 760427 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.216
17,2026-06-16,Fase de grupos,França,Senegal,3-1,França,Senegal,NA,NA,53.4,11.0,6.0,8.0,2.0,NA,NA,NA,NA,NA,NA,505.0,575.0,0.0,9.0,NA,NA,NA,14.0,7.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: França 3-1 Senegal; posse 53.4%, finalizações 11.0 (8.0 no alvo), escanteios 6.0, faltas 5.0.",ESPN public API event 760432 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.6036
17,2026-06-16,Fase de grupos,França,Senegal,3-1,Senegal,França,NA,NA,46.6,6.0,11.0,2.0,8.0,NA,NA,NA,NA,NA,NA,430.0,502.0,1.0,9.0,NA,NA,NA,17.0,8.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Senegal 1-3 França; posse 46.6%, finalizações 6.0 (2.0 no alvo), escanteios 4.0, faltas 9.0.",ESPN public API event 760432 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.4536
19,2026-06-16,Fase de grupos,Argentina,Argélia,3-0,Argentina,Argélia,NA,NA,47.8,10.0,7.0,6.0,1.0,NA,NA,NA,NA,NA,NA,504.0,561.0,1.0,6.0,NA,NA,NA,17.0,10.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Argentina 3-0 Argélia; posse 47.8%, finalizações 10.0 (6.0 no alvo), escanteios 2.0, faltas 13.0.",ESPN public API event 760433 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.5412
19,2026-06-16,Fase de grupos,Argentina,Argélia,3-0,Argélia,Argentina,NA,NA,52.2,7.0,10.0,1.0,6.0,NA,NA,NA,NA,NA,NA,563.0,609.0,1.0,9.0,NA,NA,NA,12.0,8.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Argélia 0-3 Argentina; posse 52.2%, finalizações 7.0 (1.0 no alvo), escanteios 2.0, faltas 8.0.",ESPN public API event 760433 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.3912
20,2026-06-17,Fase de grupos,Áustria,Jordânia,3-1,Áustria,Jordânia,NA,NA,63.2,11.0,11.0,4.0,4.0,NA,NA,NA,NA,NA,NA,487.0,580.0,3.0,17.0,NA,NA,NA,24.0,15.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Áustria 3-1 Jordânia; posse 63.2%, finalizações 11.0 (4.0 no alvo), escanteios 4.0, faltas 12.0.",ESPN public API event 760431 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.4028
20,2026-06-17,Fase de grupos,Áustria,Jordânia,3-1,Jordânia,Áustria,NA,NA,36.8,11.0,11.0,4.0,4.0,NA,NA,NA,NA,NA,NA,241.0,332.0,3.0,15.0,NA,NA,NA,39.0,12.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Jordânia 1-3 Áustria; posse 36.8%, finalizações 11.0 (4.0 no alvo), escanteios 3.0, faltas 7.0.",ESPN public API event 760431 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.2528
23,2026-06-17,Fase de grupos,Portugal,RD Congo,1-1,Portugal,RD Congo,NA,NA,75.4,7.0,8.0,1.0,2.0,NA,NA,NA,NA,NA,NA,724.0,783.0,6.0,23.0,NA,NA,NA,10.0,3.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Portugal 1-1 RD Congo; posse 75.4%, finalizações 7.0 (1.0 no alvo), escanteios 5.0, faltas 9.0.",ESPN public API event 760435 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.1116
23,2026-06-17,Fase de grupos,Portugal,RD Congo,1-1,RD Congo,Portugal,NA,NA,24.6,8.0,7.0,2.0,1.0,NA,NA,NA,NA,NA,NA,195.0,249.0,1.0,10.0,NA,NA,NA,27.0,5.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: RD Congo 1-1 Portugal; posse 24.6%, finalizações 8.0 (2.0 no alvo), escanteios 4.0, faltas 10.0.",ESPN public API event 760435 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.0116
22,2026-06-17,Fase de grupos,Inglaterra,Croácia,4-2,Inglaterra,Croácia,NA,NA,51.7,22.0,10.0,11.0,5.0,NA,NA,NA,NA,NA,NA,406.0,474.0,6.0,13.0,NA,NA,NA,16.0,7.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Inglaterra 4-2 Croácia; posse 51.7%, finalizações 22.0 (11.0 no alvo), escanteios 8.0, faltas 10.0.",ESPN public API event 760437 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.5968
22,2026-06-17,Fase de grupos,Inglaterra,Croácia,4-2,Croácia,Inglaterra,NA,NA,48.3,10.0,22.0,5.0,11.0,NA,NA,NA,NA,NA,NA,381.0,443.0,2.0,13.0,NA,NA,NA,17.0,9.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Croácia 2-4 Inglaterra; posse 48.3%, finalizações 10.0 (5.0 no alvo), escanteios 2.0, faltas 12.0.",ESPN public API event 760437 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,-0.4468
21,2026-06-17,Fase de grupos,Gana,Panamá,1-0,Gana,Panamá,NA,NA,38.0,7.0,11.0,2.0,4.0,NA,NA,NA,NA,NA,NA,292.0,352.0,4.0,16.0,NA,NA,NA,28.0,8.0,NA,NA,NA,espn_estatisticas_time,"ESPN stats: Gana 1-0 Panamá; posse 38.0%, finalizações 7.0 (2.0 no alvo), escanteios 2.0, faltas 9.0.",ESPN public API event 760434 | https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,estatistica_time_partida_espn,NA,NA,NA,NA,NA,NA,0.222
