jogo,jogo_original_fonte,espn_event_id,date,home_team,away_team,calendar_equipe1_original,calendar_equipe2_original,mapping_confidence,mapping_reason,participant_change_required,completed
65,65,760478,2026-06-27,Cabo Verde,Arábia Saudita,Cabo Verde,Arábia Saudita,date_team,Mesma dupla e data ±1 dia,False,True
66,66,760479,2026-06-27,Uruguai,Espanha,Uruguai,Espanha,date_team,Mesma dupla e data ±1 dia,False,True
67,67,760485,2026-06-27,Panamá,Inglaterra,Panamá,Inglaterra,date_team,Mesma dupla e data ±1 dia,False,True
68,68,760480,2026-06-27,Croácia,Gana,Croácia,Gana,date_team,Mesma dupla e data ±1 dia,False,True
69,69,760484,2026-06-28,Argélia,Áustria,Argélia,Áustria,date_team,Mesma dupla e data ±1 dia,False,True
70,70,760483,2026-06-28,Jordânia,Argentina,Jordânia,Argentina,date_team,Mesma dupla e data ±1 dia,False,True
71,71,760481,2026-06-27,Colômbia,Portugal,Colômbia,Portugal,date_team,Mesma dupla e data ±1 dia,False,True
72,72,760482,2026-06-27,RD Congo,Uzbequistão,RD Congo,Uzbequistão,date_team,Mesma dupla e data ±1 dia,False,True
73,73,760486,2026-06-28,África do Sul,Canadá,África do Sul,Canadá,date_team,Mesma dupla e data ±1 dia,False,True
74,74,760489,2026-06-29,Alemanha,Paraguai,Alemanha,Paraguai,date_team,Mesma dupla e data ±1 dia,False,True
75,75,760488,2026-06-30,Países Baixos,Marrocos,Países Baixos,Marrocos,date_team,Mesma dupla e data ±1 dia,False,True
76,76,760487,2026-06-29,Brasil,Japão,Brasil,Japão,date_team,Mesma dupla e data ±1 dia,False,True
77,77,760492,2026-06-30,França,Suécia,França,Suécia,date_team,Mesma dupla e data ±1 dia,False,True
78,78,760490,2026-06-30,Costa do Marfim,Noruega,Costa do Marfim,Noruega,date_team,Mesma dupla e data ±1 dia,False,True
79,79,760491,2026-07-01,México,Equador,México,Equador,date_team,Mesma dupla e data ±1 dia,False,True
80,80,760495,2026-07-01,Inglaterra,RD Congo,Inglaterra,RD Congo,date_team,Mesma dupla e data ±1 dia,False,True
81,81,760494,2026-07-02,Estados Unidos,Bósnia e Herzegovina,Estados Unidos,Bósnia e Herzegovina,date_team,Mesma dupla e data ±1 dia,False,True
82,82,760493,2026-07-01,Bélgica,Senegal,Bélgica,Senegal,date_team,Mesma dupla e data ±1 dia,False,True
83,83,760496,2026-07-02,Portugal,Croácia,Portugal,Croácia,date_team,Mesma dupla e data ±1 dia,False,True
84,84,760497,2026-07-02,Espanha,Áustria,Espanha,Áustria,date_team,Mesma dupla e data ±1 dia,False,True
85,85,760498,2026-07-03,Suíça,Argélia,Suíça,Argélia,date_team,Mesma dupla e data ±1 dia,False,True
86,86,760500,2026-07-03,Argentina,Cabo Verde,Argentina,Cabo Verde,date_team,Mesma dupla e data ±1 dia,False,True
87,87,760501,2026-07-04,Colômbia,Gana,Colômbia,Gana,date_team,Mesma dupla e data ±1 dia,False,True
88,88,760499,2026-07-03,Austrália,Egito,Austrália,Egito,date_team,Mesma dupla e data ±1 dia,False,True
89,90,760503,2026-07-04,Paraguai,França,Paraguai,França,date_team,Mesma dupla e data ±1 dia,False,True
90,89,760502,2026-07-04,Canadá,Marrocos,Canadá,Marrocos,date_team,Mesma dupla e data ±1 dia,False,True
91,91,760504,2026-07-05,Brasil,Noruega,Brasil,Noruega,date_team,Mesma dupla e data ±1 dia,False,True
92,92,760505,2026-07-06,México,Inglaterra,México,Inglaterra,date_team,Mesma dupla e data ±1 dia,False,True
93,93,760506,2026-07-06,Portugal,Espanha,Portugal,Espanha,date_team,Mesma dupla e data ±1 dia,False,True
94,94,760507,2026-07-07,Estados Unidos,Bélgica,Estados Unidos,Bélgica,date_team,Mesma dupla e data ±1 dia,False,True
95,95,760509,2026-07-07,Argentina,Egito,Argentina,Egito,date_team,Mesma dupla e data ±1 dia,False,True
96,96,760508,2026-07-07,Suíça,Colômbia,Suíça,Colômbia,date_team,Mesma dupla e data ±1 dia,False,True
97,97,760510,2026-07-09,França,Marrocos,Marrocos,França,date_team,Mesma dupla e data ±1 dia,False,True
98,98,760511,2026-07-10,Espanha,Bélgica,Espanha,Bélgica,date_team,Mesma dupla e data ±1 dia,False,True
99,99,760512,2026-07-11,Noruega,Inglaterra,Noruega,Inglaterra,date_team,Mesma dupla e data ±1 dia,False,True
100,100,760513,2026-07-12,Argentina,Suíça,Suíça,Argentina,date_team,Mesma dupla e data ±1 dia,False,True
101,101,760514,2026-07-14,França,Espanha,França,Espanha,date_team,Mesma dupla e data ±1 dia,False,True
102,102,760515,2026-07-15,Inglaterra,Argentina,Inglaterra,Argentina,date_team,Mesma dupla e data ±1 dia,False,True
103,103,760516,2026-07-18,França,Inglaterra,França,Inglaterra,date_team,Mesma dupla e data ±1 dia,False,True
104,104,760517,2026-07-19,Espanha,Argentina,Espanha,Argentina,date_team,Mesma dupla e data ±1 dia,False,True
