jogo,jogo_original_fonte,espn_event_id,event_id,team_id,team,team_espn,player_id,player,kick_number,converted,result,source_url,collected_at
75,75,760488,49665204,449,Países Baixos,Netherlands,245916,Justin Kluivert,2,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.175989+00:00
75,75,760488,49665205,2869,Marrocos,Morocco,276139,Soufiane Rahimi,2,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176043+00:00
75,75,760488,49665206,449,Países Baixos,Netherlands,177042,Wout Weghorst,3,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176001+00:00
75,75,760488,49665207,2869,Marrocos,Morocco,360062,Chemsdine Talbi,3,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176051+00:00
75,75,760488,49665208,449,Países Baixos,Netherlands,282230,Quinten Timber,4,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176011+00:00
75,75,760488,49665209,2869,Marrocos,Morocco,240233,Achraf Hakimi,4,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176060+00:00
75,75,760488,49665210,449,Países Baixos,Netherlands,284792,Crysencio Summerville,5,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176021+00:00
75,75,760488,49665211,2869,Marrocos,Morocco,304572,Ismael Saibari,5,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760488,2026-07-20T17:28:18.176069+00:00
88,88,760499,49687110,628,Austrália,Australia,207461,Harry Souttar,1,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519233+00:00
88,88,760499,49687111,2620,Egito,Egypt,314444,Mahmoud Saber,1,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519318+00:00
88,88,760499,49687112,628,Austrália,Australia,178071,Jackson Irvine,2,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519258+00:00
88,88,760499,49687113,2620,Egito,Egypt,187571,Ramy Rabia,2,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519332+00:00
88,88,760499,49687114,628,Austrália,Australia,181707,Awer Mabil,3,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519276+00:00
88,88,760499,49687115,2620,Egito,Egypt,173896,Mohamed Salah,3,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519345+00:00
88,88,760499,49687116,628,Austrália,Australia,392320,Lucas Herrington,4,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519293+00:00
88,88,760499,49687117,2620,Egito,Egypt,308926,Hossam Abdelmaguid,4,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760499,2026-07-20T17:28:54.519357+00:00
96,96,760508,49734349,208,Colômbia,Colombia,177780,Juan Fernando Quintero,1,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903569+00:00
96,96,760508,49734350,475,Suíça,Switzerland,149981,Granit Xhaka,1,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903635+00:00
96,96,760508,49734351,208,Colômbia,Colombia,197105,Davinson Sánchez,2,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903589+00:00
96,96,760508,49734352,475,Suíça,Switzerland,320757,Zeki Amdouni,2,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903645+00:00
96,96,760508,49734353,208,Colômbia,Colombia,255295,Jáminton Campaz,3,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903602+00:00
96,96,760508,49734354,475,Suíça,Switzerland,214562,Manuel Akanji,3,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903655+00:00
96,96,760508,49734355,208,Colômbia,Colombia,336809,Cucho Hernández,4,False,MISSED_OR_SAVED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903612+00:00
96,96,760508,49734356,475,Suíça,Switzerland,234153,Cedric Itten,4,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903665+00:00
96,96,760508,49734357,208,Colômbia,Colombia,257390,Luis Díaz,5,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903621+00:00
96,96,760508,49734358,475,Suíça,Switzerland,259513,Rubén Vargas,5,True,CONVERTED,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.903675+00:00
