jogo,jogo_original_fonte,data,fase,equipe1,equipe2,gols1_real,gols2_real,placar_real,gols1_90,gols2_90,vencedor_real,status_real,decision_method,placar_penaltis_real,vencedor_penaltis_real,fonte,source_secondary,espn_event_id,collected_at,source_sha256,validation_status,confidence,review_required,conflict_reason,mapping_confidence,participant_change_required,scoreboard_summary_agree,fifa_agrees,source_data,source_equipe1,source_equipe2,source_orientation_swapped,canonical_result_agrees
22,22,2026-06-17,Fase de grupos,Inglaterra,Croácia,4,2,4-2,,,Inglaterra,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760437,760437,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-17,Inglaterra,Croácia,False,True
23,23,2026-06-17,Fase de grupos,Portugal,RD Congo,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760435,760435,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-17,Portugal,RD Congo,False,True
24,24,2026-06-17,Fase de grupos,Uzbequistão,Colômbia,1,3,1-3,,,Colômbia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760436,760436,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-17,Uzbequistão,Colômbia,False,True
25,25,2026-06-18,Fase de grupos,Tchéquia,África do Sul,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760438,760438,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-18,Tchéquia,África do Sul,False,True
26,26,2026-06-18,Fase de grupos,Suíça,Bósnia e Herzegovina,4,1,4-1,,,Suíça,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439,760439,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-18,Suíça,Bósnia e Herzegovina,False,True
27,27,2026-06-18,Fase de grupos,Canadá,Catar,6,0,6-0,,,Canadá,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760440,760440,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-18,Canadá,Catar,False,True
28,28,2026-06-18,Fase de grupos,México,Coreia do Sul,1,0,1-0,,,México,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760441,760441,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-18,México,Coreia do Sul,False,True
29,29,2026-06-19,Fase de grupos,Brasil,Haiti,3,0,3-0,,,Brasil,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760444,760444,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-19,Brasil,Haiti,False,True
30,30,2026-06-19,Fase de grupos,Escócia,Marrocos,0,1,0-1,,,Marrocos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760445,760445,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-19,Escócia,Marrocos,False,True
31,31,2026-06-20,Fase de grupos,Turquia,Paraguai,0,1,0-1,,,Paraguai,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760443,760443,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-19,Turquia,Paraguai,False,True
32,32,2026-06-19,Fase de grupos,Estados Unidos,Austrália,2,0,2-0,,,Estados Unidos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442,760442,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-19,Estados Unidos,Austrália,False,True
33,33,2026-06-20,Fase de grupos,Alemanha,Costa do Marfim,2,1,2-1,,,Alemanha,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760448,760448,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-20,Alemanha,Costa do Marfim,False,True
34,34,2026-06-20,Fase de grupos,Equador,Curaçao,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760446,760446,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-20,Equador,Curaçao,False,True
35,35,2026-06-20,Fase de grupos,Países Baixos,Suécia,5,1,5-1,,,Países Baixos,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760447,760447,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-20,Países Baixos,Suécia,False,True
36,36,2026-06-21,Fase de grupos,Tunísia,Japão,0,4,0-4,,,Japão,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760449,760449,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-20,Tunísia,Japão,False,True
37,37,2026-06-21,Fase de grupos,Uruguai,Cabo Verde,2,2,2-2,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760450,760450,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-21,Uruguai,Cabo Verde,False,True
38,38,2026-06-21,Fase de grupos,Espanha,Arábia Saudita,4,0,4-0,,,Espanha,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760453,760453,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-21,Espanha,Arábia Saudita,False,True
39,39,2026-06-21,Fase de grupos,Bélgica,Irã,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760451,760451,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-21,Bélgica,Irã,False,True
40,40,2026-06-21,Fase de grupos,Nova Zelândia,Egito,1,3,1-3,,,Egito,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760452,760452,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-21,Nova Zelândia,Egito,False,True
41,41,2026-06-22,Fase de grupos,Noruega,Senegal,3,2,3-2,,,Noruega,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760454,760454,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-22,Noruega,Senegal,False,True
42,42,2026-06-22,Fase de grupos,França,Iraque,3,0,3-0,,,França,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760457,760457,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-22,França,Iraque,False,True
43,43,2026-06-22,Fase de grupos,Argentina,Áustria,2,0,2-0,,,Argentina,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760456,760456,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-22,Argentina,Áustria,False,True
44,44,2026-06-23,Fase de grupos,Jordânia,Argélia,1,2,1-2,,,Argélia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760455,760455,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-22,Jordânia,Argélia,False,True
45,45,2026-06-23,Fase de grupos,Inglaterra,Gana,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760458,760458,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-23,Inglaterra,Gana,False,True
46,46,2026-06-23,Fase de grupos,Panamá,Croácia,0,1,0-1,,,Croácia,Finalizado,REGULAR_TIME,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760460,760460,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,,date_team,False,True,False,2026-06-23,Panamá,Croácia,False,True
