jogo,jogo_original_fonte,espn_event_id,event_id,period,clock,type_text,team,team_espn,player,participants_json,text,scoring_play,shootout,penalty,own_goal,yellow_card,red_card,substitution,source_url,collected_at,source_file,source_collected_at,temporal_status
1,1,760415,49484043.0,2.0,49',Red Card,África do Sul,South Africa,Sphephelo Sithole,"[""Sphephelo Sithole""]",Yaya Sithole (South Africa) is shown the red card.,False,False,False,False,False,True,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180203+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180203+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484117.0,2.0,56',Substitution,África do Sul,South Africa,Thalente Mbatha,"[""Thalente Mbatha"", ""Lyle Foster""]","Substitution, South Africa. Thalente Mbatha replaces Lyle Foster.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180250+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180250+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484186.0,2.0,61',Substitution,África do Sul,South Africa,Themba Zwane,"[""Themba Zwane"", ""Jayden Adams""]","Substitution, South Africa. Themba Zwane replaces Jayden Adams.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180296+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180296+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484243.0,2.0,66',Substitution,México,Mexico,Luis Chávez,"[""Luis Chávez"", ""Brian Gutiérrez""]","Substitution, Mexico. Luis Chávez replaces Brian Gutiérrez.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180340+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180340+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484244.0,2.0,66',Substitution,México,Mexico,Gilberto Mora,"[""Gilberto Mora"", ""Álvaro Fidalgo""]","Substitution, Mexico. Gilberto Mora replaces Álvaro Fidalgo.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.180383+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.180383+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484266.0,2.0,67',Goal - Header,México,Mexico,Raúl Jiménez,"[""Raúl Jiménez"", ""Roberto Alvarado""]","Goal! Mexico 2, South Africa 0. Raúl Jiménez (Mexico) header from very close range to the bottom left corner. Assisted by Roberto Alvarado with a cross.",True,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.182533+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.182533+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484268.0,2.0,68',Start Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.182794+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.182794+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484269.0,2.0,68',Start Delay,México,Mexico,,[],Delay in match for a drinks break.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.182705+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.182705+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484271.0,2.0,70',End Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.182955+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.182955+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484274.0,2.0,70',End Delay,México,Mexico,,[],Delay over. They are ready to continue.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.182875+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.182875+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484313.0,2.0,73',Start Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183114+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183114+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484314.0,2.0,73',Start Delay,México,Mexico,,[],Delay in match because of an injury Raúl Jiménez (Mexico).,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183035+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183035+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484316.0,2.0,73',End Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183266+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183266+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484317.0,2.0,73',End Delay,México,Mexico,,[],Delay over. They are ready to continue.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183186+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183186+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484324.0,2.0,74',Yellow Card,África do Sul,South Africa,Nkosinathi Sibisi,"[""Nkosinathi Sibisi""]",Nkosinathi Sibisi (South Africa) is shown the yellow card for a bad foul.,False,False,False,False,True,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183351+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183351+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484359.0,2.0,76',Substitution,México,Mexico,Edson Álvarez,"[""Edson Álvarez"", ""Érik Lira""]","Substitution, Mexico. Edson Álvarez replaces Érik Lira.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183452+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183452+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484360.0,2.0,76',Substitution,México,Mexico,Armando González,"[""Armando González"", ""Raúl Jiménez""]","Substitution, Mexico. Armando González replaces Raúl Jiménez.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183533+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183533+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484361.0,2.0,76',Substitution,África do Sul,South Africa,Evidence Makgopa,"[""Evidence Makgopa"", ""Iqraam Rayners""]","Substitution, South Africa. Evidence Makgopa replaces Iqraam Rayners.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183613+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183613+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484362.0,2.0,77',Substitution,África do Sul,South Africa,Oswin Appollis,"[""Oswin Appollis"", ""Aubrey Modiba""]","Substitution, South Africa. Oswin Appollis replaces Aubrey Modiba.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183690+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183690+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484390.0,2.0,79',Substitution,México,Mexico,Alexis Vega,"[""Alexis Vega"", ""Julián Quiñones""]","Substitution, Mexico. Alexis Vega replaces Julián Quiñones.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183764+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183764+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484421.0,2.0,81',Start Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183915+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183915+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484422.0,2.0,81',Start Delay,México,Mexico,,[],Delay in match because of an injury Roberto Alvarado (Mexico).,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.183840+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.183840+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484423.0,2.0,81',End Delay,México,Mexico,,[],Delay over. They are ready to continue.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.184009+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.184009+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484424.0,2.0,81',End Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.184085+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.184085+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484425.0,2.0,82',Start Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.184163+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.184163+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484427.0,2.0,84',End Delay,África do Sul,South Africa,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.184235+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.184235+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484429.0,2.0,84',Red Card,África do Sul,South Africa,Themba Zwane,"[""Themba Zwane""]",Themba Zwane (South Africa) is shown the red card for violent conduct.,False,False,False,False,False,True,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.184312+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.184312+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484548.0,2.0,90'+2',Red Card,México,Mexico,César Montes,"[""César Montes""]",César Montes (Mexico) is shown the red card.,False,False,False,False,False,True,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.184386+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.184386+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,49484603.0,2.0,90'+8',End Regular Time,,,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.186573+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.186573+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,,,49',,África do Sul,South Africa,Sphephelo Sithole,"[""Sphephelo Sithole""]",,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179237+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179237+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,,,67',,México,Mexico,Raúl Jiménez,"[""Raúl Jiménez"", ""Roberto Alvarado""]",,True,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179283+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179283+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,,,84',,África do Sul,South Africa,Themba Zwane,"[""Themba Zwane""]",,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179326+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179326+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,,,9',,México,Mexico,Julián Quiñones,"[""Julián Quiñones"", ""Érik Lira""]",,True,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179156+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179156+00:00,POST_MATCH_BACKFILLED_FACT
1,1,760415,,,90'+2',,México,Mexico,César Montes,"[""César Montes""]",,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760415,2026-07-20T17:23:31.179364+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760415__42821309b25c1394.json,2026-07-20T17:23:31.179364+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484621.0,1.0,"{'value': 0.0, 'displayValue': ''}",Kickoff,,,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.763375+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.763375+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484925.0,1.0,23',Start Delay,Coreia do Sul,South Korea,,[],Delay in match for a drinks break.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.763475+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.763475+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484926.0,1.0,23',Start Delay,Tchéquia,Czechia,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.763558+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.763558+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484927.0,1.0,25',End Delay,Coreia do Sul,South Korea,,[],Delay over. They are ready to continue.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.763635+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.763635+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484928.0,1.0,25',End Delay,Tchéquia,Czechia,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.763750+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.763750+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484936.0,1.0,26',Start Delay,Coreia do Sul,South Korea,,[],Delay in match (Korea Republic).,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.763831+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.763831+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484937.0,1.0,26',Start Delay,Tchéquia,Czechia,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.763922+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.763922+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484938.0,1.0,27',End Delay,Tchéquia,Czechia,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764089+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764089+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49484939.0,1.0,27',End Delay,Coreia do Sul,South Korea,,[],Delay over. They are ready to continue.,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764015+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764015+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485324.0,1.0,45'+4',Halftime,,,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764150+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764150+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485334.0,2.0,45',Start 2nd Half,,,,[],,False,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764228+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764228+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485589.0,2.0,59',Goal - Header,Tchéquia,Czechia,Ladislav Krejcí,"[""Ladislav Krejcí"", ""Vladimír Coufal""]","Goal! Korea Republic 0, Czechia 1. Ladislav Krejcí (Czechia) header from very close range to the bottom right corner. Assisted by Vladimír Coufal.",True,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764340+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764340+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485639.0,2.0,62',Substitution,Coreia do Sul,South Korea,Hwang Hee-Chan,"[""Hwang Hee-Chan"", ""Lee Jae-Sung""]","Substitution, Korea Republic. Hwang Hee-Chan replaces Lee Jae-Sung.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764425+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764425+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485647.0,2.0,64',Substitution,Tchéquia,Czechia,Adam Hlozek,"[""Adam Hlozek"", ""Pavel Sulc""]","Substitution, Czechia. Adam Hlozek replaces Pavel Sulc.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764544+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764544+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485649.0,2.0,64',Substitution,Tchéquia,Czechia,Tomás Chorý,"[""Tomás Chorý"", ""Patrik Schick""]","Substitution, Czechia. Tomás Chory replaces Patrik Schick.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764625+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764625+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485651.0,2.0,64',Substitution,Tchéquia,Czechia,Michal Sadílek,"[""Michal Sadílek"", ""Lukás Provod""]","Substitution, Czechia. Michal Sadílek replaces Lukás Provod.",False,False,False,False,False,False,True,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764696+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764696+00:00,POST_MATCH_BACKFILLED_FACT
2,2,760414,49485726.0,2.0,67',Goal,Coreia do Sul,South Korea,Hwang In-Beom,"[""Hwang In-Beom"", ""Lee Kang-In""]","Goal! Korea Republic 1, Czechia 1. Hwang In-Beom (Korea Republic) right footed shot from the centre of the box to the bottom right corner. Assisted by Lee Kang-In.",True,False,False,False,False,False,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760414,2026-07-20T17:23:33.764761+00:00,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760414__03b799059385b311.json,2026-07-20T17:23:33.764761+00:00,POST_MATCH_BACKFILLED_FACT
