espn_event_id,date,datetime_utc,name,short_name,phase_espn,home_team_espn,away_team_espn,home_team,away_team,home_team_id,away_team_id,home_score,away_score,home_score_90,away_score_90,home_score_120,away_score_120,home_penalty_score,away_penalty_score,home_period_scores_json,away_period_scores_json,status_name,status_description,status_detail,completed,winner_home,winner_away,venue,city,country,attendance,neutral_site,source_url,collected_at,source_sha256,jogo,jogo_original_fonte,calendar_equipe1_original,calendar_equipe2_original,calendar_equipe1,calendar_equipe2,calendar_data,calendar_fase,mapping_confidence,mapping_reason,participant_change_required
760425,2026-06-14,2026-06-14T20:00Z,Japan at Netherlands,JPN @ NED,,Netherlands,Japan,Países Baixos,Japão,449,627,2,2,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,AT&T Stadium,"Arlington, Texas",USA,69285,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,11,11,Países Baixos,Japão,Países Baixos,Japão,2026-06-14,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760424,2026-06-15,2026-06-15T02:00Z,Tunisia at Sweden,TUN @ SWE,,Sweden,Tunisia,Suécia,Tunísia,466,659,5,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Estadio BBVA,Guadalupe,Mexico,50987,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,12,12,Suécia,Tunísia,Suécia,Tunísia,2026-06-14,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760429,2026-06-15,2026-06-15T22:00Z,Uruguay at Saudi Arabia,URU @ KSA,,Saudi Arabia,Uruguay,Arábia Saudita,Uruguai,655,212,1,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,Hard Rock Stadium,"Miami Gardens, Florida",USA,62764,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,13,13,Arábia Saudita,Uruguai,Arábia Saudita,Uruguai,2026-06-15,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760428,2026-06-15,2026-06-15T16:00Z,Cape Verde at Spain,CPV @ ESP,,Spain,Cape Verde,Espanha,Cabo Verde,164,2597,0,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,67640,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,14,14,Espanha,Cabo Verde,Espanha,Cabo Verde,2026-06-15,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760427,2026-06-16,2026-06-16T01:00Z,New Zealand at Iran,NZL @ IRN,,Iran,New Zealand,Irã,Nova Zelândia,469,2666,2,2,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,SoFi Stadium,"Inglewood, California",USA,70108,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,15,15,Irã,Nova Zelândia,Irã,Nova Zelândia,2026-06-15,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760426,2026-06-15,2026-06-15T19:00Z,Egypt at Belgium,EGY @ BEL,,Belgium,Egypt,Bélgica,Egito,459,2620,1,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,Lumen Field,"Seattle, Washington",USA,66775,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,16,16,Bélgica,Egito,Bélgica,Egito,2026-06-15,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760432,2026-06-16,2026-06-16T19:00Z,Senegal at France,SEN @ FRA,,France,Senegal,França,Senegal,478,654,3,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,MetLife Stadium,"East Rutherford, New Jersey",USA,80545,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,17,17,França,Senegal,França,Senegal,2026-06-16,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760430,2026-06-16,2026-06-16T22:00Z,Norway at Iraq,NOR @ IRQ,,Iraq,Norway,Iraque,Noruega,4375,464,1,4,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,True,Gillette Stadium,"Foxborough, Massachusetts",USA,63106,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,18,18,Iraque,Noruega,Iraque,Noruega,2026-06-16,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760433,2026-06-17,2026-06-17T01:00Z,Algeria at Argentina,ALG @ ARG,,Argentina,Algeria,Argentina,Argélia,202,624,3,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,69045,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,19,19,Argentina,Argélia,Argentina,Argélia,2026-06-16,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760431,2026-06-17,2026-06-17T04:00Z,Jordan at Austria,JOR @ AUT,,Austria,Jordan,Áustria,Jordânia,474,2917,3,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Levi's Stadium,"Santa Clara, California",USA,68527,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,20,20,Áustria,Jordânia,Áustria,Jordânia,2026-06-16,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760434,2026-06-17,2026-06-17T23:00Z,Panama at Ghana,PAN @ GHA,,Ghana,Panama,Gana,Panamá,4469,2659,1,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,BMO Field,Toronto,Canada,42942,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,21,21,Gana,Panamá,Gana,Panamá,2026-06-17,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760437,2026-06-17,2026-06-17T20:00Z,Croatia at England,CRO @ ENG,,England,Croatia,Inglaterra,Croácia,448,477,4,2,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,AT&T Stadium,"Arlington, Texas",USA,70389,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,22,22,Inglaterra,Croácia,Inglaterra,Croácia,2026-06-17,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760435,2026-06-17,2026-06-17T17:00Z,Congo DR at Portugal,COD @ POR,,Portugal,Congo DR,Portugal,RD Congo,482,2850,1,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,NRG Stadium,"Houston, Texas",USA,68777,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,23,23,Portugal,RD Congo,Portugal,RD Congo,2026-06-17,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760436,2026-06-18,2026-06-18T02:00Z,Colombia at Uzbekistan,COL @ UZB,,Uzbekistan,Colombia,Uzbequistão,Colômbia,2570,208,1,3,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,True,Estadio Banorte,Mexico City,Mexico,80824,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,24,24,Uzbequistão,Colômbia,Uzbequistão,Colômbia,2026-06-17,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760438,2026-06-18,2026-06-18T16:00Z,South Africa at Czechia,RSA @ CZE,,Czechia,South Africa,Tchéquia,África do Sul,450,467,1,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,67442,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,25,25,Tchéquia,África do Sul,Tchéquia,África do Sul,2026-06-18,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760439,2026-06-18,2026-06-18T19:00Z,Bosnia-Herzegovina at Switzerland,BIH @ SUI,,Switzerland,Bosnia-Herzegovina,Suíça,Bósnia e Herzegovina,475,452,4,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,SoFi Stadium,"Inglewood, California",USA,70026,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,26,26,Suíça,Bósnia e Herzegovina,Suíça,Bósnia e Herzegovina,2026-06-18,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760440,2026-06-18,2026-06-18T22:00Z,Qatar at Canada,QAT @ CAN,,Canada,Qatar,Canadá,Catar,206,4398,6,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,BC Place,Vancouver,Canada,52497,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,27,27,Canadá,Catar,Canadá,Catar,2026-06-18,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760441,2026-06-19,2026-06-19T01:00Z,South Korea at Mexico,KOR @ MEX,,Mexico,South Korea,México,Coreia do Sul,203,451,1,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Estadio Akron,Guadalajara,Mexico,45522,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,28,28,México,Coreia do Sul,México,Coreia do Sul,2026-06-18,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760444,2026-06-20,2026-06-20T00:30Z,Haiti at Brazil,HAI @ BRA,,Brazil,Haiti,Brasil,Haiti,205,2654,3,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,68324,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,29,29,Brasil,Haiti,Brasil,Haiti,2026-06-19,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760445,2026-06-19,2026-06-19T22:00Z,Morocco at Scotland,MAR @ SCO,,Scotland,Morocco,Escócia,Marrocos,580,2869,0,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,True,Gillette Stadium,"Foxborough, Massachusetts",USA,64146,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,30,30,Escócia,Marrocos,Escócia,Marrocos,2026-06-19,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760443,2026-06-20,2026-06-20T03:00Z,Paraguay at Türkiye,PAR @ TUR,,Türkiye,Paraguay,Turquia,Paraguai,465,210,0,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,True,Levi's Stadium,"Santa Clara, California",USA,68827,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,31,31,Turquia,Paraguai,Turquia,Paraguai,2026-06-19,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760442,2026-06-19,2026-06-19T19:00Z,Australia at United States,AUS @ USA,,United States,Australia,Estados Unidos,Austrália,660,628,2,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Lumen Field,"Seattle, Washington",USA,66925,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,32,32,Estados Unidos,Austrália,Estados Unidos,Austrália,2026-06-19,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760448,2026-06-20,2026-06-20T20:00Z,Ivory Coast at Germany,CIV @ GER,,Germany,Ivory Coast,Alemanha,Costa do Marfim,481,4789,2,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,BMO Field,Toronto,Canada,43036,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,33,33,Alemanha,Costa do Marfim,Alemanha,Costa do Marfim,2026-06-20,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760446,2026-06-21,2026-06-21T00:00Z,Curaçao at Ecuador,CUW @ ECU,,Ecuador,Curaçao,Equador,Curaçao,209,11678,0,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,68598,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,34,34,Equador,Curaçao,Equador,Curaçao,2026-06-20,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760447,2026-06-20,2026-06-20T17:00Z,Sweden at Netherlands,SWE @ NED,,Netherlands,Sweden,Países Baixos,Suécia,449,466,5,1,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,NRG Stadium,"Houston, Texas",USA,68777,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,35,35,Países Baixos,Suécia,Países Baixos,Suécia,2026-06-20,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760449,2026-06-21,2026-06-21T04:00Z,Japan at Tunisia,JPN @ TUN,,Tunisia,Japan,Tunísia,Japão,659,627,0,4,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,True,Estadio BBVA,Guadalupe,Mexico,51243,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,36,36,Tunísia,Japão,Tunísia,Japão,2026-06-20,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760450,2026-06-21,2026-06-21T22:00Z,Cape Verde at Uruguay,CPV @ URU,,Uruguay,Cape Verde,Uruguai,Cabo Verde,212,2597,2,2,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,Hard Rock Stadium,"Miami Gardens, Florida",USA,64003,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,37,37,Uruguai,Cabo Verde,Uruguai,Cabo Verde,2026-06-21,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760453,2026-06-21,2026-06-21T16:00Z,Saudi Arabia at Spain,KSA @ ESP,,Spain,Saudi Arabia,Espanha,Arábia Saudita,164,655,4,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,68239,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,38,38,Espanha,Arábia Saudita,Espanha,Arábia Saudita,2026-06-21,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760451,2026-06-21,2026-06-21T19:00Z,Iran at Belgium,IRN @ BEL,,Belgium,Iran,Bélgica,Irã,459,469,0,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,False,SoFi Stadium,"Inglewood, California",USA,70317,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,39,39,Bélgica,Irã,Bélgica,Irã,2026-06-21,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760452,2026-06-22,2026-06-22T01:00Z,Egypt at New Zealand,EGY @ NZL,,New Zealand,Egypt,Nova Zelândia,Egito,2666,2620,1,3,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,False,True,BC Place,Vancouver,Canada,52497,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,40,40,Nova Zelândia,Egito,Nova Zelândia,Egito,2026-06-21,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760454,2026-06-23,2026-06-23T00:00Z,Senegal at Norway,SEN @ NOR,,Norway,Senegal,Noruega,Senegal,464,654,3,2,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,MetLife Stadium,"East Rutherford, New Jersey",USA,80663,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,41,41,Noruega,Senegal,Noruega,Senegal,2026-06-22,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
760457,2026-06-22,2026-06-22T21:00Z,Iraq at France,IRQ @ FRA,,France,Iraq,França,Iraque,478,4375,3,0,,,,,,,{},{},STATUS_FULL_TIME,Full Time,FT,True,True,False,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,68324,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,42,42,França,Iraque,França,Iraque,2026-06-22,Fase de grupos,date_team,Mesma dupla e data ±1 dia,False
