jogo,data,diaSemana,horaET,horaLocal,fase,ordemFase,grupo,rodadaGrupo,equipe1,equipe2,confronto,estadio,cidade,pais,status,gols1_real,gols2_real,placar_real,gols1_90,gols2_90,vencedor_real,status_real,decision_method,placar_penaltis_real,vencedor_penaltis_real,espn_event_id,collected_at,source_sha256,validation_status,confidence,review_required,fonte,source_secondary,canonical_result_agrees,has_events,has_commentary,has_team_stats,has_player_data,has_officials,has_penalty_kicks
11,2026-06-14,Domingo,16:00,15:00,Fase de grupos,1,F,1.0,Países Baixos,Japão,Países Baixos x Japão,AT&T Stadium,Dallas,Estados Unidos,Finalizado,2,2,2-2,,,Empate,Finalizado,REGULAR_TIME,,,760425,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760425,True,True,True,True,True,True,False
12,2026-06-14,Domingo,22:00,20:00,Fase de grupos,1,F,1.0,Suécia,Tunísia,Suécia x Tunísia,Estadio BBVA,Monterrey,México,Finalizado,5,1,5-1,,,Suécia,Finalizado,REGULAR_TIME,,,760424,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760424,True,True,True,True,True,True,False
13,2026-06-15,Segunda-feira,18:00,18:00,Fase de grupos,1,H,1.0,Arábia Saudita,Uruguai,Arábia Saudita x Uruguai,Hard Rock Stadium,Miami,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760429,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760429,True,True,True,True,True,True,False
14,2026-06-15,Segunda-feira,12:00,12:00,Fase de grupos,1,H,1.0,Espanha,Cabo Verde,Espanha x Cabo Verde,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Finalizado,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,760428,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760428,True,True,True,True,True,True,False
15,2026-06-15,Segunda-feira,21:00,18:00,Fase de grupos,1,G,1.0,Irã,Nova Zelândia,Irã x Nova Zelândia,SoFi Stadium,Los Angeles,Estados Unidos,Finalizado,2,2,2-2,,,Empate,Finalizado,REGULAR_TIME,,,760427,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760427,True,True,True,True,True,True,False
16,2026-06-15,Segunda-feira,15:00,12:00,Fase de grupos,1,G,1.0,Bélgica,Egito,Bélgica x Egito,Lumen Field,Seattle,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760426,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760426,True,True,True,True,True,True,False
17,2026-06-16,Terça-feira,15:00,15:00,Fase de grupos,1,I,1.0,França,Senegal,França x Senegal,MetLife Stadium,New York/New Jersey,Estados Unidos,Finalizado,3,1,3-1,,,França,Finalizado,REGULAR_TIME,,,760432,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760432,True,True,True,True,True,True,False
18,2026-06-16,Terça-feira,18:00,18:00,Fase de grupos,1,I,1.0,Iraque,Noruega,Iraque x Noruega,Gillette Stadium,Boston,Estados Unidos,Finalizado,1,4,1-4,,,Noruega,Finalizado,REGULAR_TIME,,,760430,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760430,True,True,True,True,True,True,False
19,2026-06-16,Terça-feira,21:00,20:00,Fase de grupos,1,J,1.0,Argentina,Argélia,Argentina x Argélia,Arrowhead Stadium,Kansas City,Estados Unidos,Finalizado,3,0,3-0,,,Argentina,Finalizado,REGULAR_TIME,,,760433,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760433,True,True,True,True,True,True,False
20,2026-06-16,Terça-feira,24:00,21:00,Fase de grupos,1,J,1.0,Áustria,Jordânia,Áustria x Jordânia,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Finalizado,3,1,3-1,,,Áustria,Finalizado,REGULAR_TIME,,,760431,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760431,True,True,True,True,True,True,False
21,2026-06-17,Quarta-feira,19:00,19:00,Fase de grupos,1,L,1.0,Gana,Panamá,Gana x Panamá,BMO Field,Toronto,Canadá,Finalizado,1,0,1-0,,,Gana,Finalizado,REGULAR_TIME,,,760434,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760434,True,True,True,True,True,True,False
22,2026-06-17,Quarta-feira,16:00,15:00,Fase de grupos,1,L,1.0,Inglaterra,Croácia,Inglaterra x Croácia,AT&T Stadium,Dallas,Estados Unidos,Finalizado,4,2,4-2,,,Inglaterra,Finalizado,REGULAR_TIME,,,760437,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760437,True,True,True,True,True,True,False
23,2026-06-17,Quarta-feira,13:00,12:00,Fase de grupos,1,K,1.0,Portugal,RD Congo,Portugal x RD Congo,NRG Stadium,Houston,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760435,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760435,True,True,True,True,True,True,False
24,2026-06-17,Quarta-feira,22:00,20:00,Fase de grupos,1,K,1.0,Uzbequistão,Colômbia,Uzbequistão x Colômbia,Estadio Azteca,Mexico City,México,Finalizado,1,3,1-3,,,Colômbia,Finalizado,REGULAR_TIME,,,760436,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760436,True,True,True,True,True,True,False
25,2026-06-18,Quinta-feira,12:00,12:00,Fase de grupos,1,A,2.0,Tchéquia,África do Sul,Tchéquia x África do Sul,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Finalizado,1,1,1-1,,,Empate,Finalizado,REGULAR_TIME,,,760438,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760438,True,True,True,True,True,True,False
26,2026-06-18,Quinta-feira,15:00,12:00,Fase de grupos,1,B,2.0,Suíça,Bósnia e Herzegovina,Suíça x Bósnia e Herzegovina,SoFi Stadium,Los Angeles,Estados Unidos,Finalizado,4,1,4-1,,,Suíça,Finalizado,REGULAR_TIME,,,760439,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760439,True,True,True,True,True,True,False
27,2026-06-18,Quinta-feira,18:00,15:00,Fase de grupos,1,B,2.0,Canadá,Catar,Canadá x Catar,BC Place,Vancouver,Canadá,Finalizado,6,0,6-0,,,Canadá,Finalizado,REGULAR_TIME,,,760440,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760440,True,True,True,True,True,True,False
28,2026-06-18,Quinta-feira,21:00,19:00,Fase de grupos,1,A,2.0,México,Coreia do Sul,México x Coreia do Sul,Estadio Akron,Guadalajara,México,Finalizado,1,0,1-0,,,México,Finalizado,REGULAR_TIME,,,760441,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760441,True,True,True,True,True,True,False
29,2026-06-19,Sexta-feira,21:00,21:00,Fase de grupos,1,C,2.0,Brasil,Haiti,Brasil x Haiti,Lincoln Financial Field,Philadelphia,Estados Unidos,Finalizado,3,0,3-0,,,Brasil,Finalizado,REGULAR_TIME,,,760444,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760444,True,True,True,True,True,True,False
30,2026-06-19,Sexta-feira,18:00,18:00,Fase de grupos,1,C,2.0,Escócia,Marrocos,Escócia x Marrocos,Gillette Stadium,Boston,Estados Unidos,Finalizado,0,1,0-1,,,Marrocos,Finalizado,REGULAR_TIME,,,760445,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760445,True,True,True,True,True,True,False
31,2026-06-19,Sexta-feira,23:00,20:00,Fase de grupos,1,D,2.0,Turquia,Paraguai,Turquia x Paraguai,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Finalizado,0,1,0-1,,,Paraguai,Finalizado,REGULAR_TIME,,,760443,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760443,True,True,True,True,True,True,False
32,2026-06-19,Sexta-feira,15:00,12:00,Fase de grupos,1,D,2.0,Estados Unidos,Austrália,Estados Unidos x Austrália,Lumen Field,Seattle,Estados Unidos,Finalizado,2,0,2-0,,,Estados Unidos,Finalizado,REGULAR_TIME,,,760442,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760442,True,True,True,True,True,True,False
33,2026-06-20,Sábado,16:00,16:00,Fase de grupos,1,E,2.0,Alemanha,Costa do Marfim,Alemanha x Costa do Marfim,BMO Field,Toronto,Canadá,Finalizado,2,1,2-1,,,Alemanha,Finalizado,REGULAR_TIME,,,760448,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760448,True,True,True,True,True,True,False
34,2026-06-20,Sábado,20:00,19:00,Fase de grupos,1,E,2.0,Equador,Curaçao,Equador x Curaçao,Arrowhead Stadium,Kansas City,Estados Unidos,Finalizado,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,760446,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760446,True,True,True,True,True,True,False
35,2026-06-20,Sábado,13:00,12:00,Fase de grupos,1,F,2.0,Países Baixos,Suécia,Países Baixos x Suécia,NRG Stadium,Houston,Estados Unidos,Finalizado,5,1,5-1,,,Países Baixos,Finalizado,REGULAR_TIME,,,760447,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760447,True,True,True,True,True,True,False
36,2026-06-20,Sábado,24:00,22:00,Fase de grupos,1,F,2.0,Tunísia,Japão,Tunísia x Japão,Estadio BBVA,Monterrey,México,Finalizado,0,4,0-4,,,Japão,Finalizado,REGULAR_TIME,,,760449,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760449,True,True,True,True,True,True,False
37,2026-06-21,Domingo,18:00,18:00,Fase de grupos,1,H,2.0,Uruguai,Cabo Verde,Uruguai x Cabo Verde,Hard Rock Stadium,Miami,Estados Unidos,Finalizado,2,2,2-2,,,Empate,Finalizado,REGULAR_TIME,,,760450,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760450,True,True,True,True,True,True,False
38,2026-06-21,Domingo,12:00,12:00,Fase de grupos,1,H,2.0,Espanha,Arábia Saudita,Espanha x Arábia Saudita,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Finalizado,4,0,4-0,,,Espanha,Finalizado,REGULAR_TIME,,,760453,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760453,True,True,True,True,True,True,False
39,2026-06-21,Domingo,15:00,12:00,Fase de grupos,1,G,2.0,Bélgica,Irã,Bélgica x Irã,SoFi Stadium,Los Angeles,Estados Unidos,Finalizado,0,0,0-0,,,Empate,Finalizado,REGULAR_TIME,,,760451,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760451,True,True,True,True,True,True,False
40,2026-06-21,Domingo,21:00,18:00,Fase de grupos,1,G,2.0,Nova Zelândia,Egito,Nova Zelândia x Egito,BC Place,Vancouver,Canadá,Finalizado,1,3,1-3,,,Egito,Finalizado,REGULAR_TIME,,,760452,2026-07-20T17:23:21.543812+00:00,364bf327db4fa4fd5e7e2c22a30e855d0938a5e9f7f27cc5a88bff43bf4f3062,CONFIRMED_ESPN_SCOREBOARD_SUMMARY,Alta,False,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=2026&limit=500,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760452,True,True,True,True,True,True,False
