jogo,fase,grupo,data,equipe1,equipe2,gols1_neural_float,gols2_neural_float,goal_diff_neural_float,total_goals_neural_float,placar_rede_neural,gols1_rede_neural,gols2_rede_neural,vencedor_rede_neural,possui_real,placar_real,vencedor_real
56,Fase de grupos,E,2026-06-25,Equador,Alemanha,1.4826,0.9059,0.5767,2.3885,1-1,1,1,Equador,Sim,2-1,Equador
57,Fase de grupos,F,2026-06-25,Japão,Suécia,1.8046,0.7195,1.0851,2.5241,2-1,2,1,Japão,Sim,1-1,Empate
58,Fase de grupos,F,2026-06-25,Tunísia,Países Baixos,0.7875,1.3842,-0.5967,2.1717,1-1,1,1,Países Baixos,Sim,1-3,Países Baixos
59,Fase de grupos,D,2026-06-25,Turquia,Estados Unidos,1.6688,0.9552,0.7136,2.624,2-1,2,1,Turquia,Sim,3-2,Turquia
60,Fase de grupos,D,2026-06-25,Paraguai,Austrália,1.5329,0.7714,0.7615,2.3043,2-1,2,1,Paraguai,Sim,0-0,Empate
61,Fase de grupos,I,2026-06-26,Noruega,França,1.1074,1.318,-0.2106,2.4255,1-1,1,1,França,Sim,1-4,França
62,Fase de grupos,I,2026-06-26,Senegal,Iraque,1.8966,0.6116,1.2849,2.5082,2-1,2,1,Senegal,Sim,5-0,Senegal
63,Fase de grupos,G,2026-06-26,Egito,Irã,1.2979,1.1605,0.1374,2.4584,1-1,1,1,Egito,Sim,1-1,Empate
64,Fase de grupos,G,2026-06-26,Nova Zelândia,Bélgica,0.6921,1.3427,-0.6506,2.0349,1-1,1,1,Bélgica,Sim,1-5,Bélgica
65,Fase de grupos,H,2026-06-26,Cabo Verde,Arábia Saudita,0.6181,1.188,-0.5699,1.8061,1-1,1,1,Arábia Saudita,Sim,0-0,Empate
66,Fase de grupos,H,2026-06-26,Uruguai,Espanha,1.3147,0.9271,0.3877,2.2418,1-1,1,1,Uruguai,Sim,0-1,Espanha
67,Fase de grupos,L,2026-06-27,Panamá,Inglaterra,1.1132,1.0959,0.0174,2.2091,1-1,1,1,Panamá,Sim,0-2,Inglaterra
68,Fase de grupos,L,2026-06-27,Croácia,Gana,1.726,0.6958,1.0301,2.4218,2-1,2,1,Croácia,Sim,2-1,Croácia
69,Fase de grupos,J,2026-06-27,Argélia,Áustria,1.5296,1.0691,0.4605,2.5987,2-1,2,1,Argélia,Sim,3-3,Empate
70,Fase de grupos,J,2026-06-27,Jordânia,Argentina,1.0197,1.3548,-0.335,2.3745,1-1,1,1,Argentina,Sim,1-3,Argentina
71,Fase de grupos,K,2026-06-27,Colômbia,Portugal,1.5511,1.0478,0.5033,2.5989,2-1,2,1,Colômbia,Sim,0-0,Empate
72,Fase de grupos,K,2026-06-27,RD Congo,Uzbequistão,1.1089,0.9748,0.1342,2.0837,1-1,1,1,RD Congo,Sim,3-1,RD Congo
73,16 avos de final,,2026-06-28,África do Sul,Canadá,1.1648,1.1182,0.0466,2.283,1-1,1,1,África do Sul,Sim,0-1,Canadá
74,16 avos de final,,2026-06-29,Alemanha,Paraguai,1.6203,0.8741,0.7462,2.4943,2-1,2,1,Alemanha,Sim,1-1,Paraguai
75,16 avos de final,,2026-06-29,Países Baixos,Marrocos,1.674,0.8471,0.8269,2.521,2-1,2,1,Países Baixos,Sim,1-1,Marrocos
76,16 avos de final,,2026-06-29,Brasil,Japão,1.6185,0.9178,0.7006,2.5363,2-1,2,1,Brasil,Sim,2-1,Brasil
77,16 avos de final,,2026-06-30,França,Suécia,1.4931,0.9895,0.5036,2.4826,1-1,1,1,França,Sim,3-0,França
78,16 avos de final,,2026-06-30,Costa do Marfim,Noruega,1.2738,1.0487,0.2251,2.3225,1-1,1,1,Costa do Marfim,Sim,1-2,Noruega
79,16 avos de final,,2026-06-30,México,Equador,1.2262,0.9756,0.2506,2.2018,1-1,1,1,México,Sim,2-0,México
80,16 avos de final,,2026-07-01,Inglaterra,RD Congo,1.7389,0.799,0.9399,2.5379,2-1,2,1,Inglaterra,Sim,2-1,Inglaterra
81,16 avos de final,,2026-07-01,Estados Unidos,Bósnia e Herzegovina,1.7572,0.8036,0.9536,2.5608,2-1,2,1,Estados Unidos,Sim,2-0,Estados Unidos
82,16 avos de final,,2026-07-01,Bélgica,Senegal,1.565,0.9193,0.6457,2.4843,2-1,2,1,Bélgica,Sim,3-2,Bélgica
83,16 avos de final,,2026-07-02,Portugal,Croácia,1.8117,0.8207,0.991,2.6323,2-1,2,1,Portugal,Sim,2-1,Portugal
84,16 avos de final,,2026-07-02,Espanha,Áustria,1.7148,0.8097,0.905,2.5245,2-1,2,1,Espanha,Sim,3-0,Espanha
85,16 avos de final,,2026-07-02,Suíça,Argélia,1.3142,0.9367,0.3775,2.2509,1-1,1,1,Suíça,Sim,2-0,Suíça
86,16 avos de final,,2026-07-03,Argentina,Cabo Verde,1.8375,0.7443,1.0932,2.5818,2-1,2,1,Argentina,Sim,3-2,Argentina
87,16 avos de final,,2026-07-03,Colômbia,Gana,1.4291,0.8606,0.5685,2.2896,1-1,1,1,Colômbia,Sim,3-0,Colômbia
88,16 avos de final,,2026-07-03,Austrália,Egito,1.0852,1.0851,0.0001,2.1703,1-1,1,1,Austrália,Sim,1-1,Egito
89,Oitavas de final,,2026-07-04,Canadá,Marrocos,1.5025,0.8865,0.616,2.3891,2-1,2,1,Canadá,Sim,0-3,Marrocos
90,Oitavas de final,,2026-07-04,Paraguai,França,1.0857,1.2034,-0.1177,2.2892,1-1,1,1,França,Sim,0-1,França
91,Oitavas de final,,2026-07-05,Brasil,Noruega,1.5075,0.9141,0.5934,2.4216,2-1,2,1,Brasil,Não,,
92,Oitavas de final,,2026-07-05,México,Inglaterra,1.3546,0.905,0.4496,2.2596,1-1,1,1,México,Não,,
93,Oitavas de final,,2026-07-06,Portugal,Espanha,1.7699,0.783,0.9869,2.5529,2-1,2,1,Portugal,Não,,
94,Oitavas de final,,2026-07-06,Estados Unidos,Bélgica,1.5959,0.9477,0.6482,2.5437,2-1,2,1,Estados Unidos,Não,,
95,Oitavas de final,,2026-07-07,Argentina,Egito,1.8122,0.7966,1.0155,2.6088,2-1,2,1,Argentina,Não,,
96,Oitavas de final,,2026-07-07,Suíça,Colômbia,1.1885,1.0262,0.1624,2.2147,1-1,1,1,Suíça,Não,,
97,Quartas de final,,2026-07-09,Marrocos,França,1.1524,1.1032,0.0492,2.2556,1-1,1,1,Marrocos,Não,,
98,Quartas de final,,2026-07-10,Portugal,Estados Unidos,1.7996,0.8365,0.9631,2.6361,2-1,2,1,Portugal,Não,,
99,Quartas de final,,2026-07-11,Brasil,México,1.1953,1.0525,0.1428,2.2478,1-1,1,1,Brasil,Não,,
100,Quartas de final,,2026-07-11,Argentina,Suíça,1.7568,0.8854,0.8714,2.6422,2-1,2,1,Argentina,Não,,
101,Semifinais,,2026-07-14,Marrocos,Portugal,1.0606,1.1668,-0.1063,2.2274,1-1,1,1,Portugal,Não,,
102,Semifinais,,2026-07-15,Brasil,Argentina,1.3646,1.0673,0.2973,2.4319,1-1,1,1,Brasil,Não,,
103,Disputa de 3º lugar,,2026-07-18,Marrocos,Argentina,1.0917,1.1764,-0.0847,2.2681,1-1,1,1,Argentina,Não,,
104,Final,,2026-07-19,Portugal,Brasil,1.7374,0.818,0.9194,2.5554,2-1,2,1,Portugal,Não,,
