jogo,data,fase,equipe1,equipe2,placar_rede_neural_puro,vencedor_rede_neural_puro
79,2026-06-30,16 avos de final,México,Equador,1-1,Equador
80,2026-07-01,16 avos de final,Inglaterra,RD Congo,1-1,Inglaterra
81,2026-07-01,16 avos de final,Estados Unidos,Bósnia e Herzegovina,2-1,Estados Unidos
82,2026-07-01,16 avos de final,Bélgica,Senegal,2-1,Bélgica
83,2026-07-02,16 avos de final,Portugal,Croácia,3-1,Portugal
84,2026-07-02,16 avos de final,Espanha,Áustria,3-1,Espanha
85,2026-07-02,16 avos de final,Suíça,Argélia,2-1,Suíça
86,2026-07-03,16 avos de final,Argentina,Cabo Verde,1-1,Argentina
87,2026-07-03,16 avos de final,Colômbia,Gana,0-0,Gana
88,2026-07-03,16 avos de final,Austrália,Egito,1-2,Egito
89,2026-07-04,Oitavas de final,Canadá,Marrocos,1-1,Canadá
90,2026-07-04,Oitavas de final,Paraguai,Suécia,1-2,Suécia
91,2026-07-05,Oitavas de final,Brasil,Costa do Marfim,1-1,Brasil
92,2026-07-05,Oitavas de final,Equador,Inglaterra,2-2,Equador
93,2026-07-06,Oitavas de final,Portugal,Espanha,2-1,Portugal
94,2026-07-06,Oitavas de final,Estados Unidos,Bélgica,2-1,Estados Unidos
95,2026-07-07,Oitavas de final,Argentina,Egito,2-1,Argentina
96,2026-07-07,Oitavas de final,Suíça,Gana,0-1,Gana
97,2026-07-09,Quartas de final,Canadá,Suécia,2-1,Canadá
98,2026-07-10,Quartas de final,Portugal,Estados Unidos,3-1,Portugal
99,2026-07-11,Quartas de final,Brasil,Equador,1-1,Equador
100,2026-07-11,Quartas de final,Argentina,Gana,1-0,Argentina
101,2026-07-14,Semifinais,Canadá,Portugal,2-1,Canadá
102,2026-07-15,Semifinais,Equador,Argentina,2-2,Equador
103,2026-07-18,Disputa de 3º lugar,Portugal,Argentina,3-1,Portugal
104,2026-07-19,Final,Canadá,Equador,1-1,Equador
