jogo,data,fase,grupo,equipe1,equipe2,placar_previsto,placar_real,vencedor_previsto,vencedor_real,acertou_vencedor,acertou_placar_exato,erro_total_gols,erro_xg_total,erro_saldo,proximidade_0_100,impacto_desempenho_equipe1,impacto_desempenho_equipe2,peso_resultado_anterior_aplicado_equipe1,peso_resultado_anterior_aplicado_equipe2,ajuste_rating_equipe1,ajuste_rating_equipe2,ajuste_relativo_rating,ajuste_ofensivo_equipe1,ajuste_ofensivo_equipe2,ajuste_defensivo_equipe1,ajuste_defensivo_equipe2,peso_adversario_ofensivo_equipe1,peso_adversario_ofensivo_equipe2,peso_gol_sofrido_equipe1,peso_gol_sofrido_equipe2,qualidade_adversario_equipe1,qualidade_adversario_equipe2,rating_pos_jogo_equipe1,rating_pos_jogo_equipe2,fonte_resultado
11,2026-06-14,Fase de grupos,F,Países Baixos,Japão,1-0,2-2 (pên. nan),Países Baixos,Empate,Não,Não,3.0,1.996,1.0,24.0,0.0,0.0,-0.039,-0.012,-0.084,0.087,-0.171,0.976,1.301,-1.005,-0.754,1.112,1.164,0.899,0.859,1.112,1.164,74.336,72.127,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
12,2026-06-14,Fase de grupos,F,Suécia,Tunísia,1-0,5-1 (pên. nan),Suécia,Suécia,Sim,Não,5.0,3.992,3.0,0.0,0.0,0.0,0.709,-0.386,0.606,-0.561,1.167,2.0,0.101,-0.104,-2.0,0.943,1.029,1.06,0.972,0.943,1.029,66.676,61.679,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
13,2026-06-15,Fase de grupos,H,Arábia Saudita,Uruguai,0-1,1-1 (pên. nan),Uruguai,Empate,Não,Não,1.0,0.18,1.0,52.0,0.0,0.0,-0.016,-0.035,0.008,-0.107,0.115,0.107,-0.084,0.088,-0.096,1.081,1.036,0.925,0.965,1.081,1.036,64.878,70.963,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
14,2026-06-15,Fase de grupos,H,Espanha,Cabo Verde,1-0,0-0 (pên. nan),Espanha,Empate,Não,Não,1.0,2.106,1.0,52.0,0.0,0.0,-0.054,0.002,-0.205,0.12,-0.325,-1.262,-0.954,0.79,1.524,0.975,1.177,1.026,0.85,0.975,1.177,73.905,64.05,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
15,2026-06-15,Fase de grupos,G,Irã,Nova Zelândia,0-1,2-2 (pên. nan),Nova Zelândia,Empate,Não,Não,3.0,2.102,1.0,24.0,0.0,0.0,-0.025,-0.025,-0.05,-0.051,0.001,1.05,1.051,-1.051,-1.051,1.005,0.994,0.995,1.006,1.005,0.994,63.98,64.929,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
16,2026-06-15,Fase de grupos,G,Bélgica,Egito,1-0,1-1 (pên. nan),Bélgica,Empate,Não,Não,1.0,0.536,1.0,52.0,0.0,0.0,-0.056,0.004,-0.222,0.135,-0.357,-0.299,0.272,-0.236,0.353,0.987,1.166,1.013,0.857,0.987,1.166,74.878,62.675,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
17,2026-06-16,Fase de grupos,I,França,Senegal,1-2,3-1 (pên. nan),Senegal,França,Não,Não,3.0,2.038,3.0,0.0,0.0,0.0,0.724,-0.403,0.678,-0.584,1.262,2.0,-0.103,0.105,-1.75,1.129,1.112,0.885,0.9,1.129,1.112,71.048,71.406,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
18,2026-06-16,Fase de grupos,I,Iraque,Noruega,0-1,1-4 (pên. nan),Noruega,Noruega,Sim,Não,4.0,2.97,2.0,20.0,0.0,0.0,-0.375,0.696,-0.512,0.557,-1.069,0.226,2.0,-2.0,-0.217,1.099,0.948,0.91,1.055,1.099,0.948,59.798,71.567,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
19,2026-06-16,Fase de grupos,J,Argentina,Argélia,1-0,3-0 (pên. nan),Argentina,Argentina,Sim,Não,2.0,2.763,2.0,48.0,0.0,0.0,0.706,-0.384,0.82,-0.705,1.525,2.0,-1.053,0.973,-1.58,1.097,1.187,0.912,0.842,1.097,1.187,77.04,68.845,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
20,2026-06-16,Fase de grupos,J,Áustria,Jordânia,1-0,3-1 (pên. nan),Áustria,Áustria,Sim,Não,3.0,2.029,1.0,46.0,0.0,0.0,0.695,-0.373,0.49,-0.421,0.911,1.713,0.266,-0.25,-1.611,0.957,1.111,1.045,0.9,0.957,1.111,72.99,60.679,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
21,2026-06-17,Fase de grupos,L,Gana,Panamá,0-1,1-0 (pên. nan),Panamá,Gana,Não,Não,2.0,1.458,2.0,26.0,0.0,0.0,0.747,-0.425,0.62,-0.546,1.166,0.266,-1.2,1.331,-0.246,1.096,0.988,0.913,1.012,1.096,0.988,64.39,69.834,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
22,2026-06-17,Fase de grupos,L,Inglaterra,Croácia,1-2,4-2 (pên. nan),Croácia,Inglaterra,Não,Não,3.0,3.91,3.0,0.0,0.0,0.0,0.723,-0.401,0.487,-0.392,0.879,2.0,1.075,-0.825,-2.0,1.133,1.149,0.883,0.87,1.133,1.149,73.727,73.118,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
23,2026-06-17,Fase de grupos,K,Portugal,RD Congo,1-0,1-1 (pên. nan),Portugal,Empate,Não,Não,1.0,0.481,1.0,52.0,0.0,0.0,-0.053,0.0,-0.204,0.119,-0.323,-0.267,0.269,-0.216,0.309,1.039,1.201,0.963,0.833,1.039,1.201,75.616,67.349,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
24,2026-06-17,Fase de grupos,K,Uzbequistão,Colômbia,0-1,1-3 (pên. nan),Colômbia,Colômbia,Sim,Não,3.0,2.036,1.0,46.0,0.0,0.0,-0.368,0.69,-0.392,0.463,-0.855,0.317,1.684,-1.574,-0.296,1.113,0.962,0.899,1.04,1.113,0.962,60.678,72.803,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
25,2026-06-18,Fase de grupos,A,Tchéquia,África do Sul,2-1,1-1 (pên. nan),Tchéquia,Empate,Não,Não,1.0,0.436,1.0,52.0,0.0,0.0,-0.275,-0.221,-0.158,0.055,-0.213,-0.374,-0.051,0.047,0.402,0.968,1.038,1.033,0.963,0.968,1.038,65.811,60.228,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
26,2026-06-18,Fase de grupos,B,Suíça,Bósnia e Herzegovina,1-0,4-1 (pên. nan),Suíça,Suíça,Sim,Não,4.0,2.812,2.0,20.0,0.0,0.0,0.673,-0.374,0.579,-0.534,1.113,2.0,0.138,-0.122,-2.0,0.956,1.177,1.046,0.85,0.956,1.177,75.681,61.992,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
27,2026-06-18,Fase de grupos,B,Canadá,Catar,1-2,6-0 (pên. nan),Catar,Canadá,Não,Não,7.0,6.308,7.0,0.0,0.0,0.0,0.706,-0.423,0.983,-0.958,1.941,2.0,-1.535,1.456,-2.0,1.081,1.14,0.925,0.877,1.081,1.14,72.688,66.837,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
28,2026-06-18,Fase de grupos,A,México,Coreia do Sul,2-1,1-0 (pên. nan),México,México,Sim,Não,2.0,1.171,0.0,72.0,0.0,0.0,1.117,0.02,0.453,-0.409,0.862,-0.118,-1.17,1.175,0.118,1.104,1.1,0.906,0.909,1.104,1.1,71.755,70.822,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
29,2026-06-19,Fase de grupos,C,Brasil,Haiti,1-0,3-0 (pên. nan),Brasil,Brasil,Sim,Não,2.0,2.675,2.0,48.0,0.0,0.0,0.679,-0.601,0.763,-0.696,1.459,1.749,-1.098,0.969,-1.496,1.016,1.151,0.984,0.869,1.016,1.151,74.001,63.865,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
30,2026-06-19,Fase de grupos,C,Escócia,Marrocos,1-0,0-1 (pên. nan),Escócia,Marrocos,Não,Não,2.0,1.231,2.0,26.0,0.0,0.0,-0.008,0.73,-0.489,0.558,-1.047,-1.199,0.105,-0.087,1.305,1.053,1.146,0.95,0.873,1.053,1.146,74.07,69.767,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
31,2026-06-19,Fase de grupos,D,Turquia,Paraguai,2-1,0-1 (pên. nan),Turquia,Paraguai,Não,Não,2.0,1.307,2.0,26.0,0.0,0.0,-0.654,0.519,-0.454,0.529,-0.983,-1.212,-0.078,0.068,1.396,0.979,1.128,1.021,0.887,0.979,1.128,71.773,64.687,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
32,2026-06-19,Fase de grupos,D,Estados Unidos,Austrália,2-1,2-0 (pên. nan),Estados Unidos,Estados Unidos,Sim,Não,1.0,1.825,1.0,74.0,0.0,0.0,1.108,0.04,0.616,-0.579,1.194,0.732,-1.36,1.187,-0.578,1.052,1.205,0.951,0.83,1.052,1.205,76.283,67.015,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
33,2026-06-20,Fase de grupos,E,Alemanha,Costa do Marfim,2-1,2-1 (pên. nan),Alemanha,Alemanha,Sim,Sim,0.0,0.808,0.0,100.0,0.0,0.0,1.113,0.027,0.399,-0.325,0.724,0.86,-0.01,0.01,-0.705,1.076,1.133,0.929,0.882,1.076,1.133,75.148,68.798,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
34,2026-06-20,Fase de grupos,E,Equador,Curaçao,2-1,0-0 (pên. nan),Equador,Empate,Não,Não,3.0,2.333,1.0,24.0,0.0,0.0,-0.261,-0.238,-0.082,-0.024,-0.058,-1.219,-1.146,1.126,1.242,1.005,1.024,0.995,0.977,1.005,1.024,66.412,64.078,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
35,2026-06-20,Fase de grupos,F,Países Baixos,Suécia,2-1,5-1 (pên. nan),Países Baixos,Países Baixos,Sim,Não,3.0,3.456,3.0,22.0,0.0,0.0,0.669,0.038,0.595,-0.559,1.154,2.0,-0.022,0.02,-2.0,1.036,1.163,0.965,0.86,1.036,1.163,74.932,66.117,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
36,2026-06-20,Fase de grupos,F,Tunísia,Japão,0-1,0-4 (pên. nan),Japão,Japão,Sim,Não,3.0,2.906,3.0,22.0,0.0,0.0,-0.572,0.656,-0.66,0.675,-1.335,-0.812,2.0,-1.955,0.684,1.113,0.937,0.898,1.067,1.113,0.937,61.019,72.802,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
37,2026-06-21,Fase de grupos,H,Uruguai,Cabo Verde,0-1,2-2 (pên. nan),Cabo Verde,Empate,Não,Não,3.0,2.098,1.0,24.0,0.0,0.0,-0.042,-0.027,-0.043,-0.034,-0.009,1.05,1.104,-1.047,-0.996,0.976,1.08,1.025,0.926,0.976,1.08,70.92,64.016,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
38,2026-06-21,Fase de grupos,H,Espanha,Arábia Saudita,2-1,4-0 (pên. nan),Espanha,Espanha,Sim,Não,3.0,3.928,3.0,22.0,0.0,0.0,0.685,-0.404,0.876,-0.865,1.74,2.0,-1.301,1.148,-2.0,1.036,1.174,0.965,0.851,1.036,1.174,74.78,64.013,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
39,2026-06-21,Fase de grupos,G,Bélgica,Irã,2-1,0-0 (pên. nan),Bélgica,Empate,Não,Não,3.0,2.348,1.0,24.0,0.0,0.0,-0.078,-0.022,-0.164,0.07,-0.234,-1.346,-1.157,0.988,1.576,0.994,1.164,1.006,0.859,0.994,1.164,74.714,64.05,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
40,2026-06-21,Fase de grupos,G,Nova Zelândia,Egito,0-1,1-3 (pên. nan),Egito,Egito,Sim,Não,3.0,1.624,1.0,46.0,0.0,0.0,-0.393,0.701,-0.487,0.526,-1.013,0.013,1.619,-1.629,-0.013,0.989,1.005,1.011,0.995,0.989,1.005,64.442,63.2,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
41,2026-06-22,Fase de grupos,I,Noruega,Senegal,2-1,3-2 (pên. nan),Noruega,Noruega,Sim,Não,2.0,2.371,0.0,72.0,0.0,0.0,1.118,-0.628,0.464,-0.32,0.784,1.821,0.828,-0.667,-1.468,1.123,1.105,0.891,0.905,1.123,1.105,72.032,71.086,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
42,2026-06-22,Fase de grupos,I,França,Iraque,1-0,3-0 (pên. nan),França,França,Sim,Não,2.0,1.872,2.0,48.0,0.0,0.0,1.083,-0.565,0.487,-0.472,0.959,1.052,-0.846,0.712,-0.997,0.942,1.119,1.061,0.893,0.942,1.119,71.535,59.326,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
43,2026-06-22,Fase de grupos,J,Argentina,Áustria,1-0,2-0 (pên. nan),Argentina,Argentina,Sim,Não,1.0,1.281,1.0,74.0,0.0,0.0,1.091,0.041,0.456,-0.405,0.861,0.502,-0.996,0.929,-0.375,1.117,1.197,0.895,0.836,1.117,1.197,77.495,72.585,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
44,2026-06-22,Fase de grupos,J,Jordânia,Argélia,0-1,1-2 (pên. nan),Argélia,Argélia,Sim,Não,2.0,0.537,0.0,72.0,0.0,0.0,-0.592,0.472,-0.242,0.284,-0.526,0.026,0.489,-0.471,-0.025,1.089,0.952,0.919,1.05,1.089,0.952,60.437,69.128,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
45,2026-06-23,Fase de grupos,L,Inglaterra,Gana,1-0,0-0 (pên. nan),Inglaterra,Empate,Não,Não,1.0,2.507,1.0,52.0,0.0,0.0,0.363,0.435,-0.223,0.131,-0.355,-1.515,-1.137,0.979,1.759,0.995,1.155,1.005,0.866,0.995,1.155,73.504,64.521,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
46,2026-06-23,Fase de grupos,L,Panamá,Croácia,1-2,0-1 (pên. nan),Croácia,Croácia,Sim,Não,2.0,1.357,0.0,72.0,0.0,0.0,-0.629,0.47,-0.316,0.351,-0.667,-1.134,-0.383,0.397,1.095,1.128,1.089,0.886,0.918,1.128,1.089,69.518,73.469,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
47,2026-06-23,Fase de grupos,K,Portugal,Uzbequistão,1-0,5-0 (pên. nan),Portugal,Portugal,Sim,Não,4.0,4.209,4.0,0.0,0.0,0.0,0.649,-0.575,0.733,-0.739,1.472,2.0,-1.015,0.811,-2.0,0.957,1.199,1.045,0.834,0.957,1.199,76.349,59.939,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
48,2026-06-23,Fase de grupos,K,Colômbia,RD Congo,2-1,1-0 (pên. nan),Colômbia,Colômbia,Sim,Não,2.0,1.231,0.0,72.0,0.0,0.0,1.12,-0.398,0.446,-0.419,0.865,-0.136,-1.23,1.144,0.146,1.04,1.118,0.961,0.895,1.04,1.118,73.249,66.93,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
49,2026-06-24,Fase de grupos,C,Escócia,Brasil,0-1,0-3 (pên. nan),Brasil,Brasil,Sim,Não,2.0,2.759,2.0,48.0,-0.257,0.685,-0.398,1.124,-0.754,0.888,-1.642,-1.245,2.0,-1.572,1.194,1.159,1.14,0.863,0.877,1.159,1.14,73.316,74.889,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
50,2026-06-24,Fase de grupos,C,Marrocos,Haiti,1-0,4-2 (pên. nan),Marrocos,Marrocos,Sim,Não,5.0,3.842,1.0,18.0,0.531,-0.701,1.12,-0.732,0.328,-0.302,0.629,2.0,1.226,-1.259,-2.0,1.008,1.059,0.992,0.944,1.008,1.059,70.094,63.563,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
51,2026-06-24,Fase de grupos,B,Suíça,Canadá,2-1,2-1 (pên. nan),Suíça,Suíça,Sim,Sim,0.0,0.989,0.0,100.0,0.636,0.415,1.132,0.024,0.535,-0.323,0.858,1.012,-0.076,0.322,-0.595,1.151,1.184,0.869,0.845,1.151,1.184,76.215,72.365,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
52,2026-06-24,Fase de grupos,B,Bósnia e Herzegovina,Catar,1-2,3-1 (pên. nan),Catar,Bósnia e Herzegovina,Não,Não,3.0,2.205,3.0,0.0,-0.018,-0.68,0.515,-0.682,0.724,-0.756,1.48,1.964,-0.479,0.284,-2.0,1.071,0.95,0.934,1.052,1.071,0.95,62.716,66.081,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
53,2026-06-24,Fase de grupos,A,Tchéquia,México,0-1,0-3 (pên. nan),México,México,Sim,Não,2.0,2.113,2.0,48.0,-0.502,0.825,-0.527,1.347,-0.577,0.657,-1.234,-0.75,1.662,-1.497,0.729,1.105,1.036,0.905,0.965,1.105,1.036,65.234,72.412,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
54,2026-06-24,Fase de grupos,A,África do Sul,Coreia do Sul,0-1,1-0 (pên. nan),Coreia do Sul,África do Sul,Não,Não,2.0,1.564,2.0,26.0,-0.068,-0.137,0.618,-0.423,0.629,-0.586,1.215,-0.004,-1.497,1.634,-0.079,1.099,0.968,0.91,1.033,1.099,0.968,60.857,70.236,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
55,2026-06-25,Fase de grupos,E,Curaçao,Costa do Marfim,0-1,0-2 (pên. nan),Costa do Marfim,Costa do Marfim,Sim,Não,1.0,1.439,1.0,74.0,-0.711,0.317,-0.533,0.716,-0.542,0.495,-1.037,-1.164,0.515,-0.68,0.976,1.072,1.005,0.933,0.995,1.072,1.005,63.535,69.293,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
56,2026-06-25,Fase de grupos,E,Equador,Alemanha,0-1,2-1 (pên. nan),Alemanha,Equador,Não,Não,2.0,1.872,2.0,26.0,0.019,0.688,0.618,0.221,0.773,-0.604,1.377,1.544,-0.217,0.586,-1.399,1.138,1.023,0.879,0.978,1.138,1.023,67.186,74.545,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
57,2026-06-25,Fase de grupos,F,Japão,Suécia,2-1,1-1 (pên. nan),Japão,Empate,Não,Não,1.0,0.719,1.0,52.0,0.356,0.092,0.334,0.028,-0.215,0.144,-0.359,-0.6,0.043,0.063,0.616,1.03,1.121,0.971,0.892,1.03,1.121,72.587,66.26,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
58,2026-06-25,Fase de grupos,F,Tunísia,Países Baixos,0-2,1-3 (pên. nan),Países Baixos,Países Baixos,Sim,Não,2.0,1.45,0.0,72.0,-0.825,0.74,-0.693,1.061,-0.228,0.245,-0.473,0.385,1.127,-1.038,-0.516,1.17,0.93,0.855,1.076,1.17,0.93,60.791,75.176,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
59,2026-06-25,Fase de grupos,D,Turquia,Estados Unidos,0-1,3-2 (pên. nan),Estados Unidos,Turquia,Não,Não,4.0,2.776,2.0,0.0,-0.087,0.486,0.39,0.206,0.671,-0.581,1.252,2.0,0.589,-0.392,-2.0,1.212,1.122,0.825,0.891,1.212,1.122,72.444,75.702,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
60,2026-06-25,Fase de grupos,D,Paraguai,Austrália,1-2,0-0 (pên. nan),Austrália,Empate,Não,Não,3.0,2.194,1.0,24.0,-0.142,-0.041,0.277,-0.011,-0.048,-0.107,0.059,-1.22,-1.268,1.195,1.072,1.045,0.985,0.957,1.015,1.045,0.985,64.638,66.908,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
