jogo,data,fase,grupo,rodadaGrupo,equipe1,equipe2,xg1_modelo,xg2_modelo,placar_previsto,placar_modal_bruto,metodo_placar,criterio_resultado_modelado,gols1_previsto,gols2_previsto,vencedor_previsto,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,prob_decisao_penaltis,confianca_modelo,peso_rede_neural,validacoes_anteriores_usadas,interacoes_monte_carlo,feature_rating_diff,feature_base_rating_diff,feature_attack_vs_defense,feature_defense_vs_attack,feature_midfield_diff,feature_goalkeeper_diff,feature_experience_diff,feature_league_diff,feature_player_quality_diff,feature_intensity_diff,feature_possession_diff,feature_pressing_diff,feature_momentum_diff,feature_performance_memory_diff,feature_offensive_form_diff,feature_defensive_form_diff,feature_offensive_form_equipe1,feature_offensive_form_equipe2,feature_defensive_form_equipe1,feature_defensive_form_equipe2,feature_schedule_strength_diff,feature_opponent_adjusted_points_diff,feature_goals_for_rate_diff,feature_goals_against_rate_diff,feature_opponent_weighted_goals_for_diff,feature_opponent_weighted_goals_against_diff,feature_weighted_goals_for_rate_diff,feature_adjusted_goals_against_rate_diff,feature_weighted_goals_for_rate_equipe1,feature_weighted_goals_for_rate_equipe2,feature_adjusted_goals_against_rate_equipe1,feature_adjusted_goals_against_rate_equipe2,feature_rest_diff,feature_host_diff,feature_knockout,feature_round_group,placar_regular_previsto,decisao_penaltis,placar_penaltis,prob_penaltis_equipe1,vencedor_pos_penaltis,criterio_vencedor,status_previsao,usa_desempenho_copa,origem_confronto,precisa_recalculo,possui_real,placar_real,vencedor_real
11,2026-06-14,Fase de grupos,F,1.0,Países Baixos,Japão,1.127,0.886,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Países Baixos,0.4135,0.2993,0.2872,0.0,baixa,0.0,10,12000,2.38,2.38,0.25,1.11,-1.26,0.37,0.14,3.9091,3.9444,-1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-2,Empate
12,2026-06-14,Fase de grupos,F,1.0,Suécia,Tunísia,1.11,0.906,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Suécia,0.3997,0.306,0.2943,0.0,baixa,0.0,11,12000,3.83,3.83,0.09,0.57,0.16,0.43,-0.24,8.0,4.9261,-1.8,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,5-1,Suécia
13,2026-06-15,Fase de grupos,H,1.0,Arábia Saudita,Uruguai,0.906,1.085,0-1,0-1,representativo_probabilistico,maior_probabilidade,0,1,Uruguai,0.3043,0.3031,0.3926,0.0,baixa,0.0,12,12000,-6.2,-6.2,-0.52,0.38,-0.82,-0.43,0.0,-20.7273,-5.3083,-1.0,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-1,Empate
14,2026-06-15,Fase de grupos,H,1.0,Espanha,Cabo Verde,1.299,0.815,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Espanha,0.4825,0.2882,0.2293,0.0,média,0.0,13,12000,10.18,10.18,0.72,0.63,1.73,0.87,-0.23,14.0909,11.5206,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,0-0,Empate
15,2026-06-15,Fase de grupos,G,1.0,Irã,Nova Zelândia,0.959,0.948,0-1,0-1,representativo_probabilistico,maior_probabilidade,0,1,Nova Zelândia,0.3423,0.3135,0.3442,0.0,baixa,0.0,14,12000,-0.95,-0.95,-0.57,0.89,0.44,0.64,0.75,-22.6364,-0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-2,Empate
16,2026-06-15,Fase de grupos,G,1.0,Bélgica,Egito,1.308,0.771,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Bélgica,0.4981,0.2789,0.223,0.0,média,0.0,15,12000,12.56,12.56,0.59,0.82,1.85,1.08,0.58,19.0909,14.7072,-1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-1,Empate
17,2026-06-16,Fase de grupos,I,1.0,França,Senegal,1.059,1.097,0-2,1-1,representativo_condicional,maior_probabilidade,0,2,Senegal,0.3488,0.2893,0.3619,0.0,baixa,0.035,16,12000,-1.62,-1.62,0.18,-0.12,-0.34,-0.1,-0.52,0.2727,-1.3667,0.0,0.0,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-2,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,3-1,França
18,2026-06-16,Fase de grupos,I,1.0,Iraque,Noruega,0.798,1.24,0-1,0-1,representativo_probabilistico,maior_probabilidade,0,1,Noruega,0.2277,0.3276,0.4447,0.0,baixa,0.036,17,12000,-10.7,-10.7,-0.76,-0.32,-0.9,-0.54,0.07,-25.7273,-12.7372,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-4,Noruega
19,2026-06-16,Fase de grupos,J,1.0,Argentina,Argélia,1.128,0.891,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Argentina,0.4239,0.3019,0.2741,0.0,baixa,0.036,18,12000,6.67,6.67,-0.25,0.61,1.19,1.2,1.04,4.9091,8.1656,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,3-0,Argentina
20,2026-06-16,Fase de grupos,J,1.0,Áustria,Jordânia,1.214,0.766,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Áustria,0.4531,0.3186,0.2284,0.0,baixa,0.037,19,12000,11.4,11.4,0.04,0.95,1.39,-0.13,-0.12,29.2727,12.5694,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,3-1,Áustria
21,2026-06-17,Fase de grupos,L,1.0,Gana,Panamá,0.761,1.219,0-1,0-1,representativo_probabilistico,maior_probabilidade,0,1,Panamá,0.2612,0.2901,0.4487,0.0,baixa,0.038,20,12000,-6.61,-6.61,-1.55,-0.61,-1.67,-0.9,-2.16,21.4545,-7.5128,-1.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-0,Gana
22,2026-06-17,Fase de grupos,L,1.0,Inglaterra,Croácia,1.029,1.069,1-0,1-1,representativo_probabilistico,maior_probabilidade,1,0,Inglaterra,0.3601,0.2994,0.3405,0.0,baixa,0.038,21,12000,-0.27,-0.27,-0.25,-0.09,-0.51,0.43,-0.71,2.8182,0.92,3.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,4-2,Inglaterra
23,2026-06-17,Fase de grupos,K,1.0,Portugal,RD Congo,1.261,0.78,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Portugal,0.4585,0.3172,0.2243,0.0,baixa,0.039,22,12000,8.59,8.59,0.57,1.2,1.73,0.6,0.83,2.5455,9.0517,0.0,4.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-1,Empate
24,2026-06-17,Fase de grupos,K,1.0,Uzbequistão,Colômbia,0.719,1.253,0-1,0-1,representativo_probabilistico,maior_probabilidade,0,1,Colômbia,0.2101,0.2912,0.4987,0.0,média,0.039,23,12000,-11.27,-11.27,-1.37,-0.37,-0.52,-1.36,-0.19,-26.0,-10.8011,-3.0,-2.8,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-3,Colômbia
25,2026-06-18,Fase de grupos,A,2.0,Tchéquia,África do Sul,1.377,1.03,2-1,1-1,representativo_probabilistico,maior_probabilidade,2,1,Tchéquia,0.4666,0.262,0.2714,0.0,baixa,0.04,24,12000,5.7988,5.73,0.59,0.43,-0.98,-0.23,0.68,15.5455,8.3422,0.0,0.0,0.0,-0.0277,-0.0001,0.2226,-0.0519,0.0009,-0.2217,-0.2394,-0.1875,-0.04,0.0,1.0,0.0,1.0991,-0.008,1.0991,-0.008,1.0991,0.0,1.8196,1.8276,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-1,Empate
26,2026-06-18,Fase de grupos,B,2.0,Suíça,Bósnia e Herzegovina,1.354,0.837,1-0,1-0,representativo_condicional,maior_probabilidade,1,0,Suíça,0.4679,0.309,0.2231,0.0,baixa,0.041,25,12000,12.6005,12.85,0.63,1.55,1.86,0.66,1.35,3.6364,15.3778,1.8,1.0,2.0,-0.0349,0.0189,-0.1215,-0.111,-0.0527,0.0689,-0.0217,0.0893,-4.18,-0.0697,0.0,0.0,-0.0619,0.0501,-0.0619,0.0501,1.0807,1.1427,0.9253,0.8752,-1.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,4-1,Suíça
27,2026-06-18,Fase de grupos,B,2.0,Canadá,Catar,1.189,1.194,2-1,1-1,representativo_probabilistico,maior_probabilidade,2,1,Canadá,0.3705,0.2696,0.36,0.0,baixa,0.041,26,12000,3.9352,4.18,0.34,-0.08,0.51,-0.17,-1.08,25.5455,1.2189,4.0,-3.0,3.0,-0.0355,0.0189,-0.1032,-0.1212,-0.0746,0.0286,-0.0628,0.0584,-12.85,-0.2142,0.0,0.0,-0.2236,0.1986,-0.2236,0.1986,0.9551,1.1787,1.0471,0.8484,1.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,6-0,Canadá
28,2026-06-18,Fase de grupos,A,2.0,México,Coreia do Sul,1.187,1.008,2-0,1-1,representativo_condicional,maior_probabilidade,2,0,México,0.4207,0.2825,0.2968,0.0,baixa,0.042,27,12000,0.0734,0.04,0.1,1.51,-1.01,-0.27,0.52,-3.7273,0.2283,0.0,0.0,0.0,-0.0287,-0.0001,-0.0737,0.1985,0.1996,0.2733,0.1977,-0.0008,-5.73,-0.2865,0.0,-1.0,-0.1392,-0.9596,-0.1392,-0.9596,1.9449,2.0841,0.0,0.9596,0.0,0.0,0.0,2.0,2-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-0,México
29,2026-06-19,Fase de grupos,C,2.0,Brasil,Haiti,1.332,0.898,1-0,1-0,representativo_condicional,maior_probabilidade,1,0,Brasil,0.4466,0.3047,0.2487,0.0,baixa,0.043,28,12000,8.6873,8.53,0.48,0.55,2.06,-0.3,0.79,8.7273,9.0122,0.0,5.0,4.2,0.3399,0.0124,0.2162,-0.0998,-0.0443,-0.2605,-0.028,0.0718,-5.08,1.1527,1.0,0.0,1.052,0.075,1.052,0.075,1.052,0.0,0.9505,0.8755,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,3-0,Brasil
30,2026-06-19,Fase de grupos,C,2.0,Escócia,Marrocos,1.225,0.832,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Escócia,0.4742,0.2886,0.2372,0.0,média,0.043,29,12000,5.361,5.08,-0.01,1.31,1.36,0.2,0.68,2.9091,4.5011,0.0,-1.0,0.0,0.7134,0.0136,-0.0994,0.1844,-0.0648,0.0346,0.2332,0.0488,-8.53,2.0195,0.0,-1.0,-0.1327,-0.8679,-0.1327,-0.8679,1.0195,1.1522,0.0,0.8679,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,0-1,Marrocos
31,2026-06-19,Fase de grupos,D,2.0,Turquia,Paraguai,1.319,0.959,2-0,1-0,representativo_condicional,maior_probabilidade,2,0,Turquia,0.4379,0.2654,0.2968,0.0,baixa,0.044,30,12000,8.102,8.35,-0.01,2.06,1.15,1.5,0.73,4.9091,7.2661,0.0,2.8,1.8,-0.0426,0.0325,-0.4331,0.2333,-0.3309,0.1022,-0.3267,-0.56,-8.41,0.0,-1.0,-2.0,-1.1992,-1.4166,-1.1992,-1.4166,0.0,1.1992,1.9191,3.3357,-1.0,0.0,0.0,2.0,2-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,0-1,Paraguai
32,2026-06-19,Fase de grupos,D,2.0,Estados Unidos,Austrália,1.44,1.018,2-1,1-1,representativo_probabilistico,maior_probabilidade,2,1,Estados Unidos,0.4823,0.2599,0.2579,0.0,média,0.044,31,12000,8.1071,8.41,0.96,1.26,1.44,0.0,0.58,2.6364,9.3444,0.0,2.8,3.0,-0.0432,0.0325,0.1733,-0.4469,0.56,0.3867,-0.085,0.3619,-8.35,-0.4175,2.0,1.0,1.665,1.0161,1.665,1.0161,3.9367,2.2717,1.0161,0.0,1.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-0,Estados Unidos
33,2026-06-20,Fase de grupos,E,2.0,Alemanha,Costa do Marfim,1.242,0.979,1-0,1-0,representativo_condicional,maior_probabilidade,1,0,Alemanha,0.4489,0.2731,0.2781,0.0,baixa,0.045,32,12000,5.6313,5.51,-0.38,1.0,0.22,1.0,0.38,2.0909,7.2317,0.0,3.0,1.2,-0.0153,0.0164,0.5603,-0.3391,0.56,-0.0003,-0.0591,0.28,-2.29,-0.1145,6.0,1.0,6.0477,0.9893,6.0477,0.9893,7.0758,1.0281,0.9893,0.0,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-1,Alemanha
34,2026-06-20,Fase de grupos,E,2.0,Equador,Curaçao,1.266,1.053,2-1,1-1,representativo_probabilistico,maior_probabilidade,2,1,Equador,0.3868,0.2717,0.3416,0.0,baixa,0.046,33,12000,2.3986,2.29,-0.06,0.87,-1.2,-1.0,0.45,2.6364,4.4556,4.0,3.8,5.0,-0.0143,0.0164,-0.3596,0.5603,-0.2913,0.0683,0.0003,-0.56,-5.51,0.0,-1.0,-6.0,-1.1272,-5.2766,-1.1272,-5.2766,0.0,1.1272,0.9336,6.2101,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,0-0,Empate
35,2026-06-20,Fase de grupos,F,2.0,Países Baixos,Suécia,1.459,1.113,2-1,1-1,representativo_probabilistico,maior_probabilidade,2,1,Países Baixos,0.4782,0.2479,0.2738,0.0,média,0.046,34,12000,7.6507,8.35,0.85,1.37,0.57,0.4,1.06,0.1818,10.0056,1.8,1.2,1.8,-0.7572,-0.0127,-0.2813,-0.256,0.2787,0.56,-0.2771,-0.021,9.8,-1.9113,-3.0,1.0,-2.4927,0.7385,-2.4927,0.7385,2.224,4.7168,1.7985,1.0601,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,5-1,Países Baixos
36,2026-06-20,Fase de grupos,F,2.0,Tunísia,Japão,0.829,1.716,1-2,0-1,representativo_condicional,maior_probabilidade,1,2,Japão,0.2143,0.2211,0.5646,0.0,média,0.047,35,12000,-10.4558,-9.8,-1.17,-0.35,-1.99,-0.46,-0.68,-4.2727,-10.9872,-1.2,-3.8,-2.8,-0.3824,-0.0115,-0.3394,-0.3431,0.0202,0.3596,-0.56,-0.2169,-8.35,-1.2403,-1.0,3.0,-1.2988,3.1398,-1.2988,3.1398,1.0292,2.328,4.858,1.7182,0.0,0.0,0.0,2.0,1-2,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,0-4,Japão
37,2026-06-21,Fase de grupos,H,2.0,Uruguai,Cabo Verde,1.052,0.861,1-0,1-0,representativo_probabilistico,maior_probabilidade,1,0,Uruguai,0.4218,0.3004,0.2778,0.0,baixa,0.048,36,12000,6.9654,7.14,-0.33,1.39,0.84,0.7,0.25,9.1818,7.355,1.0,1.0,3.0,-0.0146,0.0435,0.2713,-0.4397,-0.0075,-0.2788,-0.022,0.4177,-9.24,-0.154,1.0,1.0,1.036,0.9653,1.036,0.9653,1.036,0.0,0.9653,0.0,0.0,0.0,0.0,2.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-2,Empate
38,2026-06-21,Fase de grupos,H,2.0,Espanha,Arábia Saudita,1.26,1.029,2-1,1-0,representativo_probabilistico,maior_probabilidade,2,1,Espanha,0.4449,0.2704,0.2847,0.0,baixa,0.048,37,12000,9.0801,9.24,0.67,-0.24,1.71,0.6,-0.48,25.6364,9.4739,0.0,4.0,1.2,-0.0157,0.0435,-0.3693,0.2241,-0.3442,0.025,0.2327,0.0086,-7.14,-0.119,-1.0,-1.0,-1.0812,-0.9249,-1.0812,-0.9249,0.0,1.0812,0.0,0.9249,0.0,0.0,0.0,2.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,4-0,Espanha
