selecao,rating_inicial_0_100,rating_atual_0_100,ajuste_total_rating,momentum_resultado_anterior,memoria_desempenho,forma_ofensiva,forma_defensiva,forca_media_adversarios,pontos_ajustados_por_adversario,gols_marcados_ajustados_por_adversario,gols_sofridos_ajustados_por_adversario,gols_marcados_ajustados_por_jogo,gols_sofridos_ajustados_por_jogo,jogos_validados,gols_pro,gols_contra,saldo,pontos,ultima_data_validada
Equador,66.89,66.748,-0.142,-0.001,0.003,-0.145,0.031,70.1,4.826,2.276,3.61,0.569,0.902,4,2,4,-2,4,2026-06-30
Catar,67.74,66.095,-1.645,-0.694,-0.103,-0.382,-0.904,69.652,1.254,2.129,9.267,0.71,3.089,3,2,10,-8,1,2026-06-24
Suécia,66.07,65.658,-0.412,-0.355,-0.018,-0.121,-0.504,70.445,4.326,7.001,8.896,1.75,2.224,4,7,10,-3,4,2026-06-30
Tchéquia,66.33,65.137,-1.193,-0.558,-0.069,-0.308,-0.535,67.564,1.003,2.067,5.57,0.689,1.857,3,2,6,-4,1,2026-06-24
Paraguai,64.61,64.725,0.115,-0.042,-0.011,-0.306,0.331,72.412,7.216,3.458,5.096,0.692,1.019,5,3,6,-3,6,2026-07-04
Irã,64.03,64.039,0.009,-0.033,-0.013,-0.1,0.217,67.725,3.386,3.007,2.993,1.002,0.998,3,3,3,0,3,2026-06-26
Gana,63.77,63.979,0.209,-0.44,-0.019,-0.329,0.283,72.726,4.748,2.229,2.656,0.557,0.664,4,2,3,-1,4,2026-07-03
Cabo Verde,63.93,63.963,0.033,-0.385,-0.032,0.324,-0.135,71.755,3.485,4.574,4.338,1.143,1.084,4,4,5,-1,3,2026-07-03
Arábia Saudita,64.87,63.951,-0.919,-0.266,-0.066,-0.566,-0.044,69.696,2.253,1.081,4.33,0.36,1.443,3,1,5,-4,2,2026-06-26
Nova Zelândia,64.98,63.805,-1.175,-0.638,-0.075,0.148,-1.023,67.138,1.067,4.14,9.347,1.38,3.116,3,4,10,-6,1,2026-06-26
Haiti,64.85,63.553,-1.297,-0.751,-0.103,0.02,-0.799,72.441,0.0,2.119,7.257,0.706,2.419,3,2,8,-6,0,2026-06-24
Curaçao,64.6,63.49,-1.11,-0.553,-0.108,-0.51,-0.213,69.834,1.108,1.127,8.075,0.376,2.692,3,1,9,-8,1,2026-06-25
Egito,62.54,63.371,0.831,-0.004,0.017,0.58,-0.272,69.827,7.8,8.637,6.298,1.727,1.26,5,8,7,1,7,2026-07-07
Bósnia e Herzegovina,62.4,62.325,-0.075,-0.06,-0.008,0.125,-0.275,72.395,4.542,5.532,6.867,1.383,1.717,4,5,8,-3,4,2026-07-01
Tunísia,62.24,60.66,-1.58,-0.724,-0.111,-0.069,-0.921,71.052,0.0,2.199,11.016,0.733,3.672,3,2,12,-10,0,2026-06-25
África do Sul,60.6,60.471,-0.129,-0.063,-0.102,-0.42,0.389,70.001,4.643,2.138,3.663,0.534,0.916,4,2,4,-2,4,2026-06-28
Jordânia,61.1,60.177,-0.923,-0.715,-0.088,0.175,-0.61,72.982,0.0,3.403,7.03,1.134,2.343,3,3,8,-5,0,2026-06-27
Uzbequistão,61.07,59.412,-1.658,-0.744,-0.109,-0.161,-1.028,71.648,0.0,2.149,9.764,0.716,3.255,3,2,11,-9,0,2026-06-27
Iraque,60.31,58.461,-1.849,-0.727,-0.075,-0.515,-0.992,71.056,0.0,1.099,10.788,0.366,3.596,3,1,12,-11,0,2026-06-26
