data_brt;grupo;jogo;selecao;jogador;posicao;tipo_desempenho;descricao;gols;assistencias;cartoes_amarelos;cartoes_vermelhos;defesas_ou_pênaltis;minutos;source_url;observacoes
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Cabo Verde;Wagner Pina;Defensor/meio;Atuação destacada;"Teve atuação destacada e foi substituído no fim; levou bloqueio importante de Al-Amri em chance aos 86.";0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;avaliação qualitativa de live report
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Cabo Verde;Laros Duarte;Meio-campo;Chance clara desperdiçada;Entrou no 2º tempo e teve chance 1 contra 1 aos 74, parada por Al-Owais.;0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;chance criada/citada no live report
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Cabo Verde;Garry Rodrigues;Atacante;Impacto misto;"Entrou no 2º tempo; teve participação em contra-ataques, mas uma transição aos 90+5 desacelerou e terminou com finalização para fora.";0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;avaliação qualitativa de eventos
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Arábia Saudita;Mohammed Al-Owais;Goleiro;Defesa importante;Defendeu chance clara de Laros Duarte em 1 contra 1 aos 74.;0;0;;;defesa em chance clara;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;confirmado por live report
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Arábia Saudita;Al-Amri;Defensor;Bloqueio decisivo;Fez bloqueio importante em finalização de Wagner Pina aos 86.;0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;nome abreviado como na fonte
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Arábia Saudita;Firas Al-Buraikan;Atacante;Advertido;Cartão amarelo aos 90+3 por falta no meio-campo.;0;0;1;;;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;confirmado por live report
2026-06-26;H;Cabo Verde 0 x 0 Arábia Saudita;Arábia Saudita;Nasser Al-Dawsari;Meio-campo;Advertido;Cartão amarelo aos 66 por parar contra-ataque de Cabo Verde.;0;0;1;;;;https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live;confirmado por live report
2026-06-26;H;Uruguai 0 x 1 Espanha;Espanha;Álex Baena;Meio-campo;Autor do gol decisivo;"Marcou o único gol aos 42; também recebeu cartão amarelo.";1;0;1;;;;https://english.ahram.org.eg/WorldCup2026/Article/571662;confirmado por match facts
2026-06-26;H;Uruguai 0 x 1 Espanha;Espanha;Unai Simón;Goleiro;Seguro nos lances-chave;Defendeu excelente chance de Maxi Araújo no fim do 1º tempo e foi testado em chute de De la Cruz aos 85.;0;0;;;defesas importantes;;https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live;eventos citados no live report
2026-06-26;H;Uruguai 0 x 1 Espanha;Espanha;Pau Cubarsí;Defensor;Solidez defensiva/sofreu falta perigosa;"Participou da contenção uruguaia; foi alvo da entrada que resultou no vermelho de Canobbio no fim do jogo.";0;0;;;;;https://english.ahram.org.eg/WorldCup2026/Article/571662;"red card confirmado; alvo da falta em fonte espanhola, manter revisão humana"
2026-06-26;H;Uruguai 0 x 1 Espanha;Uruguai;Fernando Muslera;Goleiro;Desempenho negativo;Falhou no lance do gol de Baena e foi substituído no intervalo por Sergio Rochet.;0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live;confirmado por live report
2026-06-26;H;Uruguai 0 x 1 Espanha;Uruguai;Sergio Rochet;Goleiro;Entrou no intervalo;Substituiu Muslera no intervalo após o gol sofrido/falha do titular.;0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live;confirmado por live report
2026-06-26;H;Uruguai 0 x 1 Espanha;Uruguai;Maxi Araújo;Meio/ataque;Melhor chance uruguaia;Teve chance excelente no fim do 1º tempo, defendida por Unai Simón.;0;0;;;;;https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live;confirmado por live report
2026-06-26;H;Uruguai 0 x 1 Espanha;Uruguai;Nicolás de la Cruz;Meio-campo;Tentativa ofensiva e cartão;"Testou Unai Simón com chute aos 85; recebeu cartão amarelo.";0;0;1;;;;https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live;confirmado por match facts/live report
2026-06-26;H;Uruguai 0 x 1 Espanha;Uruguai;Juan Sanabria;Meio-campo;Advertido;Recebeu cartão amarelo.;0;0;1;;;;https://english.ahram.org.eg/WorldCup2026/Article/571662;confirmado por match facts
2026-06-26;H;Uruguai 0 x 1 Espanha;Uruguai;Guillermo Varela;Defensor;Advertido;Recebeu cartão amarelo.;0;0;1;;;;https://english.ahram.org.eg/WorldCup2026/Article/571662;confirmado por match facts
2026-06-26;H;Uruguai 0 x 1 Espanha;Uruguai;Agustín Canobbio;Meio/ataque;Desempenho negativo;"Expulso no fim do jogo; vermelho registrado nos match facts.";0;0;;1;;;https://english.ahram.org.eg/WorldCup2026/Article/571662;confirmado por match facts
