ID;Data;Jogo;Placar;Jogadores/linhas de destaque;Leitura de desempenho;Limitações/observações;Fonte desempenho;Fonte resultado
24;2026-06-17;Uzbequistão x Colômbia;1-3;"Luis Díaz; Jáminton Campaz; Juan Camilo Hernández";"Colômbia controlou melhor a reta final; Luis Díaz fez gol e assistência, Campaz definiu tarde.";;https://www.theguardian.com/football/live/2026/jun/17/uzbekistan-v-colombia-world-cup-2026-live;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
25;2026-06-18;Tchéquia x África do Sul;1-1;"Michal Sadílek; Teboho Mokoena; Patrik Schick";"Tchéquia começou forte, mas desperdiçou chances; África do Sul empatou de pênalti.";;https://www.espn.com/soccer/report/_/gameId/773846;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
26;2026-06-18;Suíça x Bósnia e Herzegovina;4-1;"Johan Manzambi; Rubén Vargas; Granit Xhaka; H. Muharemović";"Suíça resolveu com força do banco e sequência de gols tardios; Bósnia caiu de produção após expulsão.";;https://www.espn.com/soccer/report/_/gameId/773847;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
27;2026-06-18;Canadá x Catar;6-0;"Jonathan David; Cyle Larin; Nathan Saliba; Ismaël Koné";"Canadá dominou e conquistou vitória histórica; David foi o nome do jogo com hat-trick.";;https://www.theguardian.com/football/2026/jun/18/canada-qatar-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
28;2026-06-18;México x República da Coreia;1-0;"Luis Romo; Kim Seung-gyu; Julián Quiñones";México aproveitou falha/bola solta após cruzamento e sustentou vitória mínima.;;https://www.theguardian.com/football/2026/jun/18/mexico-south-korea-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
29;2026-06-19;Estados Unidos x Austrália;2-0;"Alex Freeman; Folarin Balogun; Cameron Burgess; Patrick Beach";"EUA controlaram bem o jogo; Freeman brilhou e Austrália sofreu com gol contra/baixa produção.";;https://www.theguardian.com/football/2026/jun/19/usa-australia-player-ratings-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
30;2026-06-19;Escócia x Marrocos;0-1;"Ismael Saibari; Angus Gunn; Achraf Hakimi";"Marrocos marcou muito cedo e foi superior; Escócia reagiu tarde com bolas diretas.";;https://www.theguardian.com/football/2026/jun/19/scotland-morocco-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
31;2026-06-19;Brasil x Haiti;3-0;"Matheus Cunha; Vinícius Jr.";"Brasil venceu com eficiência ofensiva no primeiro tempo; Cunha foi protagonista com dois gols.";;https://www.busbybabe.com/2026/6/19/24448120/world-cup-2026-brazil-haiti-matheus-cunha;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
32;2026-06-20;Turquia x Paraguai;0-1;"Matías Galarza; Miguel Almirón; Arda Güler";"Paraguai marcou muito cedo e resistiu mesmo com expulsão; Turquia teve volume, mas pouca conversão.";;https://www.theguardian.com/football/2026/jun/20/turkey-paraguay-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
33;2026-06-20;Holanda x Suécia;5-1;"Brian Brobbey; Cody Gakpo; Denzel Dumfries; Anthony Elanga";"Holanda atropelou com Brobbey e Gakpo marcando duas vezes; Dumfries participou muito na criação.";;https://www.reuters.com/sports/soccer/netherlands-thrash-sweden-5-1-world-cup-2026-2026-06-20/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
34;2026-06-20;Alemanha x Costa do Marfim;2-1;"Deniz Undav; Franck Kessié";"Alemanha buscou virada com dois gols de Undav saindo do banco; Costa do Marfim quase segurou vantagem.";;https://www.reuters.com/sports/soccer/germany-beat-ivory-coast-2-1-world-cup-2026-2026-06-20/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
35;2026-06-20;Equador x Curaçao;0-0;"Eloy Room; ataque do Equador";"Equador teve grande volume ofensivo; Eloy Room fez atuação histórica com muitas defesas.";;https://www.theguardian.com/football/2026/jun/20/ecuador-curacao-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
36;2026-06-21;Tunísia x Japão;0-4;"Ayase Ueda; Daichi Kamada; Junya Ito";"Japão foi dominante; Ueda marcou duas vezes e Kamada abriu o caminho muito cedo.";;https://www.theguardian.com/football/2026/jun/21/tunisia-japan-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
37;2026-06-21;Espanha x Arábia Saudita;4-0;"Lamine Yamal; Mikel Oyarzabal; Marc Cucurella";"Espanha foi dominante e resolveu cedo; Oyarzabal respondeu com dois gols e Yamal marcou em seu retorno/titularidade.";;https://www.theguardian.com/football/2026/jun/21/spain-saudi-arabia-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
38;2026-06-21;Bélgica x Irã;0-0;"Alireza Beiranvand; Thibaut Courtois";"Bélgica teve 23 finalizações e não marcou; Beiranvand foi decisivo com sete defesas.";;https://www.espn.com/soccer/report/_/gameId/773866;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
39;2026-06-21;Uruguai x Cabo Verde;2-2;"Kevin Pina; Maxi Araújo; Agustín Canobbio; Hélio Varela; Federico Valverde";Uruguai criou mais, mas Cabo Verde foi eficiente e buscou empate em erro defensivo.;;https://www.reuters.com/sports/soccer/cape-verde-hold-uruguay-2-2-world-cup-2026-2026-06-21/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
40;2026-06-21;Nova Zelândia x Egito;1-3;"Mohamed Salah; Mostafa Zico; Trézéguet; Finn Surman";"Egito virou com Salah decisivo em gol e assistência; Zico mudou o jogo.";;https://www.reuters.com/sports/soccer/egypt-beat-new-zealand-3-1-world-cup-2026-2026-06-21/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
41;2026-06-22;Argentina x Áustria;2-0;Lionel Messi;Messi perdeu pênalti cedo, mas marcou duas vezes e tornou-se artilheiro histórico isolado em Copas.;;https://theanalyst.com/na/2026/06/argentina-austria-stats-messi-world-cup-record;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
42;2026-06-22;França x Iraque;3-0;"Kylian Mbappé; Ousmane Dembélé";"Após atraso por tempestade, França controlou; Mbappé marcou duas vezes em seu 100º jogo.";;https://www.theguardian.com/football/2026/jun/22/france-iraq-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
43;2026-06-22;Noruega x Senegal;3-2;"Erling Haaland; Marcus Holmgren Pedersen; Ismaïla Sarr";"Haaland decidiu com dois gols; Senegal reagiu duas vezes, mas não evitou derrota.";;https://www.reuters.com/sports/soccer/haaland-norway-beat-senegal-3-2-world-cup-2026-2026-06-22/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
44;2026-06-23;Jordânia x Argélia;1-2;"Nizar Al-Rashdan; Nadhir Benbouali; Amine Gouiri; Ibrahim Maza; Riyad Mahrez";"Jordânia liderou, mas Argélia dominou o segundo tempo; substituições decidiram a virada.";;https://www.theguardian.com/football/2026/jun/23/jordan-algeria-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
45;2026-06-23;Portugal x Uzbequistão;5-0;"Cristiano Ronaldo; Nuno Mendes; Bruno Fernandes; João Cancelo; Pedro Neto";"Portugal reagiu ao empate da estreia com atuação dominante; Ronaldo marcou duas vezes e Fernandes foi central na criação.";;https://www.portugoal.net/selecao/5871-portugal-5-0-uzbekistan-report-2026-world-cup;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
46;2026-06-23;Inglaterra x Gana;0-0;"Declan Rice; Bukayo Saka; Jerome Opoku; Jonas Adjetey; Caleb Yirenkyi; Thomas Partey";"Gana neutralizou bem a Inglaterra; Rice foi o melhor inglês, enquanto defesa ganesa e meio-campo seguraram o empate.";;https://www.theguardian.com/football/2026/jun/23/england-ghana-player-ratings-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
47;2026-06-23;Panamá x Croácia;0-1;"Ante Budimir; Luka Modrić; Dominik Livaković";"Croácia venceu jogo apertado no dia do 200º jogo de Modrić; Budimir resgatou a campanha com gol decisivo.";;https://www.theguardian.com/football/2026/jun/24/croatia-panama-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
48;2026-06-23;Colômbia x RD do Congo;1-0;"Daniel Muñoz; Lionel Mpasi; Luis Díaz";"Colômbia pressionou, mas só furou a defesa no segundo tempo; Mpasi evitou placar maior no início.";;https://www.theguardian.com/football/live/2026/jun/24/fifa-world-cup-2026-live-colombia-v-dr-congo-updates-col-vs-cod-group-k-match-score-latest;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
49;2026-06-24;Suíça x Canadá;2-1;"Rubén Vargas; Johan Manzambi; Promise David";"Suíça decidiu cedo no segundo tempo; Canadá reagiu com Promise David, mas sofreu com ausências no meio.";;https://www.theguardian.com/football/2026/jun/24/switzerland-canada-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
50;2026-06-24;Bósnia e Herzegovina x Catar;3-1;"Kerim Alajbegović; Edin Džeko; Ermin Mahmić; Hassan Al-Haydos";"Bósnia se classificou com atuação forte de jovens; Alajbegović abriu com golaço e Džeko viveu jogo simbólico.";;https://www.theguardian.com/football/2026/jun/24/bosnia-qatar-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
51;2026-06-24;Escócia x Brasil;0-3;"Vinícius Jr.; Matheus Cunha; Bruno Guimarães; Neymar; Lucas Paquetá";"Brasil dominou e confirmou liderança do grupo; Vini fez dois, Bruno deu duas assistências e Neymar voltou criando.";;https://www.reuters.com/sports/soccer/brazil-beat-scotland-3-0-world-cup-2026-2026-06-24/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
52;2026-06-24;Marrocos x Haiti;4-2;"Ismael Saibari; Soufiane Rahimi; Gessime Yassine";Marrocos sofreu duas vezes, mas mostrou força mental e venceu com gols tardios de Rahimi e Yassine.;;https://www.skysports.com/football/news/12098/13554975/world-cup-2026-morocco-4-2-haiti-late-soufiane-rahimi-and-gessime-yassine-goals-earns-win-as-atlas-lions-finish-second-in-group-c;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
53;2026-06-24;República Tcheca x México;0-3;"Mateo Chávez; Julián Quiñones; Álvaro Fidalgo";México confirmou força do grupo com vitória segura e três jogadores diferentes marcando.;;https://www.bavarianfootballworks.com/fifa-world-cup/221506/mexico-beat-czech-republic-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
54;2026-06-24;África do Sul x República da Coreia;1-0;"Thapelo Maseko; Hugo Broos";África do Sul venceu partida de margem mínima e avançou/fortaleceu campanha com gol de Maseko.;;https://www.bavarianfootballworks.com/fifa-world-cup/221507/south-africa-beat-south-korea-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
55;2026-06-25;Curaçao x Costa do Marfim;0-2;Nicolas Pépé;Costa do Marfim garantiu classificação inédita ao mata-mata com Pépé decisivo.;;https://timesofindia.indiatimes.com/sports/football/fifa-world-cup-2026/world-cup-2026-nicolas-pepe-brace-cote-divoire-curacao/articleshow/121994001.cms;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
56;2026-06-25;Equador x Alemanha;2-1;"Leroy Sané; Nilson Angulo; Gonzalo Plata; Moisés Caicedo; Jonathan Tah";"Alemanha marcou cedo, mas caiu após erros defensivos; Caicedo comandou o meio e Plata decidiu.";;https://www.reuters.com/sports/soccer/ecuador-beat-germany-2-1-world-cup-2026-2026-06-25/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
57;2026-06-25;Japão x Suécia;1-1;"Daizen Maeda; Anthony Elanga; Zion Suzuki; Ritsu Doan; Viktor Gyökeres";"Japão avançou com empate; Maeda marcou após jogada coletiva e Suzuki salvou contra Isak.";;https://www.reuters.com/sports/soccer/japan-sweden-draw-1-1-world-cup-2026-2026-06-25/;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
58;2026-06-25;Tunísia x Holanda;1-3;"Brian Brobbey; Jan Paul van Hecke; Frenkie de Jong";"Holanda controlou o jogo e liderou o grupo; De Jong comandou o meio e Brobbey manteve faro de gol.";;https://www.theguardian.com/football/2026/jun/25/tunisia-netherlands-world-cup-2026-match-report;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
59;2026-06-25;Turquia x Estados Unidos;3-2;"Arda Güler; Kaan Ayhan; Auston Trusty; Sebastian Berhalter; Christian Pulisic";"Turquia venceu nos acréscimos; Arda Güler marcou e participou da criação, enquanto EUA alternaram bons ataques e falhas defensivas.";"Fontes divergiram entre Kökçü e Barış Alper Yılmaz em um dos gols turcos; planilha marca a divergência.";https://apnews.com/article/world-cup-turkey-united-states-pulisic-guler-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
60;2026-06-25;Paraguai x Austrália;0-0;"Patrick Beach; Aiden O'Neill; Jordy Bos; Julio Enciso; Omar Alderete";"Austrália avançou com defesa muito compacta; Beach e O'Neill foram decisivos para controlar pressão paraguaia.";;https://www.theguardian.com/football/2026/jun/25/paraguay-australia-player-ratings-world-cup-2026;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
61;2026-06-26;Noruega x França;1-4;"Ousmane Dembélé: hat-trick; Kylian Mbappé: 2 assistências; Mike Maignan: pênalti defendido; Thèlo Aasgaard: gol da Noruega.";"França venceu e terminou em 1º no Grupo I; Noruega já classificada terminou em 2º. Dembélé 7, 20, 32; Aasgaard 21; Doué 90+3; Strand Larsen perdeu pênalti aos 50; Haaland e Ødegaard ficaram no banco.";"Noruega usou escalação bastante alternativa; análise limitada aos eventos e estatísticas publicamente disponíveis.";https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/;https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/
62;2026-06-26;Senegal x Iraque;5-0;"Pape Gueye: 2 gols saindo do banco; Ismaïla Sarr: gol e recorde senegalês em Copas; Lamine Camara: recuperação e passe no 2º gol; Iliman Ndiaye: gol e assistência.";"Senegal venceu, terminou em 3º no Grupo I e manteve chance de avançar entre melhores terceiros; Iraque eliminado sem pontos. Diarra 4; Rebin Sulaka expulso aos 13; Sarr 56; Pape Gueye 59 e 71; Iliman Ndiaye 82.";Senegal produziu 3,03 xG em 28 finalizações contra 0,18 xG em 6 finalizações do Iraque, segundo Opta Analyst.;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/;https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/
63;2026-06-27;Egito x Irã;1-1;"Saber marcou cedo; Ramin Rezaeian empatou; Taremi centralizou chances iranianas, mas desperdiçou pênalti; Mohamed Salah saiu com desconforto/lesão muscular.";"Egito empatou com Irã e avançou em 2º no Grupo G; Irã ficou dependente dos demais terceiros e acabou eliminado após os resultados do Grupo J. Saber 5; Rezaeian 14; Taremi teve pênalti defendido e cabeceou no travessão; Khalilzadeh teve gol anulado no fim por impedimento.";"Sem rating público uniforme; foram usados eventos de jogo e relatos de match report.";https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest | https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/;https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest | https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/
