jogo,data,dia_semana,fase,time_1,gols_time_1,gols_time_2,time_2,placar,status,fonte
19,2026-06-16,Terça-feira,Fase de grupos,Argentina,3,0,Argélia,Argentina 3 x 0 Argélia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
20,2026-06-17,Terça-feira,Fase de grupos,Áustria,3,1,Jordânia,Áustria 3 x 1 Jordânia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
21,2026-06-17,Quarta-feira,Fase de grupos,Gana,1,0,Panamá,Gana 1 x 0 Panamá,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
22,2026-06-17,Quarta-feira,Fase de grupos,Inglaterra,4,2,Croácia,Inglaterra 4 x 2 Croácia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
23,2026-06-17,Quarta-feira,Fase de grupos,Portugal,1,1,RD Congo,Portugal 1 x 1 RD do Congo,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
24,2026-06-17,Quarta-feira,Fase de grupos,Uzbequistão,1,3,Colômbia,Uzbequistão 1 x 3 Colômbia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
25,2026-06-18,Quinta-feira,Fase de grupos,Tchéquia,1,1,África do Sul,Tchéquia 1 x 1 África do Sul,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
26,2026-06-18,Quinta-feira,Fase de grupos,Suíça,4,1,Bósnia e Herzegovina,Suíça 4 x 1 Bósnia e Herzegovina,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
27,2026-06-18,Quinta-feira,Fase de grupos,Canadá,6,0,Catar,Canadá 6 x 0 Catar,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
28,2026-06-18,Quinta-feira,Fase de grupos,México,1,0,Coreia do Sul,México 1 x 0 República da Coreia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
29,2026-06-19,Sexta-feira,Fase de grupos,Brasil,3,0,Haiti,Brasil 3 x 0 Haiti,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
30,2026-06-19,Sexta-feira,Fase de grupos,Escócia,0,1,Marrocos,Escócia 0 x 1 Marrocos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
31,2026-06-20,Sexta-feira,Fase de grupos,Turquia,0,1,Paraguai,Turquia 0 x 1 Paraguai,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
32,2026-06-19,Sexta-feira,Fase de grupos,Estados Unidos,2,0,Austrália,Estados Unidos 2 x 0 Austrália,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
33,2026-06-20,Sábado,Fase de grupos,Alemanha,2,1,Costa do Marfim,Alemanha 2 x 1 Costa do Marfim,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
34,2026-06-20,Sábado,Fase de grupos,Equador,0,0,Curaçao,Equador 0 x 0 Curaçao,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
35,2026-06-20,Sábado,Fase de grupos,Países Baixos,5,1,Suécia,Holanda 5 x 1 Suécia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
36,2026-06-21,Sábado,Fase de grupos,Tunísia,0,4,Japão,Tunísia 0 x 4 Japão,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
37,2026-06-21,Domingo,Fase de grupos,Uruguai,2,2,Cabo Verde,Uruguai 2 x 2 Cabo Verde,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
38,2026-06-21,Domingo,Fase de grupos,Espanha,4,0,Arábia Saudita,Espanha 4 x 0 Arábia Saudita,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
39,2026-06-21,Domingo,Fase de grupos,Bélgica,0,0,Irã,Bélgica 0 x 0 Irã,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
40,2026-06-21,Domingo,Fase de grupos,Nova Zelândia,1,3,Egito,Nova Zelândia 1 x 3 Egito,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
41,2026-06-22,Segunda-feira,Fase de grupos,Noruega,3,2,Senegal,Noruega 3 x 2 Senegal,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
42,2026-06-22,Segunda-feira,Fase de grupos,França,3,0,Iraque,França 3 x 0 Iraque,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
43,2026-06-22,Segunda-feira,Fase de grupos,Argentina,2,0,Áustria,Argentina 2 x 0 Áustria,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
44,2026-06-23,Segunda-feira,Fase de grupos,Jordânia,1,2,Argélia,Jordânia 1 x 2 Argélia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
45,2026-06-23,Terça-feira,Fase de grupos,Inglaterra,0,0,Gana,Inglaterra 0 x 0 Gana,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
46,2026-06-23,Terça-feira,Fase de grupos,Panamá,0,1,Croácia,Panamá 0 x 1 Croácia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
47,2026-06-23,Terça-feira,Fase de grupos,Portugal,5,0,Uzbequistão,Portugal 5 x 0 Uzbequistão,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
48,2026-06-23,Terça-feira,Fase de grupos,Colômbia,1,0,RD Congo,Colômbia 1 x 0 RD do Congo,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
49,2026-06-24,Quarta-feira,Fase de grupos,Escócia,0,3,Brasil,Escócia 0 x 3 Brasil,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
50,2026-06-24,Quarta-feira,Fase de grupos,Marrocos,4,2,Haiti,Marrocos 4 x 2 Haiti,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
51,2026-06-24,Quarta-feira,Fase de grupos,Suíça,2,1,Canadá,Suíça 2 x 1 Canadá,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
52,2026-06-24,Quarta-feira,Fase de grupos,Bósnia e Herzegovina,3,1,Catar,Bósnia e Herzegovina 3 x 1 Catar,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
53,2026-06-24,Quarta-feira,Fase de grupos,Tchéquia,0,3,México,República Tcheca 0 x 3 México,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
54,2026-06-24,Quarta-feira,Fase de grupos,África do Sul,1,0,Coreia do Sul,África do Sul 1 x 0 República da Coreia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
55,2026-06-25,Quinta-feira,Fase de grupos,Curaçao,0,2,Costa do Marfim,Curaçao 0 x 2 Costa do Marfim,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
56,2026-06-25,Quinta-feira,Fase de grupos,Equador,2,1,Alemanha,Equador 2 x 1 Alemanha,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
57,2026-06-25,Quinta-feira,Fase de grupos,Japão,1,1,Suécia,Japão 1 x 1 Suécia,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
58,2026-06-25,Quinta-feira,Fase de grupos,Tunísia,1,3,Países Baixos,Tunísia 1 x 3 Holanda,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
59,2026-06-25,Quinta-feira,Fase de grupos,Turquia,3,2,Estados Unidos,Turquia 3 x 2 Estados Unidos,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
60,2026-06-25,Quinta-feira,Fase de grupos,Paraguai,0,0,Austrália,Paraguai 0 x 0 Austrália,Finalizado,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
61,2026-06-26,Sexta-feira,Fase de grupos,Noruega,1,4,França,Noruega 1 x 4 França,Finalizado,https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/
62,2026-06-26,Sexta-feira,Fase de grupos,Senegal,5,0,Iraque,Senegal 5 x 0 Iraque,Finalizado,https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/
63,2026-06-26,Sexta-feira,Fase de grupos,Egito,1,1,Irã,Egito 1 x 1 Irã,Finalizado,https://www.theguardian.com/football/live/2026/jun/27/fifa-world-cup-2026-live-egypt-v-iran-updates-egy-vs-irn-group-g-match-score-latest | https://www.reuters.com/sports/soccer/irans-taremi-criticises-logistical-issues-suggests-side-not-welcome-us-2026-06-27/
64,2026-06-26,Sexta-feira,Fase de grupos,Nova Zelândia,1,5,Bélgica,Nova Zelândia 1 x 5 Bélgica,Finalizado,https://www.reuters.com/sports/soccer/belgium-beat-new-zealand-5-1-advance-world-cup-knockout-stage-2026-06-27/
65,2026-06-26,Sexta-feira,Fase de grupos,Cabo Verde,0,0,Arábia Saudita,Cabo Verde 0 x 0 Arábia Saudita,Finalizado,https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live
66,2026-06-26,Sexta-feira,Fase de grupos,Uruguai,0,1,Espanha,Uruguai 0 x 1 Espanha,Finalizado,https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live
67,2026-06-27,Sábado,Fase de grupos,Panamá,0,2,Inglaterra,Panamá 0 x 2 Inglaterra,Finalizado,https://www.reuters.com/sports/soccer/england-beat-panama-2-0-win-group-l-2026-06-27/
68,2026-06-27,Sábado,Fase de grupos,Croácia,2,1,Gana,Croácia 2 x 1 Gana,Finalizado,https://www.reuters.com/sports/soccer/vlasic-header-sends-croatia-into-world-cup-knockouts-with-2-1-win-over-ghana-2026-06-27/
69,2026-06-27,Sábado,Fase de grupos,Argélia,3,3,Áustria,Argélia 3 x 3 Áustria,Finalizado,https://www.reuters.com/sports/soccer/austria-draw-with-algeria-thriller-reach-knockout-stage-iran-out-2026-06-28/
70,2026-06-27,Sábado,Fase de grupos,Jordânia,1,3,Argentina,Jordânia 1 x 3 Argentina,Finalizado,https://www.reuters.com/sports/soccer/seventh-heaven-messi-argentina-beat-jordan-3-1-2026-06-28/
71,2026-06-27,Sábado,Fase de grupos,Colômbia,0,0,Portugal,Colômbia 0 x 0 Portugal,Finalizado,https://www.reuters.com/sports/soccer/colombia-portugal-advance-after-no-bore-draw-miami-2026-06-28/ | https://elpais.com/america-colombia/2026-06-27/colombia-portugal-en-vivo-el-partido-del-grupo-k-del-mundial-2026.html
72,2026-06-27,Sábado,Fase de grupos,RD Congo,3,1,Uzbequistão,RD Congo 3 x 1 Uzbequistão,Finalizado,https://www.reuters.com/sports/soccer/dr-congo-seal-place-world-cup-knockouts-with-comeback-win-over-uzbekistan-2026-06-28/ | https://www.theguardian.com/football/live/2026/jun/27/dr-congo-v-uzbekistan-world-cup-2026-live
