ID jogo;Data;Jogo;Jogador;Seleção;Tipo de desempenho;Detalhe pesquisado;Fonte
9;2026-06-14;Alemanha 7-1 Curaçao;Livano Comenencia;Curaçao;Gol;Marcou o gol de honra de Curaçao.;https://www.espn.com/soccer/report/_/gameId/773857
10;2026-06-14;Holanda 2-2 Japão;Crysencio Summerville;Holanda;Gol;Recolocou a Holanda em vantagem.;https://www.theguardian.com/football/2026/jun/14/netherlands-japan-world-cup-2026-match-report
10;2026-06-14;Holanda 2-2 Japão;Virgil van Dijk;Holanda;Gol;Abriu o placar holandês no segundo tempo.;https://www.theguardian.com/football/2026/jun/14/netherlands-japan-world-cup-2026-match-report
10;2026-06-14;Holanda 2-2 Japão;Daichi Kamada;Japão;Gol decisivo;Fez o empate nos minutos finais.;https://www.theguardian.com/football/2026/jun/14/netherlands-japan-world-cup-2026-match-report
10;2026-06-14;Holanda 2-2 Japão;Keito Nakamura;Japão;Gol;Empatou após o primeiro gol holandês.;https://www.theguardian.com/football/2026/jun/14/netherlands-japan-world-cup-2026-match-report
11;2026-06-14;Costa do Marfim 1-0 Equador;Amad Diallo;Costa do Marfim;Gol decisivo;Marcou o gol da vitória aos 90 minutos.;https://www.skysports.com/football/news/12040/13550087/world-cup-2026-ivory-coast-1-0-ecuador-amad-diallo-scores-late-winner
11;2026-06-14;Costa do Marfim 1-0 Equador;Alan Minda;Equador;Chance criada;Também parou no travessão no começo do jogo.;https://www.skysports.com/football/news/12040/13550087/world-cup-2026-ivory-coast-1-0-ecuador-amad-diallo-scores-late-winner
11;2026-06-14;Costa do Marfim 1-0 Equador;John Yeboah;Equador;Chance criada;Acertou o travessão em bom momento equatoriano.;https://www.skysports.com/football/news/12040/13550087/world-cup-2026-ivory-coast-1-0-ecuador-amad-diallo-scores-late-winner
12;2026-06-14;Suécia 5-1 Tunísia;Alexander Isak;Suécia;Gol/Destaque;Marcou e comandou o ataque.;https://www.espn.com/soccer/report/_/gameId/773850
12;2026-06-14;Suécia 5-1 Tunísia;Viktor Gyökeres;Suécia;Gol/Destaque;Participou da pressão ofensiva e também balançou a rede.;https://www.espn.com/soccer/report/_/gameId/773850
12;2026-06-14;Suécia 5-1 Tunísia;Yasin Ayari;Suécia;2 gols/Destaque;Foi o principal nome da goleada sueca.;https://www.espn.com/soccer/report/_/gameId/773850
13;2026-06-15;Espanha 0-0 Cabo Verde;Vozinha;Cabo Verde;Goleiro/MVP;Fez múltiplas defesas e garantiu clean sheet histórico.;https://www.espn.com/soccer/match/_/gameId/773864/spain-cape-verde-islands
13;2026-06-15;Espanha 0-0 Cabo Verde;Ferran Torres;Espanha;Finalização/baixo aproveitamento;Participou do volume espanhol, mas sem converter chances.;https://www.goal.com/en/lists/spain-player-ratings-cape-verde-lamine-yamal-gavi-ferran-torres/blt9ecff73b88b4287a
13;2026-06-15;Espanha 0-0 Cabo Verde;Gavi;Espanha;Rendimento abaixo;Foi citado em ratings como abaixo do esperado pela dificuldade espanhola na criação.;https://www.goal.com/en/lists/spain-player-ratings-cape-verde-lamine-yamal-gavi-ferran-torres/blt9ecff73b88b4287a
13;2026-06-15;Espanha 0-0 Cabo Verde;Lamine Yamal;Espanha;Impacto tardio;Entrou/participou em momento posterior, mas não conseguiu romper o bloqueio.;https://www.goal.com/en/lists/spain-player-ratings-cape-verde-lamine-yamal-gavi-ferran-torres/blt9ecff73b88b4287a
14;2026-06-15;Bélgica 1-1 Egito;Romelu Lukaku;Bélgica;Impacto de banco;Sua entrada aumentou presença ofensiva e antecedeu o gol belga.;https://www.espn.com/soccer/report/_/gameId/773865
14;2026-06-15;Bélgica 1-1 Egito;Emam Ashour;Egito;Gol;Finalizou de fora/abriu o placar no primeiro tempo.;https://www.espn.com/soccer/report/_/gameId/773865
14;2026-06-15;Bélgica 1-1 Egito;Mohamed Hany;Egito;Gol contra;Foi creditado com o gol contra que empatou o jogo.;https://www.espn.com/soccer/report/_/gameId/773865
15;2026-06-15;Arábia Saudita 1-1 Uruguai;Abdulelah Al-Amri;Arábia Saudita;Gol;Marcou no primeiro tempo.;https://theanalyst.com/na/2026/06/saudi-arabia-uruguay-stats-world-cup-2026
15;2026-06-15;Arábia Saudita 1-1 Uruguai;Maxi Araújo;Uruguai;Gol decisivo;Empatou nos minutos finais após pressão uruguaia.;https://theanalyst.com/na/2026/06/saudi-arabia-uruguay-stats-world-cup-2026
16;2026-06-15;Irã 2-2 Nova Zelândia;Mohammad Mohebbi;Irã;Gol;Fez o segundo empate iraniano, de cabeça.;https://www.espn.com/soccer/report/_/gameId/773863
16;2026-06-15;Irã 2-2 Nova Zelândia;Ramin Rezaeian;Irã;Gol + volume de cruzamentos;Marcou e foi fonte recorrente de bolas na área.;https://www.espn.com/soccer/report/_/gameId/773863
16;2026-06-15;Irã 2-2 Nova Zelândia;Elijah Just;Nova Zelândia;2 gols;Marcou os dois gols neozelandeses.;https://www.espn.com/soccer/report/_/gameId/773863
16;2026-06-15;Irã 2-2 Nova Zelândia;Marko Stamenic;Nova Zelândia;Controle de meio;Teve alta participação de passes na construção.;https://www.espn.com/soccer/report/_/gameId/773863
17;2026-06-16;França 3-1 Senegal;Bradley Barcola;França;Gol;Marcou o segundo gol francês.;https://www.theguardian.com/football/2026/jun/16/france-senegal-world-cup-2026-match-report
17;2026-06-16;França 3-1 Senegal;Kylian Mbappé;França;2 gols/Destaque;Marcou duas vezes e passou a liderar marca histórica francesa.;https://www.theguardian.com/football/2026/jun/16/france-senegal-world-cup-2026-match-report
17;2026-06-16;França 3-1 Senegal;Michael Olise;França;Assistência/criação;Participou da construção do gol de Mbappé.;https://www.theguardian.com/football/2026/jun/16/france-senegal-world-cup-2026-match-report
17;2026-06-16;França 3-1 Senegal;Ibrahim Mbaye;Senegal;Gol;Marcou nos acréscimos para Senegal.;https://www.theguardian.com/football/2026/jun/16/france-senegal-world-cup-2026-match-report
18;2026-06-16;Iraque 1-4 Noruega;Aymen Hussein;Iraque;Gol;Marcou o gol iraquiano que chegou a empatar o jogo.;https://www.theguardian.com/football/2026/jun/16/iraq-norway-world-cup-2026-match-report
18;2026-06-16;Iraque 1-4 Noruega;Erling Haaland;Noruega;2 gols/Destaque;Marcou duas vezes e liderou vitória norueguesa.;https://www.theguardian.com/football/2026/jun/16/iraq-norway-world-cup-2026-match-report
19;2026-06-16;Argentina 3-0 Argélia;Lionel Messi;Argentina;Hat-trick/MVP;Fez três gols e igualou marca histórica de gols em Copas.;https://www.espn.com/soccer/story/_/id/49050456/lionel-messi-hat-trick-argentina-algeria-world-cup
20;2026-06-17;Áustria 3-1 Jordânia;Ali Olwan;Jordânia;Gol histórico;Marcou o primeiro gol masculino da Jordânia em Copa.;https://rg.org/news/soccer/austria-vs-jordan-world-cup-2026-match-report
20;2026-06-17;Áustria 3-1 Jordânia;Yazan Al-Arab;Jordânia;Gol contra;Gol contra recolocou Áustria em vantagem.;https://rg.org/news/soccer/austria-vs-jordan-world-cup-2026-match-report
20;2026-06-17;Áustria 3-1 Jordânia;Marko Arnautović;Áustria;Gol de pênalti;Fechou o placar nos acréscimos.;https://rg.org/news/soccer/austria-vs-jordan-world-cup-2026-match-report
20;2026-06-17;Áustria 3-1 Jordânia;Romano Schmid;Áustria;Gol;Abriu o placar austríaco.;https://rg.org/news/soccer/austria-vs-jordan-world-cup-2026-match-report
21;2026-06-17;Portugal 1-1 RD do Congo;Cristiano Ronaldo;Portugal;Finalização abaixo;Teve chances de perto, mas não converteu.;https://www.aljazeera.com/sports/liveblog/2026/6/17/live-portugal-vs-dr-congo-fifa-world-cup-2026
21;2026-06-17;Portugal 1-1 RD do Congo;João Neves;Portugal;Gol;Marcou cedo para Portugal.;https://www.aljazeera.com/sports/liveblog/2026/6/17/live-portugal-vs-dr-congo-fifa-world-cup-2026
21;2026-06-17;Portugal 1-1 RD do Congo;Cédric Bakambu;RD do Congo;Chance importante;Acertou a trave e incomodou a defesa portuguesa.;https://www.aljazeera.com/sports/liveblog/2026/6/17/live-portugal-vs-dr-congo-fifa-world-cup-2026
21;2026-06-17;Portugal 1-1 RD do Congo;Yoane Wissa;RD do Congo;Gol histórico;Empatou nos acréscimos do primeiro tempo.;https://www.aljazeera.com/sports/liveblog/2026/6/17/live-portugal-vs-dr-congo-fifa-world-cup-2026
22;2026-06-17;Inglaterra 4-2 Croácia;Dominik Livaković;Croácia;Goleiro/Destaque rival;Fez grande partida apesar de sofrer quatro gols.;https://www.theguardian.com/football/2026/jun/17/england-croatia-player-ratings-world-cup-2026
22;2026-06-17;Inglaterra 4-2 Croácia;Harry Kane;Inglaterra;2 gols/MVP;Fez dois gols e recebeu a maior avaliação entre os ingleses.;https://www.theguardian.com/football/2026/jun/17/england-croatia-player-ratings-world-cup-2026
22;2026-06-17;Inglaterra 4-2 Croácia;Jude Bellingham;Inglaterra;Gol/recuperação;Errou em lance defensivo, mas compensou com belo gol.;https://www.theguardian.com/football/2026/jun/17/england-croatia-player-ratings-world-cup-2026
22;2026-06-17;Inglaterra 4-2 Croácia;Marcus Rashford;Inglaterra;Gol;Fechou o placar para a Inglaterra.;https://www.theguardian.com/football/2026/jun/17/england-croatia-player-ratings-world-cup-2026
22;2026-06-17;Inglaterra 4-2 Croácia;Noni Madueke;Inglaterra;Destaque ofensivo;Foi um dos melhores em progressão e desequilíbrio.;https://www.theguardian.com/football/2026/jun/17/england-croatia-player-ratings-world-cup-2026
23;2026-06-17;Gana 1-0 Panamá;Brandon Thomas-Asante;Gana;Assistência;Deu o cruzamento/passe para o gol decisivo.;https://www.theguardian.com/football/2026/jun/17/ghana-panama-world-cup-2026-match-report
23;2026-06-17;Gana 1-0 Panamá;Caleb Yirenkyi;Gana;Gol decisivo;Marcou aos 90+5 e decidiu a partida.;https://www.theguardian.com/football/2026/jun/17/ghana-panama-world-cup-2026-match-report
24;2026-06-17;Uzbequistão 1-3 Colômbia;Juan Camilo Hernández;Colômbia;Assistência/criação;Foi decisivo no lance final para Campaz.;https://www.theguardian.com/football/live/2026/jun/17/uzbekistan-v-colombia-world-cup-2026-live
24;2026-06-17;Uzbequistão 1-3 Colômbia;Jáminton Campaz;Colômbia;Gol;Fez gol no fim, após lance construído por Hernández.;https://www.theguardian.com/football/live/2026/jun/17/uzbekistan-v-colombia-world-cup-2026-live
24;2026-06-17;Uzbequistão 1-3 Colômbia;Luis Díaz;Colômbia;Gol + assistência;Marcou e criou outro gol colombiano.;https://www.theguardian.com/football/live/2026/jun/17/uzbekistan-v-colombia-world-cup-2026-live
25;2026-06-18;Tchéquia 1-1 África do Sul;Michal Sadílek;Tchéquia;Gol;Marcou cedo para a Tchéquia.;https://www.espn.com/soccer/report/_/gameId/773846
25;2026-06-18;Tchéquia 1-1 África do Sul;Patrik Schick;Tchéquia;Finalização abaixo;Teve chances, mas passou em branco.;https://www.espn.com/soccer/report/_/gameId/773846
25;2026-06-18;Tchéquia 1-1 África do Sul;Teboho Mokoena;África do Sul;Gol de pênalti;Converteu a penalidade do empate.;https://www.espn.com/soccer/report/_/gameId/773846
26;2026-06-18;Suíça 4-1 Bósnia e Herzegovina;H. Muharemović;Bósnia e Herzegovina;Cartão vermelho;Expulsão prejudicou a Bósnia na reta final.;https://www.espn.com/soccer/report/_/gameId/773847
26;2026-06-18;Suíça 4-1 Bósnia e Herzegovina;Mahmić;Bósnia e Herzegovina;Gol;Marcou o gol bósnio nos acréscimos.;https://www.espn.com/soccer/report/_/gameId/773847
26;2026-06-18;Suíça 4-1 Bósnia e Herzegovina;Granit Xhaka;Suíça;Gol de pênalti;Fechou o placar em cobrança de pênalti.;https://www.espn.com/soccer/report/_/gameId/773847
26;2026-06-18;Suíça 4-1 Bósnia e Herzegovina;Johan Manzambi;Suíça;2 gols/Destaque;Entrou e marcou duas vezes, incluindo voleio elogiado.;https://www.espn.com/soccer/report/_/gameId/773847
26;2026-06-18;Suíça 4-1 Bósnia e Herzegovina;Rubén Vargas;Suíça;Gol de banco;Entrou e marcou em impacto imediato.;https://www.espn.com/soccer/report/_/gameId/773847
27;2026-06-18;Canadá 6-0 Catar;Cyle Larin;Canadá;Gol;Também marcou na vitória ampla.;https://www.theguardian.com/football/2026/jun/18/canada-qatar-world-cup-2026-match-report
27;2026-06-18;Canadá 6-0 Catar;Ismaël Koné;Canadá;Lesão;Sofreu lesão grave/impactante citada nas reportagens.;https://www.theguardian.com/football/2026/jun/18/canada-qatar-world-cup-2026-match-report
27;2026-06-18;Canadá 6-0 Catar;Jonathan David;Canadá;Hat-trick/MVP;Fez três gols na goleada canadense.;https://www.theguardian.com/football/2026/jun/18/canada-qatar-world-cup-2026-match-report
27;2026-06-18;Canadá 6-0 Catar;Nathan Saliba;Canadá;Gol;Contribuiu para o placar histórico.;https://www.theguardian.com/football/2026/jun/18/canada-qatar-world-cup-2026-match-report
28;2026-06-18;México 1-0 República da Coreia;Julián Quiñones;México;Construção do gol;Cruzamento originou o lance de Romo.;https://www.theguardian.com/football/2026/jun/18/mexico-south-korea-world-cup-2026-match-report
28;2026-06-18;México 1-0 República da Coreia;Luis Romo;México;Gol decisivo;Aproveitou sobra após cruzamento e marcou o único gol.;https://www.theguardian.com/football/2026/jun/18/mexico-south-korea-world-cup-2026-match-report
28;2026-06-18;México 1-0 República da Coreia;Kim Seung-gyu;República da Coreia;Erro no lance do gol;Não segurou o cruzamento que gerou a sobra.;https://www.theguardian.com/football/2026/jun/18/mexico-south-korea-world-cup-2026-match-report
29;2026-06-19;Estados Unidos 2-0 Austrália;Cameron Burgess;Austrália;Gol contra;Abriu o placar contra a própria equipe.;https://www.theguardian.com/football/2026/jun/19/usa-australia-player-ratings-world-cup-2026
29;2026-06-19;Estados Unidos 2-0 Austrália;Patrick Beach;Austrália;Goleiro;Mesmo derrotado, teve atuação observada em avaliações.;https://www.theguardian.com/football/2026/jun/19/usa-australia-player-ratings-world-cup-2026
29;2026-06-19;Estados Unidos 2-0 Austrália;Alex Freeman;Estados Unidos;Gol/Destaque;Foi um dos melhores e marcou/participou do segundo gol.;https://www.theguardian.com/football/2026/jun/19/usa-australia-player-ratings-world-cup-2026
29;2026-06-19;Estados Unidos 2-0 Austrália;Folarin Balogun;Estados Unidos;Destaque ofensivo;Manteve nível alto de centroavante completo.;https://www.theguardian.com/football/2026/jun/19/usa-australia-player-ratings-world-cup-2026
30;2026-06-19;Escócia 0-1 Marrocos;Angus Gunn;Escócia;Goleiro/Destaque;Fez defesa importante contra Hakimi e evitou placar maior.;https://www.theguardian.com/football/2026/jun/19/scotland-morocco-world-cup-2026-match-report
30;2026-06-19;Escócia 0-1 Marrocos;Achraf Hakimi;Marrocos;Apoio ofensivo;Ameaçou pelo corredor e exigiu defesa de Gunn.;https://www.theguardian.com/football/2026/jun/19/scotland-morocco-world-cup-2026-match-report
30;2026-06-19;Escócia 0-1 Marrocos;Ismael Saibari;Marrocos;Gol decisivo;Marcou por volta de 72 segundos e decidiu o jogo.;https://www.theguardian.com/football/2026/jun/19/scotland-morocco-world-cup-2026-match-report
31;2026-06-19;Brasil 3-0 Haiti;Matheus Cunha;Brasil;2 gols/MVP;Marcou duas vezes e emergiu como destaque brasileiro.;https://www.busbybabe.com/2026/6/19/24448120/world-cup-2026-brazil-haiti-matheus-cunha
31;2026-06-19;Brasil 3-0 Haiti;Vinícius Jr.;Brasil;Gol;Fez o terceiro gol antes do intervalo.;https://www.busbybabe.com/2026/6/19/24448120/world-cup-2026-brazil-haiti-matheus-cunha
32;2026-06-20;Turquia 0-1 Paraguai;Matías Galarza;Paraguai;Gol decisivo;Marcou nos primeiros segundos/minutos e decidiu a partida.;https://www.theguardian.com/football/2026/jun/20/turkey-paraguay-world-cup-2026-match-report
32;2026-06-20;Turquia 0-1 Paraguai;Miguel Almirón;Paraguai;Cartão vermelho;Expulsão deixou Paraguai com um a menos.;https://www.theguardian.com/football/2026/jun/20/turkey-paraguay-world-cup-2026-match-report
32;2026-06-20;Turquia 0-1 Paraguai;Arda Güler;Turquia;Criação;Liderou volume de cruzamentos/tentativas turcas.;https://www.theguardian.com/football/2026/jun/20/turkey-paraguay-world-cup-2026-match-report
33;2026-06-20;Holanda 5-1 Suécia;Brian Brobbey;Holanda;2 gols;Marcou duas vezes rapidamente.;https://www.reuters.com/sports/soccer/netherlands-thrash-sweden-5-1-world-cup-2026-2026-06-20/
33;2026-06-20;Holanda 5-1 Suécia;Cody Gakpo;Holanda;2 gols;Fez dois gols no segundo tempo.;https://www.reuters.com/sports/soccer/netherlands-thrash-sweden-5-1-world-cup-2026-2026-06-20/
33;2026-06-20;Holanda 5-1 Suécia;Crysencio Summerville;Holanda;Gol;Fez o quinto gol holandês.;https://www.reuters.com/sports/soccer/netherlands-thrash-sweden-5-1-world-cup-2026-2026-06-20/
33;2026-06-20;Holanda 5-1 Suécia;Denzel Dumfries;Holanda;2 assistências/Destaque;Foi forte em apoio e também defensivamente.;https://www.reuters.com/sports/soccer/netherlands-thrash-sweden-5-1-world-cup-2026-2026-06-20/
33;2026-06-20;Holanda 5-1 Suécia;Anthony Elanga;Suécia;Gol;Marcou o gol de consolação sueco.;https://www.reuters.com/sports/soccer/netherlands-thrash-sweden-5-1-world-cup-2026-2026-06-20/
34;2026-06-20;Alemanha 2-1 Costa do Marfim;Deniz Undav;Alemanha;2 gols de banco/MVP;Virou o jogo com gols aos 68 e nos acréscimos.;https://www.reuters.com/sports/soccer/germany-beat-ivory-coast-2-1-world-cup-2026-2026-06-20/
34;2026-06-20;Alemanha 2-1 Costa do Marfim;Franck Kessié;Costa do Marfim;Gol;Abriu o placar aproveitando rebote.;https://www.reuters.com/sports/soccer/germany-beat-ivory-coast-2-1-world-cup-2026-2026-06-20/
35;2026-06-20;Equador 0-0 Curaçao;Eloy Room;Curaçao;Goleiro/MVP;Fez 15 defesas e garantiu o primeiro ponto de Curaçao.;https://www.theguardian.com/football/2026/jun/20/ecuador-curacao-world-cup-2026-match-report
36;2026-06-21;Tunísia 0-4 Japão;Ayase Ueda;Japão;2 gols/MVP;Marcou duas vezes na goleada.;https://www.theguardian.com/football/2026/jun/21/tunisia-japan-world-cup-2026-match-report
36;2026-06-21;Tunísia 0-4 Japão;Daichi Kamada;Japão;Gol cedo;Fez um dos gols mais rápidos do Japão em Copas.;https://www.theguardian.com/football/2026/jun/21/tunisia-japan-world-cup-2026-match-report
36;2026-06-21;Tunísia 0-4 Japão;Junya Ito;Japão;Gol;Marcou após jogada trabalhada/flick de Ueda.;https://www.theguardian.com/football/2026/jun/21/tunisia-japan-world-cup-2026-match-report
37;2026-06-21;Espanha 4-0 Arábia Saudita;Altambakti;Arábia Saudita;Gol contra;Foi creditado com gol contra.;https://www.theguardian.com/football/2026/jun/21/spain-saudi-arabia-world-cup-2026-match-report
37;2026-06-21;Espanha 4-0 Arábia Saudita;Lamine Yamal;Espanha;Gol;Abriu o placar aos 10 minutos.;https://www.theguardian.com/football/2026/jun/21/spain-saudi-arabia-world-cup-2026-match-report
37;2026-06-21;Espanha 4-0 Arábia Saudita;Marc Cucurella;Espanha;Forçou gol contra;Gerou o lance do quarto gol espanhol.;https://www.theguardian.com/football/2026/jun/21/spain-saudi-arabia-world-cup-2026-match-report
37;2026-06-21;Espanha 4-0 Arábia Saudita;Mikel Oyarzabal;Espanha;2 gols + assistência;Assistiu Yamal e marcou duas vezes.;https://www.theguardian.com/football/2026/jun/21/spain-saudi-arabia-world-cup-2026-match-report
38;2026-06-21;Bélgica 0-0 Irã;Thibaut Courtois;Bélgica;Marca histórica;Igualou recorde belga de jogos em Copa.;https://www.espn.com/soccer/report/_/gameId/773866
38;2026-06-21;Bélgica 0-0 Irã;Alireza Beiranvand;Irã;Goleiro/MVP;Fez sete defesas e sustentou o empate.;https://www.espn.com/soccer/report/_/gameId/773866
39;2026-06-21;Uruguai 2-2 Cabo Verde;Hélio Varela;Cabo Verde;Gol;Empatou após erro defensivo uruguaio.;https://www.reuters.com/sports/soccer/cape-verde-hold-uruguay-2-2-world-cup-2026-2026-06-21/
39;2026-06-21;Uruguai 2-2 Cabo Verde;Kevin Pina;Cabo Verde;Gol histórico;Marcou o primeiro gol de Cabo Verde em Copas, de falta longa.;https://www.reuters.com/sports/soccer/cape-verde-hold-uruguay-2-2-world-cup-2026-2026-06-21/
39;2026-06-21;Uruguai 2-2 Cabo Verde;Agustín Canobbio;Uruguai;Gol;Virou/colocou Uruguai em vantagem.;https://www.reuters.com/sports/soccer/cape-verde-hold-uruguay-2-2-world-cup-2026-2026-06-21/
