data;dia_semana;fase;time_1;gols_time_1;gols_time_2;time_2;placar;status;fonte
2026-06-15;Segunda-feira;Fase de grupos;Espanha;0;0;Cabo Verde;Espanha 0 x 0 Cabo Verde;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-15;Segunda-feira;Fase de grupos;Bélgica;1;1;Egito;Bélgica 1 x 1 Egito;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-15;Segunda-feira;Fase de grupos;Arábia Saudita;1;1;Uruguai;Arábia Saudita 1 x 1 Uruguai;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-15;Segunda-feira;Fase de grupos;Irã;2;2;Nova Zelândia;Irã 2 x 2 Nova Zelândia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-16;Terça-feira;Fase de grupos;França;3;1;Senegal;França 3 x 1 Senegal;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-16;Terça-feira;Fase de grupos;Iraque;1;4;Noruega;Iraque 1 x 4 Noruega;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-16;Terça-feira;Fase de grupos;Argentina;3;0;Argélia;Argentina 3 x 0 Argélia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-17;Quarta-feira;Fase de grupos;Áustria;3;1;Jordânia;Áustria 3 x 1 Jordânia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-17;Quarta-feira;Fase de grupos;Portugal;1;1;RD do Congo;Portugal 1 x 1 RD do Congo;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-17;Quarta-feira;Fase de grupos;Inglaterra;4;2;Croácia;Inglaterra 4 x 2 Croácia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-17;Quarta-feira;Fase de grupos;Gana;1;0;Panamá;Gana 1 x 0 Panamá;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-17;Quarta-feira;Fase de grupos;Uzbequistão;1;3;Colômbia;Uzbequistão 1 x 3 Colômbia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-18;Quinta-feira;Fase de grupos;Tchéquia;1;1;África do Sul;Tchéquia 1 x 1 África do Sul;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-18;Quinta-feira;Fase de grupos;Suíça;4;1;Bósnia e Herzegovina;Suíça 4 x 1 Bósnia e Herzegovina;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-18;Quinta-feira;Fase de grupos;Canadá;6;0;Catar;Canadá 6 x 0 Catar;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-18;Quinta-feira;Fase de grupos;México;1;0;República da Coreia;México 1 x 0 República da Coreia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-19;Sexta-feira;Fase de grupos;Estados Unidos;2;0;Austrália;Estados Unidos 2 x 0 Austrália;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-19;Sexta-feira;Fase de grupos;Escócia;0;1;Marrocos;Escócia 0 x 1 Marrocos;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-19;Sexta-feira;Fase de grupos;Brasil;3;0;Haiti;Brasil 3 x 0 Haiti;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-20;Sábado;Fase de grupos;Turquia;0;1;Paraguai;Turquia 0 x 1 Paraguai;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-20;Sábado;Fase de grupos;Holanda;5;1;Suécia;Holanda 5 x 1 Suécia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-20;Sábado;Fase de grupos;Alemanha;2;1;Costa do Marfim;Alemanha 2 x 1 Costa do Marfim;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-20;Sábado;Fase de grupos;Equador;0;0;Curaçao;Equador 0 x 0 Curaçao;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-21;Domingo;Fase de grupos;Tunísia;0;4;Japão;Tunísia 0 x 4 Japão;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-21;Domingo;Fase de grupos;Espanha;4;0;Arábia Saudita;Espanha 4 x 0 Arábia Saudita;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-21;Domingo;Fase de grupos;Bélgica;0;0;Irã;Bélgica 0 x 0 Irã;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-21;Domingo;Fase de grupos;Uruguai;2;2;Cabo Verde;Uruguai 2 x 2 Cabo Verde;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-21;Domingo;Fase de grupos;Nova Zelândia;1;3;Egito;Nova Zelândia 1 x 3 Egito;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-22;Segunda-feira;Fase de grupos;Argentina;2;0;Áustria;Argentina 2 x 0 Áustria;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-22;Segunda-feira;Fase de grupos;França;3;0;Iraque;França 3 x 0 Iraque;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-22;Segunda-feira;Fase de grupos;Noruega;3;2;Senegal;Noruega 3 x 2 Senegal;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-23;Terça-feira;Fase de grupos;Jordânia;1;2;Argélia;Jordânia 1 x 2 Argélia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-23;Terça-feira;Fase de grupos;Portugal;5;0;Uzbequistão;Portugal 5 x 0 Uzbequistão;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-23;Terça-feira;Fase de grupos;Inglaterra;0;0;Gana;Inglaterra 0 x 0 Gana;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-23;Terça-feira;Fase de grupos;Panamá;0;1;Croácia;Panamá 0 x 1 Croácia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-23;Terça-feira;Fase de grupos;Colômbia;1;0;RD do Congo;Colômbia 1 x 0 RD do Congo;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-24;Quarta-feira;Fase de grupos;Suíça;2;1;Canadá;Suíça 2 x 1 Canadá;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-24;Quarta-feira;Fase de grupos;Bósnia e Herzegovina;3;1;Catar;Bósnia e Herzegovina 3 x 1 Catar;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-24;Quarta-feira;Fase de grupos;Escócia;0;3;Brasil;Escócia 0 x 3 Brasil;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-24;Quarta-feira;Fase de grupos;Marrocos;4;2;Haiti;Marrocos 4 x 2 Haiti;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-24;Quarta-feira;Fase de grupos;República Tcheca;0;3;México;República Tcheca 0 x 3 México;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-24;Quarta-feira;Fase de grupos;África do Sul;1;0;República da Coreia;África do Sul 1 x 0 República da Coreia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-25;Quinta-feira;Fase de grupos;Curaçao;0;2;Costa do Marfim;Curaçao 0 x 2 Costa do Marfim;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-25;Quinta-feira;Fase de grupos;Equador;2;1;Alemanha;Equador 2 x 1 Alemanha;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-25;Quinta-feira;Fase de grupos;Japão;1;1;Suécia;Japão 1 x 1 Suécia;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-25;Quinta-feira;Fase de grupos;Tunísia;1;3;Holanda;Tunísia 1 x 3 Holanda;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-25;Quinta-feira;Fase de grupos;Turquia;3;2;Estados Unidos;Turquia 3 x 2 Estados Unidos;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
2026-06-25;Quinta-feira;Fase de grupos;Paraguai;0;0;Austrália;Paraguai 0 x 0 Austrália;Finalizado;https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/
