match_id,team1,team2,stadium,city,country,weather_forecast,travel_distance_team1_km,travel_distance_team2_km,timezone_adjustment_team1_hours,timezone_adjustment_team2_hours,rest_days_team1,rest_days_team2,snapshot_at,source_dataset
78,Costa do Marfim,Noruega,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
79,México,Equador,Estadio Azteca,Mexico City,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
80,Inglaterra,RD Congo,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
81,Estados Unidos,Bósnia e Herzegovina,Levi's Stadium,San Francisco Bay Area,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
82,Bélgica,Senegal,Lumen Field,Seattle,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
83,Portugal,Croácia,BMO Field,Toronto,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
84,Espanha,Áustria,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
85,Suíça,Argélia,BC Place,Vancouver,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
86,Argentina,Cabo Verde,Hard Rock Stadium,Miami,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
87,Colômbia,Gana,Arrowhead Stadium,Kansas City,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
88,Austrália,Egito,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
89,Paraguai,França,Lincoln Financial Field,Philadelphia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
90,Canadá,Marrocos,NRG Stadium,Houston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
91,Brasil,Noruega,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
92,México,Inglaterra,Estadio Azteca,Mexico City,México,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
93,Portugal,Espanha,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
94,Estados Unidos,Bélgica,Lumen Field,Seattle,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
95,Argentina,Egito,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
96,Suíça,Colômbia,BC Place,Vancouver,Canadá,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
97,França,Marrocos,Gillette Stadium,Boston,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
98,Espanha,Bélgica,SoFi Stadium,Los Angeles,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
99,Noruega,Inglaterra,Hard Rock Stadium,Miami,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
100,Argentina,Suíça,Arrowhead Stadium,Kansas City,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
101,França,Espanha,AT&T Stadium,Dallas,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
102,Inglaterra,Argentina,Mercedes-Benz Stadium,Atlanta,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
103,França,Inglaterra,Hard Rock Stadium,Miami,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
104,Espanha,Argentina,MetLife Stadium,New York/New Jersey,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,2026-06-11T03:59:59+00:00,data/matches.csv
