team,snapshot_at,temporal_status,fifa_ranking,fifa_points,recent_matches,recent_points_per_match,qualifying_performance,recent_goals_for,recent_goals_against,source_dataset,ranking_source,recent_form_source,coach,tactical_style,base_system,initial_strength_proxy,attack_proxy,midfield_proxy,defense_proxy,goalkeeper_proxy,experience_proxy,possession_proxy,pressing_proxy,intensity_proxy
Egito,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,HOSSAM HASSAN,"verticalidade, Salah como foco e bloco competitivo",4-3-3 / 4-2-3-1,59.4,4.79,5.1,4.83,4.95,8.16,5.0,5.0,6.8
Equador,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,BECCACECE Sebastian,"pressão, intensidade e laterais altos",4-3-3 / 3-4-3,61.9,4.64,5.41,5.66,4.83,8.03,6.8,8.0,9.0
Escócia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,CLARKE Steve,"linha de 5, intensidade e bola parada",3-4-2-1 / 5-4-1,68.9,5.17,7.17,5.92,6.43,8.53,4.0,5.0,8.0
Espanha,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,DE LA FUENTE Luis,"posse, pressão pós-perda e amplitude",4-3-3,68.9,5.79,7.41,4.93,6.57,7.91,9.0,8.0,8.0
Estados Unidos,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,POCHETTINO Mauricio,"pressão, energia e 4-2-3-1 agressivo",4-2-3-1,71.0,5.97,6.88,6.17,5.73,8.51,6.8,8.0,8.0
França,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,DESCHAMPS Didier,"pragmatismo, transição e superioridade física",4-2-3-1 / 4-3-3,63.8,5.4,6.13,5.27,5.77,8.07,5.0,5.0,8.0
Gana,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,CARLOS QUEIROZ,"bloco baixo, disciplina defensiva e contra-ataque",4-3-3 / 4-5-1,56.1,4.56,5.63,4.51,4.93,7.35,4.0,4.0,6.8
Haiti,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,MIGNE Sebastien,"bloco baixo, luta física e transições",4-4-2 / 5-4-1,59.2,4.89,4.36,5.03,6.7,7.61,3.0,3.0,8.0
Inglaterra,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,TUCHEL Thomas,"controle, pressão em momentos e qualidade entrelinhas",4-2-3-1 / 3-4-2-1,67.2,5.49,6.29,5.06,6.5,8.17,8.0,6.8,8.0
Iraque,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,ARNOLD Graham,"organização, jogo direto e competitividade",4-2-3-1 / 4-4-2,57.5,4.55,5.04,4.73,5.73,8.15,4.0,5.0,6.8
Irã,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,GHALEHNOY Amir,"defesa compacta, jogo físico e bola parada",4-2-3-1,64.1,4.62,6.1,5.51,5.57,8.91,4.0,3.0,5.0
Japão,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,MORIYASU Hajime,"adaptação, intensidade e transição técnica",4-2-3-1 / 3-4-2-1,67.6,5.08,7.34,5.26,5.23,8.13,6.8,6.8,8.0
Jordânia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,SELLAMI Jamal,bloco compacto e transição,3-4-3 / 5-4-1,60.2,4.55,5.11,4.94,5.5,8.69,3.0,4.0,8.0
Marrocos,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,OUAHBI Mohamed,organização defensiva e contra-ataque,4-3-3 / 4-1-4-1,63.5,4.61,5.81,5.18,6.23,7.85,5.0,5.0,8.0
México,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,AGUIRRE Javier,"pragmático, competitivo, transição e bola parada",4-3-3 / 4-2-3-1,67.9,5.01,5.78,6.61,5.93,9.02,5.0,6.8,8.0
Noruega,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,SOLBAKKEN Stale,"verticalidade, jogo para Haaland e força aérea",4-3-3 / 4-4-2,64.3,5.05,5.94,5.31,6.27,8.08,5.0,5.0,6.8
Nova Zelândia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,BAZELEY Darren,bloco baixo/médio e bola aérea,4-4-2 / 5-4-1,59.9,4.62,5.66,5.19,4.93,8.16,3.0,3.0,5.0
Panamá,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,CHRISTIANSEN Thomas,"5-4-1, bloco baixo e contra-ataque",5-4-1,69.2,5.12,7.3,6.11,5.83,9.51,3.0,3.0,8.0
Paraguai,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,ALFARO Gustavo,"bloco baixo/médio, duelos e jogo reativo",4-4-2 / 4-2-3-1,59.7,4.33,5.89,5.32,4.6,7.8,4.0,5.0,8.0
Países Baixos,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,KOEMAN Ronald,construção controlada e variação com linha de 3,3-4-2-1 / 4-3-3,69.1,5.51,6.08,6.19,5.6,8.27,8.0,6.8,6.8
Portugal,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,MARTINEZ Roberto,"posse, amplitude e talento associativo",4-3-3 / 3-4-3,71.1,5.87,7.32,5.96,5.53,8.88,8.0,6.8,8.0
RD Congo,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,DESABRE Sebastien,transição atlética e organização defensiva,4-2-3-1 / 4-3-3,61.0,4.76,5.59,5.3,4.93,8.05,4.0,5.0,8.0
Senegal,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,THIAW Pape,"potência, transição e bloco atlético",4-3-3 / 4-2-3-1,66.0,5.39,6.47,5.22,5.87,8.59,5.0,6.8,8.0
Suécia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,POTTER Graham,"flexibilidade, construção e ocupação racional",3-4-2-1 / 4-2-3-1,58.8,4.82,5.51,4.66,5.2,7.21,6.8,5.0,5.0
Suíça,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,YAKIN Murat,"sistema flexível, bloco médio e eficiência",3-4-2-1 / 4-2-3-1,70.1,5.6,6.66,5.81,5.43,8.86,5.0,5.0,6.8
Tchéquia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,KOUBEK Miroslav,"jogo físico, direto e forte em bolas paradas",3-4-3 / 4-2-3-1,61.8,4.99,5.74,5.34,5.1,7.9,4.0,5.0,8.0
Tunísia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,RENARD Herve,"bloco compacto, físico e contra-ataque",4-4-2 / 5-4-1,56.1,4.09,5.35,4.73,4.77,7.45,3.0,4.0,6.8
Turquia,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,MONTELLA Vincenzo,posse vertical e talento entrelinhas,4-2-3-1 / 4-3-3,69.0,5.31,7.04,6.39,6.1,8.53,6.8,6.8,8.0
Uruguai,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,BIELSA Marcelo,"pressão homem a homem, ritmo alto e verticalidade",4-3-3 / 4-2-3-1,66.3,4.74,6.52,5.69,6.4,8.39,5.0,8.0,9.0
Uzbequistão,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,CANNAVARO Fabio,organização defensiva e transição cautelosa,4-2-3-1 / 5-4-1,59.9,4.63,5.88,4.66,4.77,8.46,4.0,4.0,5.0
África do Sul,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,BROOS Hugo,bloco compacto e contra-ataque,4-2-3-1,59.3,4.91,6.72,4.4,5.33,7.22,4.0,5.0,8.0
Áustria,2026-06-11T03:59:59+00:00,BACKFILLED_PRE_TOURNAMENT_FACT,NA,NA,NA,NA,NA,NA,NA,data/database/team_strengths.csv,NA,NA,RANGNICK Ralf,"gegenpressing, verticalidade e pressão constante",4-2-2-2 / 4-2-3-1,67.6,4.98,6.5,5.5,5.37,8.57,5.0,8.0,9.0
