selecao,grupo,codigo,tecnico,estilo_tecnico,sistema_base,forca_modelo_0_100,jogadores,liga_media,liga_top11,desempenho_proxy_medio,desempenho_top18,citacoes_jogadores,impacto_jogadores_copa,jogos_reais,impacto_resultado_anterior,ajuste_acumulado,competitividade_liga_0_100,desempenho_jogadores_0_100,momentum_data_0_100,ajuste_aprendizado_0_100,forca_contextual_0_100,explicacao_peso
Japão,F,JPN,MORIYASU Hajime,"adaptação, intensidade e transição técnica",4-2-3-1 / 3-4-2-1,67.6,26,8.611538461538462,9.60909090909091,6.176923076923076,6.994111111111111,8.0,10.1,3,2.4261226388505337,-0.135,96.1,69.9,64.6,49.3,71.9,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Canadá,B,CAN,MARSCH Jesse,"pressão alta, verticalidade e transição rápida",4-2-3-1 / 3-4-3,67.0,26,8.319230769230769,9.718181818181819,6.226923076923077,6.8662777777777775,8.0,10.1,3,1.8772430316253477,1.35,97.2,68.7,61.3,56.8,71.8,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Colômbia,K,COL,LORENZO Nestor,"equilíbrio, lado forte ofensivo e transição",4-2-3-1 / 4-3-3,67.8,26,8.461538461538462,9.427272727272728,6.3076923076923075,7.0120000000000005,5.0,7.1000000000000005,2,1.5539575401629162,0.36,94.3,70.1,59.3,51.8,71.2,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
México,A,MEX,AGUIRRE Javier,"pragmático, competitivo, transição e bola parada",4-3-3 / 4-2-3-1,67.9,26,7.638461538461538,8.609090909090908,6.384615384615385,6.826166666666666,7.0,8.2,3,3.351781543648027,1.485,86.1,68.3,70.1,57.4,71.0,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Croácia,L,CRO,DALIC Zlatko,"controle de meio, experiência e ritmo cadenciado",4-3-3,68.2,26,8.811538461538461,9.718181818181819,6.361538461538462,7.187833333333334,4.0,6.4,2,-0.07232109879948034,-1.26,97.2,71.9,49.6,43.7,70.5,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Marrocos,C,MAR,OUAHBI Mohamed,organização defensiva e contra-ataque,4-3-3 / 4-1-4-1,63.5,26,8.515384615384615,9.70909090909091,5.723076923076923,6.6658333333333335,7.0,8.5,3,2.1340468099473733,1.755,97.1,66.7,62.8,58.8,70.3,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Áustria,J,AUT,RANGNICK Ralf,"gegenpressing, verticalidade e pressão constante",4-2-2-2 / 4-2-3-1,67.6,26,8.873076923076923,9.6,6.2846153846153845,7.187722222222222,2.0,2.0,2,-0.5275007725900804,0.0,96.0,71.9,46.8,50.0,70.2,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Escócia,C,SCO,CLARKE Steve,"linha de 5, intensidade e bola parada",3-4-2-1 / 5-4-1,68.9,26,8.7,10.0,6.273076923076923,7.11138888888889,2.0,3.5,3,-2.6802457699913425,-0.9,100.0,71.1,33.9,45.5,69.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Turquia,D,TUR,MONTELLA Vincenzo,posse vertical e talento entrelinhas,4-2-3-1 / 4-3-3,69.0,26,8.546153846153846,9.363636363636363,6.4192307692307695,6.945166666666666,5.0,6.800000000000001,3,-0.24636264188247115,-1.485,93.6,69.5,48.5,42.6,69.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Costa do Marfim,E,CIV,FAE Emerse,"força física, transição e ataques pelos lados",4-3-3,63.2,26,8.580769230769231,9.545454545454545,5.788461538461538,6.607833333333334,3.0,4.2,3,1.5620574118900947,1.395,95.5,66.1,59.4,57.0,69.2,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Noruega,I,NOR,SOLBAKKEN Stale,"verticalidade, jogo para Haaland e força aérea",4-3-3 / 4-4-2,64.3,26,9.161538461538461,9.963636363636363,6.107692307692308,7.0205,7.0,10.9,3,-1.2260416304500337,-0.0,99.6,70.2,42.6,50.0,68.7,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Uruguai,H,URU,BIELSA Marcelo,"pressão homem a homem, ritmo alto e verticalidade",4-3-3 / 4-2-3-1,66.3,26,8.430769230769231,9.436363636363636,6.2153846153846155,6.826333333333333,11.0,13.200000000000001,3,-1.0,-0.81,94.4,68.3,44.0,46.0,68.0,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Argélia,J,ALG,PETKOVIC Vladimir,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,64.8,26,8.111538461538462,9.418181818181818,6.2153846153846155,6.735444444444444,4.0,4.6,2,-0.3628201028326091,-0.45,94.2,67.4,47.8,47.8,67.7,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Coreia do Sul,A,KOR,HONG Myungbo,"intensidade, velocidade e jogo pelos lados",4-2-3-1,67.4,26,7.634615384615385,8.981818181818182,6.157692307692307,6.811333333333334,0.0,0.0,3,-1.0449295570467736,-0.81,89.8,68.1,43.7,46.0,67.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
RD Congo,K,COD,DESABRE Sebastien,transição atlética e organização defensiva,4-2-3-1 / 4-3-3,61.0,26,8.134615384615385,9.672727272727274,5.703846153846154,6.462555555555555,0.0,0.0,2,-0.7408182206817179,0.45,96.7,64.6,45.6,52.2,66.2,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Suécia,F,SWE,POTTER Graham,"flexibilidade, construção e ocupação racional",3-4-2-1 / 4-2-3-1,58.8,26,8.973076923076924,9.981818181818182,5.373076923076923,6.4175555555555555,6.0,7.800000000000001,3,-0.990469696727297,0.81,99.8,64.2,44.1,54.0,65.8,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Equador,E,ECU,BECCACECE Sebastian,"pressão, intensidade e laterais altos",4-3-3 / 3-4-3,61.9,26,8.165384615384616,9.100000000000001,5.765384615384615,6.540611111111111,5.0,6.2,3,0.6036432061237573,-1.485,91.0,65.4,53.6,42.6,65.8,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Panamá,L,PAN,CHRISTIANSEN Thomas,"5-4-1, bloco baixo e contra-ataque",5-4-1,69.2,26,6.788461538461538,7.590909090909091,6.573076923076924,6.828666666666666,0.0,0.0,2,-1.147387880422317,-0.36,75.9,68.3,43.1,48.2,65.6,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Austrália,D,AUS,POPOVIC Tony,"organização, força física e jogo direto",4-4-2 / 4-2-3-1,60.9,26,7.907692307692309,9.472727272727274,5.461538461538462,6.3581666666666665,10.0,13.5,3,-0.3907821837584148,-0.36,94.7,63.6,47.7,48.2,65.5,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Gana,L,GHA,CARLOS QUEIROZ,"bloco baixo, disciplina defensiva e contra-ataque",4-3-3 / 4-5-1,56.1,26,8.473076923076924,9.736363636363636,5.107692307692308,6.1467222222222215,5.0,8.0,2,0.4065696597405991,1.17,97.4,61.5,52.4,55.8,64.9,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Paraguai,D,PAR,ALFARO Gustavo,"bloco baixo/médio, duelos e jogo reativo",4-4-2 / 4-2-3-1,59.7,26,7.953846153846153,8.872727272727273,5.56923076923077,6.228555555555555,5.0,4.3,3,-0.1909792557307931,1.395,88.7,62.3,48.9,57.0,64.5,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Tchéquia,A,CZE,KOUBEK Miroslav,"jogo físico, direto e forte em bolas paradas",3-4-3 / 4-2-3-1,61.8,26,7.738461538461539,8.881818181818183,5.811538461538461,6.397555555555556,3.0,1.7,3,-2.6793224193823755,0.135,88.8,64.0,33.9,50.7,63.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Cabo Verde,H,CPV,BUBISTA,"organização, transição e agressividade física",4-3-3 / 4-2-3-1,59.3,26,7.342307692307693,8.518181818181818,5.676923076923076,6.082944444444444,8.0,10.9,3,0.0,1.305,85.2,60.8,50.0,56.5,63.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Bósnia e Herzegovina,B,BIH,BARBAREZ Sergej,"jogo direto, experiência e cruzamentos",4-2-3-1,55.0,26,7.8730769230769235,9.42727272727273,5.184615384615385,6.043555555555556,6.0,5.9,3,0.28947461380429895,0.72,94.3,60.4,51.7,53.6,63.3,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Nova Zelândia,G,NZL,BAZELEY Darren,bloco baixo/médio e bola aérea,4-4-2 / 5-4-1,59.9,26,7.138461538461538,8.790909090909091,5.68076923076923,6.278666666666667,3.0,3.6,2,-1.2130613194252668,0.36,87.9,62.8,42.7,51.8,63.3,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Egito,G,EGY,HOSSAM HASSAN,"verticalidade, Salah como foco e bloco competitivo",4-3-3 / 4-2-3-1,59.4,26,6.9423076923076925,7.954545454545456,5.4423076923076925,5.976,5.0,5.6,2,1.2130613194252668,-0.36,79.5,59.8,57.3,48.2,62.3,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Haiti,C,HAI,MIGNE Sebastien,"bloco baixo, luta física e transições",4-4-2 / 5-4-1,59.2,26,7.796153846153847,9.036363636363637,5.403846153846154,6.245722222222222,1.0,1.0,3,-3.399749210564205,-0.945,90.4,62.5,29.6,45.3,61.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Irã,G,IRN,GHALEHNOY Amir,"defesa compacta, jogo físico e bola parada",4-2-3-1,64.1,26,6.338461538461539,6.527272727272728,5.81923076923077,6.238444444444445,3.0,3.9000000000000004,2,0.0,-0.36,65.3,62.4,50.0,48.2,61.1,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Catar,B,QAT,LOPETEGUI Julen,"posse, saída curta e controle territorial",4-3-3 / 4-2-3-1,66.6,26,7.011538461538462,7.163636363636366,5.880769230769231,6.714833333333333,3.0,3.0,3,-4.333435290859293,-1.71,71.6,67.1,24.0,41.4,60.6,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Curaçao,E,CUW,ADVOCAAT Dick,"pragmatismo, bloco compacto e experiência",4-2-3-1 / 5-4-1,59.5,26,8.061538461538461,8.836363636363638,5.507692307692308,6.094277777777778,2.0,2.9000000000000004,3,-3.6168401075451317,-1.485,88.4,60.9,28.3,42.6,60.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Arábia Saudita,H,KSA,DONIS Georgios,"intensidade, meio-campo técnico e transição",4-3-3 / 4-2-3-1,63.4,26,7.269230769230769,7.363636363636365,5.742307692307692,6.274944444444444,6.0,8.700000000000001,3,-2.4261226388505337,-1.17,73.6,62.7,35.4,44.2,60.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
África do Sul,A,RSA,BROOS Hugo,bloco compacto e contra-ataque,4-2-3-1,59.3,26,6.619230769230769,7.327272727272725,5.230769230769231,5.5489999999999995,4.0,3.3,3,0.3724704327811222,-0.81,73.3,55.5,52.2,46.0,59.5,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Tunísia,F,TUN,RENARD Herve,"bloco compacto, físico e contra-ataque",4-4-2 / 5-4-1,56.1,26,7.5,9.181818181818182,5.092307692307693,5.902833333333334,1.0,-0.30000000000000004,3,-5.440574322571262,-1.935,91.8,59.0,17.4,40.3,57.9,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Jordânia,J,JOR,SELLAMI Jamal,bloco compacto e transição,3-4-3 / 5-4-1,60.2,26,6.0307692307692315,6.672727272727273,5.407692307692307,5.887666666666666,3.0,3.0,2,-1.5539575401629162,-0.585,66.7,58.9,40.7,47.1,57.9,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Uzbequistão,K,UZB,CANNAVARO Fabio,organização defensiva e transição cautelosa,4-2-3-1 / 5-4-1,59.9,26,6.176923076923076,6.827272727272728,5.546153846153846,5.899111111111112,0.0,0.0,2,-4.517230422889788,-2.07,68.3,59.0,22.9,39.6,55.4,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
Iraque,I,IRQ,ARNOLD Graham,"organização, jogo direto e competitividade",4-2-3-1 / 4-4-2,57.5,26,6.5307692307692315,7.3909090909090915,5.238461538461538,5.704666666666666,3.0,1.6,3,-8.114598461621245,-2.745,73.9,57.0,1.3,36.3,52.2,"base 42%, campeonato 20%, jogadores 18%, data/momentum 12%, correção 8%"
