jogo;data;fase;equipe1;equipe2;placar_real;selecao;adversario;xg_pro;xg_contra;posse_pct;finalizacoes;finalizacoes_contra;finalizacoes_alvo;finalizacoes_alvo_contra;grandes_chances;grandes_chances_contra;toques_area;toques_area_contra;entradas_terco_final;entradas_terco_final_contra;passes_certos;passes_total;cruzamentos_certos;cruzamentos_total;duelos_aereos_ganhos;duelos_aereos_total;recuperacoes;clearances;interceptacoes;erros_gol;jogador_destaque;rating_sofascore;tipo_desempenho;detalhe_pesquisado;fonte;escopo_dado;gp;gf;ga;xg_total;gols_acima_xg;indice_desempenho_geral;impacto_modelo
59;2026-06-25;Fase de grupos;Turquia;Estados Unidos;3-2;Estados Unidos;Agregado fase de grupos;3.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Folarin Balogun / Christian Pulisic;NA;agregado_fase_grupos_contra_pressao_forte;Fase de grupos: 6 pts, 8-4 gols, saldo 4, xG 3.8, gols acima do xG 4.2, indice geral 72.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;8;4;3.8;4.2;72.33;0.883
51;2026-06-24;Fase de grupos;Suíça;Canadá;2-1;Canadá;Agregado fase de grupos;6.98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Jonathan David / Stephen Eustáquio;NA;agregado_fase_grupos_contra_pressao_forte;Fase de grupos: 4 pts, 8-3 gols, saldo 5, xG 6.98, gols acima do xG 1.02, indice geral 71.2.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;8;3;6.98;1.02;71.2;0.754
61;2026-06-26;Fase de grupos;Noruega;França;1-4;Noruega;Agregado fase de grupos;5.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Erling Haaland / Strand Larsen;NA;agregado_fase_grupos_xg_acima_do_placar;Fase de grupos: 6 pts, 8-7 gols, saldo 1, xG 5.5, gols acima do xG 2.5, indice geral 70.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;8;7;5.5;2.5;70.67;0.751
71;2026-06-27;Fase de grupos;Colômbia;Portugal;0-0;Colômbia;Agregado fase de grupos;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_forte;Fase de grupos: 7 pts, 4-1 gols, saldo 3, xG 3.6, gols acima do xG 0.4, indice geral 69.83.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;4;1;3.6;0.4;69.83;0.843
64;2026-06-26;Fase de grupos;Nova Zelândia;Bélgica;1-5;Bélgica;Agregado fase de grupos;5.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Leandro Trossard;NA;agregado_fase_grupos_alto_volume_finalizacoes;Fase de grupos: 5 pts, 6-2 gols, saldo 4, xG 5.8, gols acima do xG 0.2, indice geral 69.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;6;2;5.8;0.2;69.67;0.733
71;2026-06-27;Fase de grupos;Colômbia;Portugal;0-0;Portugal;Agregado fase de grupos;3.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cristiano Ronaldo;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 5 pts, 6-1 gols, saldo 5, xG 3.2, gols acima do xG 2.8, indice geral 67.5.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;6;1;3.2;2.8;67.5;0.672
57;2026-06-25;Fase de grupos;Japão;Suécia;1-1;Japão;Agregado fase de grupos;3.47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Kaishu Sano / Zion Suzuki;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 5 pts, 7-3 gols, saldo 4, xG 3.47, gols acima do xG 3.53, indice geral 66.57.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;7;3;3.47;3.53;66.57;0.648
55;2026-06-25;Fase de grupos;Curaçao;Costa do Marfim;0-2;Costa do Marfim;Agregado fase de grupos;3.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 6 pts, 4-2 gols, saldo 2, xG 3.4, gols acima do xG 0.6, indice geral 62.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;4;2;3.4;0.6;62.67;0.576
63;2026-06-26;Fase de grupos;Egito;Irã;1-1;Egito;Agregado fase de grupos;4.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 5 pts, 5-3 gols, saldo 2, xG 4.1, gols acima do xG 0.9, indice geral 60.83.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;5;3;4.1;0.9;60.83;0.464
68;2026-06-27;Fase de grupos;Croácia;Gana;2-1;Croácia;Agregado fase de grupos;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 6 pts, 5-5 gols, saldo 0, xG 2.4, gols acima do xG 2.6, indice geral 58.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;5;5;2.4;2.6;58.33;0.413
62;2026-06-26;Fase de grupos;Senegal;Iraque;5-0;Senegal;Agregado fase de grupos;4.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ismaila Sarr;NA;agregado_fase_grupos_banco_decisivo;Fase de grupos: 3 pts, 8-6 gols, saldo 2, xG 4.6, gols acima do xG 3.4, indice geral 56.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;8;6;4.6;3.4;56.67;0.228
57;2026-06-25;Fase de grupos;Japão;Suécia;1-1;Suécia;Agregado fase de grupos;3.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 7-7 gols, saldo 0, xG 3.4, gols acima do xG 3.6, indice geral 53.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;7;7;3.4;3.6;53;0.168
69;2026-06-27;Fase de grupos;Argélia;Áustria;3-3;Áustria;Agregado fase de grupos;3.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 6-6 gols, saldo 0, xG 3.1, gols acima do xG 2.9, indice geral 51.83.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;6;6;3.1;2.9;51.83;0.117
72;2026-06-27;Fase de grupos;RD Congo;Uzbequistão;3-1;RD Congo;Agregado fase de grupos;2.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 4-3 gols, saldo 1, xG 2.8, gols acima do xG 1.2, indice geral 50.17.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;4;3;2.8;1.2;50.17;0.105
56;2026-06-25;Fase de grupos;Equador;Alemanha;2-1;Equador;Agregado fase de grupos;4.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_contra_pressao_forte;Fase de grupos: 4 pts, 2-2 gols, saldo 0, xG 4.2, gols acima do xG -2.2, indice geral 47.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;2;4.2;-2.2;47;0.034
69;2026-06-27;Fase de grupos;Argélia;Áustria;3-3;Argélia;Agregado fase de grupos;3.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 5-7 gols, saldo -2, xG 3.8, gols acima do xG 1.2, indice geral 47.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;5;7;3.8;1.2;47;-0.029
52;2026-06-24;Fase de grupos;Bósnia e Herzegovina;Catar;3-1;Bósnia e Herzegovina;Agregado fase de grupos;2.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 5-6 gols, saldo -1, xG 2.3, gols acima do xG 2.7, indice geral 46.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;5;6;2.3;2.7;46.67;-0.033
63;2026-06-26;Fase de grupos;Egito;Irã;1-1;Irã;Agregado fase de grupos;4.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 3 pts, 3-3 gols, saldo 0, xG 4.3, gols acima do xG -1.3, indice geral 44.17.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;3;3;4.3;-1.3;44.17;-0.109
60;2026-06-25;Fase de grupos;Paraguai;Austrália;0-0;Austrália;Agregado fase de grupos;2.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 2-2 gols, saldo 0, xG 2.1, gols acima do xG -0.1, indice geral 43.5.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;2;2.1;-0.1;43.5;-0.075
59;2026-06-25;Fase de grupos;Turquia;Estados Unidos;3-2;Turquia;Agregado fase de grupos;6.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 3 pts, 3-5 gols, saldo -2, xG 6.2, gols acima do xG -3.2, indice geral 43.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;3;5;6.2;-3.2;43.33;-0.158
68;2026-06-27;Fase de grupos;Croácia;Gana;2-1;Gana;Agregado fase de grupos;1.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 2-2 gols, saldo 0, xG 1.7, gols acima do xG 0.3, indice geral 42.83.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;2;1.7;0.3;42.83;-0.095
54;2026-06-24;Fase de grupos;África do Sul;Coreia do Sul;1-0;África do Sul;Agregado fase de grupos;2.57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_fase_grupos_competitiva;Fase de grupos: 4 pts, 2-3 gols, saldo -1, xG 2.57, gols acima do xG -0.57, indice geral 42.12.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;3;2.57;-0.57;42.12;-0.124
65;2026-06-26;Fase de grupos;Cabo Verde;Arábia Saudita;0-0;Cabo Verde;Agregado fase de grupos;2.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_goleiro_decisivo;Fase de grupos: 3 pts, 2-2 gols, saldo 0, xG 2.6, gols acima do xG -0.6, indice geral 39.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;2;2.6;-0.6;39.67;-0.232
54;2026-06-24;Fase de grupos;África do Sul;Coreia do Sul;1-0;Coreia do Sul;Agregado fase de grupos;3.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 3 pts, 2-3 gols, saldo -1, xG 3.7, gols acima do xG -1.7, indice geral 39.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;3;3.7;-1.7;39.33;-0.249
60;2026-06-25;Fase de grupos;Paraguai;Austrália;0-0;Paraguai;Agregado fase de grupos;1.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Julio Enciso / Orlando Gill;NA;agregado_fase_grupos_bloco_baixo_penaltis;Fase de grupos: 4 pts, 2-4 gols, saldo -2, xG 1.4, gols acima do xG 0.6, indice geral 38.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;4;1.4;0.6;38;-0.258
66;2026-06-26;Fase de grupos;Uruguai;Espanha;0-1;Uruguai;Agregado fase de grupos;4.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 2 pts, 3-4 gols, saldo -1, xG 4.3, gols acima do xG -1.3, indice geral 37.33.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;3;4;4.3;-1.3;37.33;-0.366
49;2026-06-24;Fase de grupos;Escócia;Brasil;0-3;Escócia;Agregado fase de grupos;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 3 pts, 1-4 gols, saldo -3, xG 3, gols acima do xG -2, indice geral 32.17.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;1;4;3;-2;32.17;-0.467
65;2026-06-26;Fase de grupos;Cabo Verde;Arábia Saudita;0-0;Arábia Saudita;Agregado fase de grupos;1.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 2 pts, 1-5 gols, saldo -4, xG 1.5, gols acima do xG -0.5, indice geral 22.83.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;1;5;1.5;-0.5;22.83;-0.801
53;2026-06-24;Fase de grupos;Tchéquia;México;0-3;Tchéquia;Agregado fase de grupos;2.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 1 pts, 2-6 gols, saldo -4, xG 2.2, gols acima do xG -0.2, indice geral 21.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;6;2.2;-0.2;21;-0.913
64;2026-06-26;Fase de grupos;Nova Zelândia;Bélgica;1-5;Nova Zelândia;Agregado fase de grupos;2.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 1 pts, 4-10 gols, saldo -6, xG 2.8, gols acima do xG 1.2, indice geral 21.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;4;10;2.8;1.2;21;-0.959
52;2026-06-24;Fase de grupos;Bósnia e Herzegovina;Catar;3-1;Catar;Agregado fase de grupos;1.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 1 pts, 2-10 gols, saldo -8, xG 1.6, gols acima do xG 0.4, indice geral 15.67.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;2;10;1.6;0.4;15.67;-1.237
70;2026-06-27;Fase de grupos;Jordânia;Argentina;1-3;Jordânia;Agregado fase de grupos;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;agregado_fase_grupos_baixo_retorno_fase_grupos;Fase de grupos: 0 pts, 3-8 gols, saldo -5, xG 2, gols acima do xG 1, indice geral 15.5.;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc | data/resultados_reais.csv;agregado_fase_grupos;3;3;8;2;1;15.5;-1.145
