jogo,data,fase,equipe1,equipe2,previsao_antes,resultado_real,vencedor_previsto,vencedor_real,erro_gols_equipe1,erro_gols_equipe2,erro_total_gols,erro_saldo,acertou_vencedor,acertou_placar_exato,proximidade_0_100,ajuste_rating_equipe1,ajuste_rating_equipe2,correcao_registrada,arbitro_principal,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10
18,2026-06-16,Fase de grupos,Iraque,Noruega,0-2,1-4,Noruega,Noruega,1,2,3,1,Sim,Não,34,-0.225,0.225,"vencedor correto, placar ajustado",GHORBAL Mustapha,6.3,6.3
19,2026-06-16,Fase de grupos,Argentina,Argélia,2-0,3-0,Argentina,Argentina,1,0,1,1,Sim,Não,66,0.225,-0.225,"vencedor correto, placar ajustado",HERNANDEZ Alejandro,8.0,5.4
20,2026-06-17,Fase de grupos,Áustria,Jordânia,0-1,3-1,Jordânia,Áustria,3,0,3,3,Não,Não,0,0.81,-0.81,vencedor corrigido,HERRERA Dario,6.8,5.0
21,2026-06-17,Fase de grupos,Gana,Panamá,0-1,1-0,Panamá,Gana,1,-1,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,JAYED Jalal,6.4,5.9
22,2026-06-17,Fase de grupos,Inglaterra,Croácia,2-4,4-2,Croácia,Inglaterra,2,-2,4,4,Não,Não,0,1.035,-1.035,vencedor corrigido,KAWANA-WAUGH Campbell-Kirk,5.9,7.7
23,2026-06-17,Fase de grupos,Portugal,RD Congo,1-1,1-1,Empate,Empate,0,0,0,0,Sim,Sim,100,0.0,-0.0,placar exato,KOVACS Istvan,6.2,6.3
24,2026-06-17,Fase de grupos,Uzbequistão,Colômbia,2-1,1-3,Uzbequistão,Colômbia,-1,2,3,3,Não,Não,0,-0.81,0.81,vencedor corrigido,LETEXIER Francois,4.9,7.2
25,2026-06-18,Fase de grupos,Tchéquia,África do Sul,0-2,1-1,África do Sul,Empate,1,-1,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,MA Ning,7.2,5.1
26,2026-06-18,Fase de grupos,Suíça,Bósnia e Herzegovina,1-0,4-1,Suíça,Suíça,3,1,4,2,Sim,Não,0,0.45,-0.45,"vencedor correto, placar ajustado",MAKHADMEH Adham,4.2,6.3
27,2026-06-18,Fase de grupos,Canadá,Catar,0-1,6-0,Catar,Canadá,6,-1,7,7,Não,Não,0,1.71,-1.71,vencedor corrigido,MAKKELIE Danny,7.3,7.2
28,2026-06-18,Fase de grupos,México,Coreia do Sul,0-2,1-0,Coreia do Sul,México,1,-2,3,3,Não,Não,0,0.81,-0.81,vencedor corrigido,MARCINIAK Szymon,8.0,7.0
29,2026-06-19,Fase de grupos,Brasil,Haiti,3-0,3-0,Brasil,Brasil,0,0,0,0,Sim,Sim,100,0.0,-0.0,placar exato,MARIANI Maurizio,7.2,6.5
30,2026-06-19,Fase de grupos,Escócia,Marrocos,3-1,0-1,Escócia,Marrocos,-3,0,3,3,Não,Não,0,-0.81,0.81,vencedor corrigido,MARTINEZ Hector Said,8.2,7.7
31,2026-06-20,Fase de grupos,Turquia,Paraguai,2-0,0-1,Turquia,Paraguai,-2,1,3,3,Não,Não,0,-0.81,0.81,vencedor corrigido,MOHAMED Amin,4.2,5.7
32,2026-06-19,Fase de grupos,Estados Unidos,Austrália,0-0,2-0,Empate,Estados Unidos,2,0,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,NATION Oshane,5.5,7.7
33,2026-06-20,Fase de grupos,Alemanha,Costa do Marfim,3-2,2-1,Alemanha,Alemanha,-1,-1,2,0,Sim,Não,68,0.0,-0.0,"vencedor correto, placar ajustado",NYBERG Glenn,8.2,4.6
34,2026-06-20,Fase de grupos,Equador,Curaçao,5-0,0-0,Equador,Empate,-5,0,5,5,Não,Não,0,-1.26,1.26,vencedor corrigido,OLIVER Michael,4.3,6.9
35,2026-06-20,Fase de grupos,Países Baixos,Suécia,2-0,5-1,Países Baixos,Países Baixos,3,1,4,2,Sim,Não,0,0.45,-0.45,"vencedor correto, placar ajustado",OMAR AL ALI,7.7,4.7
36,2026-06-21,Fase de grupos,Tunísia,Japão,1-1,0-4,Empate,Japão,-1,3,4,4,Não,Não,0,-1.035,1.035,vencedor corrigido,ORTEGA Kevin,7.4,7.9
37,2026-06-21,Fase de grupos,Uruguai,Cabo Verde,2-0,2-2,Uruguai,Empate,0,2,2,2,Não,Não,4,-0.585,0.585,vencedor corrigido,PENSO Tori,7.1,5.5
38,2026-06-21,Fase de grupos,Espanha,Arábia Saudita,2-0,4-0,Espanha,Espanha,2,0,2,2,Sim,Não,32,0.45,-0.45,"vencedor correto, placar ajustado",PINHEIRO Joao,4.5,4.5
39,2026-06-21,Fase de grupos,Bélgica,Irã,0-0,0-0,Empate,Empate,0,0,0,0,Sim,Sim,100,0.0,-0.0,placar exato,RAMON ABATTI,8.2,7.0
40,2026-06-21,Fase de grupos,Nova Zelândia,Egito,0-2,1-3,Egito,Egito,1,1,2,0,Sim,Não,68,0.0,-0.0,"vencedor correto, placar ajustado",RAMOS Cesar,5.9,7.9
41,2026-06-22,Fase de grupos,Noruega,Senegal,1-2,3-2,Senegal,Noruega,2,0,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,ROJAS Andres,7.6,6.3
42,2026-06-22,Fase de grupos,França,Iraque,1-1,3-0,Empate,França,2,-1,3,3,Não,Não,0,0.81,-0.81,vencedor corrigido,SCHAERER Sandro,5.1,7.4
43,2026-06-22,Fase de grupos,Argentina,Áustria,0-1,2-0,Áustria,Argentina,2,-1,3,3,Não,Não,0,0.81,-0.81,vencedor corrigido,TANTASHEV Ilgiz,5.5,7.3
44,2026-06-23,Fase de grupos,Jordânia,Argélia,0-2,1-2,Argélia,Argélia,1,0,1,1,Sim,Não,66,0.225,-0.225,"vencedor correto, placar ajustado",TAYLOR Anthony,6.3,6.4
45,2026-06-23,Fase de grupos,Inglaterra,Gana,2-0,0-0,Inglaterra,Empate,-2,0,2,2,Não,Não,4,-0.585,0.585,vencedor corrigido,TEJERA Gustavo,5.1,5.1
46,2026-06-23,Fase de grupos,Panamá,Croácia,0-2,0-1,Croácia,Croácia,0,-1,1,1,Sim,Não,66,0.225,-0.225,"vencedor correto, placar ajustado",TELLO Facundo,5.3,5.7
47,2026-06-23,Fase de grupos,Portugal,Uzbequistão,1-1,5-0,Empate,Portugal,4,-1,5,5,Não,Não,0,1.26,-1.26,vencedor corrigido,TOM Abongile,5.0,4.5
48,2026-06-23,Fase de grupos,Colômbia,RD Congo,3-0,1-0,Colômbia,Colômbia,-2,0,2,2,Sim,Não,32,-0.45,0.45,"vencedor correto, placar ajustado",TURPIN Clement,4.9,6.7
49,2026-06-24,Fase de grupos,Escócia,Brasil,1-2,0-3,Brasil,Brasil,-1,1,2,2,Sim,Não,32,-0.45,0.45,"vencedor correto, placar ajustado",VALENZUELA Jesus,6.5,7.9
50,2026-06-24,Fase de grupos,Marrocos,Haiti,0-0,4-2,Empate,Marrocos,4,2,6,2,Não,Não,0,0.585,-0.585,vencedor corrigido,VINCIC Slavko,5.0,5.1
51,2026-06-24,Fase de grupos,Suíça,Canadá,2-0,2-1,Suíça,Suíça,0,1,1,1,Sim,Não,66,-0.225,0.225,"vencedor correto, placar ajustado",WILTON SAMPAIO,4.9,5.1
52,2026-06-24,Fase de grupos,Bósnia e Herzegovina,Catar,2-2,3-1,Empate,Bósnia e Herzegovina,1,-1,2,2,Não,Não,4,0.585,-0.585,vencedor corrigido,ZWAYER Felix,8.2,6.4
53,2026-06-24,Fase de grupos,Tchéquia,México,0-1,0-3,México,México,0,2,2,2,Sim,Não,32,-0.45,0.45,"vencedor correto, placar ajustado",AL JASSIM Abdulrahman,7.9,6.7
54,2026-06-24,Fase de grupos,África do Sul,Coreia do Sul,1-0,1-0,África do Sul,África do Sul,0,0,0,0,Sim,Sim,100,0.0,-0.0,placar exato,AL TURAIS Khalid,4.8,6.1
55,2026-06-25,Fase de grupos,Curaçao,Costa do Marfim,1-0,0-2,Curaçao,Costa do Marfim,-1,2,3,3,Não,Não,0,-0.81,0.81,vencedor corrigido,ARAKI Yusuke,5.8,5.0
56,2026-06-25,Fase de grupos,Equador,Alemanha,1-1,2-1,Empate,Equador,1,0,1,1,Não,Não,38,0.36,-0.36,vencedor corrigido,ARTAN Omar Abdulkadir,6.5,5.8
57,2026-06-25,Fase de grupos,Japão,Suécia,2-0,1-1,Japão,Empate,-1,1,2,2,Não,Não,4,-0.585,0.585,vencedor corrigido,ATCHO Pierre,7.6,7.7
58,2026-06-25,Fase de grupos,Tunísia,Países Baixos,0-1,1-3,Países Baixos,Países Baixos,1,2,3,1,Sim,Não,34,-0.225,0.225,"vencedor correto, placar ajustado",BARTON Ivan,5.8,4.5
59,2026-06-25,Fase de grupos,Turquia,Estados Unidos,0-0,3-2,Empate,Turquia,3,2,5,1,Não,Não,0,0.36,-0.36,vencedor corrigido,BEIDA Dahane,6.9,5.9
60,2026-06-25,Fase de grupos,Paraguai,Austrália,1-4,0-0,Austrália,Empate,-1,-4,5,3,Não,Não,0,0.81,-0.81,vencedor corrigido,BENITEZ Juan Gabriel,6.5,5.3
61,2026-06-26,Fase de grupos,Noruega,França,0-0,1-4,Empate,França,1,4,5,3,Não,Não,0,-0.81,0.81,vencedor corrigido,CALDERON Juan,6.2,7.5
62,2026-06-26,Fase de grupos,Senegal,Iraque,1-3,5-0,Iraque,Senegal,4,-3,7,7,Não,Não,0,1.71,-1.71,vencedor corrigido,CLAUS Raphael,8.2,4.9
65,2026-06-26,Fase de grupos,Cabo Verde,Arábia Saudita,1-2,0-0,Arábia Saudita,Empate,-1,-2,3,1,Não,Não,6,0.36,-0.36,vencedor corrigido,FAGHANI Alireza,6.6,7.8
66,2026-06-26,Fase de grupos,Uruguai,Espanha,1-0,0-1,Uruguai,Espanha,-1,1,2,2,Não,Não,4,-0.585,0.585,vencedor corrigido,FALCON PEREZ Yael,4.7,6.3
