espn_event_id,date,status,team_home,team_away,team_home_source_name,team_away_source_name,score_home,score_away,winner,source_url,source_publisher,date_accessed,data_leakage_risk,notes
repo_existing_11,2026-06-14,Finalizado,Países Baixos,Japão,Países Baixos,Japão,2,2,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_12,2026-06-14,Finalizado,Suécia,Tunísia,Suécia,Tunísia,5,1,Suécia,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_13,2026-06-15,Finalizado,Arábia Saudita,Uruguai,Arábia Saudita,Uruguai,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_14,2026-06-15,Finalizado,Espanha,Cabo Verde,Espanha,Cabo Verde,0,0,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_15,2026-06-15,Finalizado,Irã,Nova Zelândia,Irã,Nova Zelândia,2,2,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_16,2026-06-15,Finalizado,Bélgica,Egito,Bélgica,Egito,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_17,2026-06-16,Finalizado,França,Senegal,França,Senegal,3,1,França,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_18,2026-06-16,Finalizado,Iraque,Noruega,Iraque,Noruega,1,4,Noruega,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_19,2026-06-16,Finalizado,Argentina,Argélia,Argentina,Argélia,3,0,Argentina,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_20,2026-06-17,Finalizado,Áustria,Jordânia,Áustria,Jordânia,3,1,Áustria,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_21,2026-06-17,Finalizado,Gana,Panamá,Gana,Panamá,1,0,Gana,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_22,2026-06-17,Finalizado,Inglaterra,Croácia,Inglaterra,Croácia,4,2,Inglaterra,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_23,2026-06-17,Finalizado,Portugal,RD Congo,Portugal,RD Congo,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_24,2026-06-17,Finalizado,Uzbequistão,Colômbia,Uzbequistão,Colômbia,1,3,Colômbia,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_25,2026-06-18,Finalizado,Tchéquia,África do Sul,Tchéquia,África do Sul,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_26,2026-06-18,Finalizado,Suíça,Bósnia e Herzegovina,Suíça,Bósnia e Herzegovina,4,1,Suíça,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_27,2026-06-18,Finalizado,Canadá,Catar,Canadá,Catar,6,0,Canadá,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_28,2026-06-18,Finalizado,México,Coreia do Sul,México,Coreia do Sul,1,0,México,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_29,2026-06-19,Finalizado,Brasil,Haiti,Brasil,Haiti,3,0,Brasil,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_30,2026-06-19,Finalizado,Escócia,Marrocos,Escócia,Marrocos,0,1,Marrocos,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_31,2026-06-20,Finalizado,Turquia,Paraguai,Turquia,Paraguai,0,1,Paraguai,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_32,2026-06-19,Finalizado,Estados Unidos,Austrália,Estados Unidos,Austrália,2,0,Estados Unidos,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_33,2026-06-20,Finalizado,Alemanha,Costa do Marfim,Alemanha,Costa do Marfim,2,1,Alemanha,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_34,2026-06-20,Finalizado,Equador,Curaçao,Equador,Curaçao,0,0,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_35,2026-06-20,Finalizado,Países Baixos,Suécia,Países Baixos,Suécia,5,1,Países Baixos,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_36,2026-06-21,Finalizado,Tunísia,Japão,Tunísia,Japão,0,4,Japão,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_37,2026-06-21,Finalizado,Uruguai,Cabo Verde,Uruguai,Cabo Verde,2,2,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_38,2026-06-21,Finalizado,Espanha,Arábia Saudita,Espanha,Arábia Saudita,4,0,Espanha,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_39,2026-06-21,Finalizado,Bélgica,Irã,Bélgica,Irã,0,0,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_40,2026-06-21,Finalizado,Nova Zelândia,Egito,Nova Zelândia,Egito,1,3,Egito,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_41,2026-06-22,Finalizado,Noruega,Senegal,Noruega,Senegal,3,2,Noruega,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_42,2026-06-22,Finalizado,França,Iraque,França,Iraque,3,0,França,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_43,2026-06-22,Finalizado,Argentina,Áustria,Argentina,Áustria,2,0,Argentina,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_44,2026-06-23,Finalizado,Jordânia,Argélia,Jordânia,Argélia,1,2,Argélia,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_45,2026-06-23,Finalizado,Inglaterra,Gana,Inglaterra,Gana,0,0,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_46,2026-06-23,Finalizado,Panamá,Croácia,Panamá,Croácia,0,1,Croácia,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_47,2026-06-23,Finalizado,Portugal,Uzbequistão,Portugal,Uzbequistão,5,0,Portugal,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_48,2026-06-23,Finalizado,Colômbia,RD Congo,Colômbia,RD Congo,1,0,Colômbia,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_49,2026-06-24,Finalizado,Escócia,Brasil,Escócia,Brasil,0,3,Brasil,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_50,2026-06-24,Finalizado,Marrocos,Haiti,Marrocos,Haiti,4,2,Marrocos,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_51,2026-06-24,Finalizado,Suíça,Canadá,Suíça,Canadá,2,1,Suíça,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_52,2026-06-24,Finalizado,Bósnia e Herzegovina,Catar,Bósnia e Herzegovina,Catar,3,1,Bósnia e Herzegovina,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_53,2026-06-24,Finalizado,Tchéquia,México,Tchéquia,México,0,3,México,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_54,2026-06-24,Finalizado,África do Sul,Coreia do Sul,África do Sul,Coreia do Sul,1,0,África do Sul,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_55,2026-06-25,Finalizado,Curaçao,Costa do Marfim,Curaçao,Costa do Marfim,0,2,Costa do Marfim,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_56,2026-06-25,Finalizado,Equador,Alemanha,Equador,Alemanha,2,1,Equador,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_57,2026-06-25,Finalizado,Japão,Suécia,Japão,Suécia,1,1,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_58,2026-06-25,Finalizado,Tunísia,Países Baixos,Tunísia,Países Baixos,1,3,Países Baixos,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_59,2026-06-25,Finalizado,Turquia,Estados Unidos,Turquia,Estados Unidos,3,2,Turquia,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_60,2026-06-25,Finalizado,Paraguai,Austrália,Paraguai,Austrália,0,0,Empate,https://exame.com/esporte/copa-do-mundo-2026-veja-os-resultados-de-todos-jogos-ate-aqui-dia-a-dia/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_61,2026-06-26,Finalizado,Noruega,França,Noruega,França,1,4,França,https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676 | https://www.reuters.com/sports/soccer/dembele-hat-trick-helps-france-beat-second-string-norway-4-1-top-group-2026-06-26/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_62,2026-06-26,Finalizado,Senegal,Iraque,Senegal,Iraque,5,0,Senegal,https://theanalyst.com/articles/senegal-vs-iraq-stats-world-cup-2026 | https://www.reuters.com/sports/soccer/senegal-rout-10-man-iraq-stay-world-cup-hunt-2026-06-26/,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_65,2026-06-26,Finalizado,Cabo Verde,Arábia Saudita,Cabo Verde,Arábia Saudita,0,0,Empate,https://www.theguardian.com/football/live/2026/jun/26/cape-verde-v-saudi-arabia-world-cup-2026-live,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
repo_existing_66,2026-06-26,Finalizado,Uruguai,Espanha,Uruguai,Espanha,0,1,Espanha,https://english.ahram.org.eg/WorldCup2026/Article/571662 | https://www.theguardian.com/football/live/2026/jun/26/uruguay-v-spain-world-cup-2026-live,existing_repository_resultados_reais,2026-06-28T11:19:44+00:00,post_match_only,Existing finalized result already present in repository; direct source URL preserved. No proxy.
760461,2026-06-23,Finalizado,Portugal,Uzbequistão,Portugal,Uzbekistan,5,0,Portugal,https://www.espn.com/soccer/match/_/gameId/760461/uzbekistan-portugal,ESPN public site API,2026-06-28T11:17:59+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760458,2026-06-23,Finalizado,Inglaterra,Gana,England,Ghana,0,0,Empate,https://www.espn.com/soccer/match/_/gameId/760458/ghana-england,ESPN public site API,2026-06-28T11:18:02+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760460,2026-06-23,Finalizado,Panamá,Croácia,Panama,Croatia,0,1,Croácia,https://www.espn.com/soccer/match/_/gameId/760460/croatia-panama,ESPN public site API,2026-06-28T11:18:06+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760459,2026-06-23,Finalizado,Colômbia,RD Congo,Colombia,Congo DR,1,0,Colômbia,https://www.espn.com/soccer/match/_/gameId/760459/congo-dr-colombia,ESPN public site API,2026-06-28T11:18:09+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760462,2026-06-24,Finalizado,Bósnia e Herzegovina,Catar,Bosnia-Herzegovina,Qatar,3,1,Bósnia e Herzegovina,https://www.espn.com/soccer/match/_/gameId/760462/qatar-bosnia-herzegovina,ESPN public site API,2026-06-28T11:18:15+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760463,2026-06-24,Finalizado,Suíça,Canadá,Switzerland,Canada,2,1,Suíça,https://www.espn.com/soccer/match/_/gameId/760463/canada-switzerland,ESPN public site API,2026-06-28T11:18:18+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760464,2026-06-24,Finalizado,Marrocos,Haiti,Morocco,Haiti,4,2,Marrocos,https://www.espn.com/soccer/match/_/gameId/760464/haiti-morocco,ESPN public site API,2026-06-28T11:18:21+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760465,2026-06-24,Finalizado,Escócia,Brasil,Scotland,Brazil,0,3,Brasil,https://www.espn.com/soccer/match/_/gameId/760465/brazil-scotland,ESPN public site API,2026-06-28T11:18:25+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760467,2026-06-24,Finalizado,Tchéquia,México,Czechia,Mexico,0,3,México,https://www.espn.com/soccer/match/_/gameId/760467/mexico-czechia,ESPN public site API,2026-06-28T11:18:28+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760466,2026-06-24,Finalizado,África do Sul,Coreia do Sul,South Africa,South Korea,1,0,África do Sul,https://www.espn.com/soccer/match/_/gameId/760466/south-korea-south-africa,ESPN public site API,2026-06-28T11:18:31+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760473,2026-06-25,Finalizado,Curaçao,Costa do Marfim,Curaçao,Ivory Coast,0,2,Costa do Marfim,https://www.espn.com/soccer/match/_/gameId/760473/ivory-coast-curacao,ESPN public site API,2026-06-28T11:18:37+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760468,2026-06-25,Finalizado,Equador,Alemanha,Ecuador,Germany,2,1,Equador,https://www.espn.com/soccer/match/_/gameId/760468/germany-ecuador,ESPN public site API,2026-06-28T11:18:40+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760471,2026-06-25,Finalizado,Japão,Suécia,Japan,Sweden,1,1,Empate,https://www.espn.com/soccer/match/_/gameId/760471/sweden-japan,ESPN public site API,2026-06-28T11:18:44+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760472,2026-06-25,Finalizado,Tunísia,Países Baixos,Tunisia,Netherlands,1,3,Países Baixos,https://www.espn.com/soccer/match/_/gameId/760472/netherlands-tunisia,ESPN public site API,2026-06-28T11:18:47+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760469,2026-06-25,Finalizado,Paraguai,Austrália,Paraguay,Australia,0,0,Empate,https://www.espn.com/soccer/match/_/gameId/760469/australia-paraguay,ESPN public site API,2026-06-28T11:18:50+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760470,2026-06-25,Finalizado,Türkiye,Estados Unidos,Türkiye,United States,3,2,Türkiye,https://www.espn.com/soccer/match/_/gameId/760470/united-states-turkiye,ESPN public site API,2026-06-28T11:18:53+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760475,2026-06-26,Finalizado,Noruega,França,Norway,France,1,4,França,https://www.espn.com/soccer/match/_/gameId/760475/france-norway,ESPN public site API,2026-06-28T11:18:59+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760474,2026-06-26,Finalizado,Senegal,Iraque,Senegal,Iraq,5,0,Senegal,https://www.espn.com/soccer/match/_/gameId/760474/iraq-senegal,ESPN public site API,2026-06-28T11:19:03+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
760478,2026-06-26,Finalizado,Cabo Verde,Arábia Saudita,Cape Verde,Saudi Arabia,0,0,Empate,https://www.espn.com/soccer/match/_/gameId/760478/saudi-arabia-cape-verde,ESPN public site API,2026-06-28T11:19:06+00:00,post_match_only,Final score/status directly from ESPN public JSON. No proxy.
