jogo,fase,grupo,data,arbitro_principal,associacao_arbitro,assistente1,assistente2,var,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10,observacao
13,Fase de grupos,H,2026-06-15,FAGHANI Alireza,AUS,CARDOZO Eduardo,CHADE Gabriel,FU Ming,6.6,7.8,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
14,Fase de grupos,H,2026-06-15,FALCON PEREZ Yael,ARG,DANILO MANIS,DANOS Nicolas,GALLO Nicolas,4.7,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
15,Fase de grupos,G,2026-06-15,FISCHER Drew,CAN,DE ALMEIDA Stephane,DE VRIES Jan,GARCIA Antonio,5.4,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
16,Fase de grupos,G,2026-06-15,GARAY Cristian,CHI,DEL YESSO Maximiliano,DIETZ Christian,GILLETT Jarred,7.8,7.6,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
17,Fase de grupos,I,2026-06-16,GARCIA Katia,MEX,DITSOGA Boris,ENGAN Jan Erik,GONZALEZ Leodan,6.7,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
18,Fase de grupos,I,2026-06-16,GHORBAL Mustapha,ALG,FIGUEIREDO Rodrigo,GAYNULLIN Timur,GUZMAN Tatiana,6.3,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
19,Fase de grupos,J,2026-06-16,HERNANDEZ Alejandro,ESP,GOURARI Mokrane,GUZMAN Alexander,HIGLER Dennis,8.0,5.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
20,Fase de grupos,J,2026-06-16,HERRERA Dario,ARG,HOSSAM TAHA Ahmed,JERSON SANTOS,KWIATKOWSKI Tomasz,6.8,5.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
21,Fase de grupos,L,2026-06-17,JAYED Jalal,MAR,JESUS Bruno,KEMPTER Robert,LARA Juan,6.4,5.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
22,Fase de grupos,L,2026-06-17,KAWANA-WAUGH Campbell-Kirk,NZL,KLANCNIK Tomaz,KOVACIC Andraz,MASTRANGELO Hernan,5.9,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
23,Fase de grupos,K,2026-06-17,KOVACS Istvan,ROU,LAKRINDIS George,LINDSAY James,MIRANDA Erick,6.2,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
24,Fase de grupos,K,2026-06-17,LETEXIER Francois,FRA,LISTKIEWICZ Tomasz,LOPEZ Walter,MOHAMMED OBAID KHADIM,4.9,7.2,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
25,Fase de grupos,A,2026-06-18,MA Ning,CHN,MAIA Luciano,MAINWARING James,PACHECO Guillermo,7.2,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
26,Fase de grupos,B,2026-06-18,MAKHADMEH Adham,JOR,MARICA Mihai,MAYO Brooke,SAN Fedayi,4.2,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
27,Fase de grupos,B,2026-06-18,MAKKELIE Danny,NED,MIHARA Jun,MORA Juan Carlos,SOTO Juan,7.3,7.2,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
28,Fase de grupos,A,2026-06-18,MARCINIAK Szymon,POL,MORAN David,MORENO Tulio,TOSKI Rodolpho,8.0,7.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
29,Fase de grupos,C,2026-06-19,MARIANI Maurizio,ITA,MORIN Alberto,MUGNIER Cyril,VAN DRIESSCHE Bram,7.2,6.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
30,Fase de grupos,C,2026-06-19,MARTINEZ Hector Said,HON,NARANJO PEREZ Jose Enrique,NAVARRO Cristian,VILLARREAL Armando,8.2,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
31,Fase de grupos,D,2026-06-19,MOHAMED Amin,EGY,NESBITT Kathryn,NOUPUE Elvis,AL-MARRI Khamis,4.2,5.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
32,Fase de grupos,D,2026-06-19,NATION Oshane,JAM,NUNN Adam,ORUE Michael,ALSHEHRI Abdullah,5.5,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
33,Fase de grupos,E,2026-06-20,NYBERG Glenn,SWE,PAGES Benjamin,PARKER Corey,ASHOUR Mahmoud,8.2,4.6,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
34,Fase de grupos,E,2026-06-20,OLIVER Michael,ENG,PUPIRO Antonio,RAFAEL ALVES,BEBEK Ivan,4.3,6.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
35,Fase de grupos,F,2026-06-20,OMAR AL ALI,UAE,RAHMOUNI Mehdi,RAMIREZ Christian,BRISARD Jerome,7.7,4.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
36,Fase de grupos,F,2026-06-20,ORTEGA Kevin,PER,RAMIREZ Sandra,RETAMAL Jose,DANKERT Bastian,7.4,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
37,Fase de grupos,H,2026-06-21,PENSO Tori,USA,ROCHA Miguel,RODRIGUEZ Facundo,DEL CERRO GRANDE Carlos,7.1,5.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
38,Fase de grupos,H,2026-06-21,PINHEIRO Joao,POR,SALDIVAR Milciades,SANCHEZ Diego,DELAJOD Willy,4.5,4.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
39,Fase de grupos,G,2026-06-21,RAMON ABATTI,BRA,SIWELA Zakhele,SODERKVIST Andreas,DI BELLO Marco,8.2,7.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
40,Fase de grupos,G,2026-06-21,RAMOS Cesar,MEX,STEEGSTRA Hessel,TARAN Nicolas,DICKERSON Joe,5.9,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
41,Fase de grupos,I,2026-06-22,ROJAS Andres,COL,TEGONI Alberto,TREVIS Isaac,EL FARIQ Hamza,7.6,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
42,Fase de grupos,I,2026-06-22,SCHAERER Sandro,SUI,TSAPENKO Andrey,TUNYOGI Ferencz,EVANS Shaun,5.1,7.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
43,Fase de grupos,J,2026-06-22,TANTASHEV Ilgiz,UZB,URREGO Jorge,WALES Caleb,FU Ming,5.5,7.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
44,Fase de grupos,J,2026-06-22,TAYLOR Anthony,ENG,ZERHOUNI Abbes Akram,ZHOU Fei,GALLO Nicolas,6.3,6.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
45,Fase de grupos,L,2026-06-23,TEJERA Gustavo,URU,ABEIGNE Amos,ABOUELREGAL Mahmoud,GARCIA Antonio,5.1,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
46,Fase de grupos,L,2026-06-23,TELLO Facundo,ARG,AKARKAD Mostafa,AL ABAKRY Mohammed,GILLETT Jarred,5.3,5.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
47,Fase de grupos,K,2026-06-23,TOM Abongile,RSA,AL HAMMADI Mohamed,AL KALAF Mohammad,GONZALEZ Leodan,5.0,4.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
48,Fase de grupos,K,2026-06-23,TURPIN Clement,FRA,AL MAQALEH Saoud,AL MARRI Taleb,GUZMAN Tatiana,4.9,6.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
49,Fase de grupos,C,2026-06-24,VALENZUELA Jesus,VEN,AL ROALLE Ahmad,ARFA Lyes,HIGLER Dennis,6.5,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
50,Fase de grupos,C,2026-06-24,VINCIC Slavko,SVN,ATKINS Kyle,BARREIRO Carlos,KWIATKOWSKI Tomasz,5.0,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
51,Fase de grupos,B,2026-06-24,WILTON SAMPAIO,BRA,BARWEGEN Micheal,BASHEVKIN Isaak,LARA Juan,4.9,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
52,Fase de grupos,B,2026-06-24,ZWAYER Felix,GER,KUPSIK Adam,BEIGI Mahbod,MASTRANGELO Hernan,8.2,6.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
53,Fase de grupos,A,2026-06-24,AL JASSIM Abdulrahman,QAT,BELATTI Juan Pablo,BESWICK Gary,MIRANDA Erick,7.9,6.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
54,Fase de grupos,A,2026-06-24,AL TURAIS Khalid,KSA,BINDONI Daniele,BISGUERRA Marco,MOHAMMED OBAID KHADIM,4.8,6.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
55,Fase de grupos,E,2026-06-25,ARAKI Yusuke,JPN,BRINSI Zakaria,BRUNO BOSCHILIA,PACHECO Guillermo,5.8,5.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
56,Fase de grupos,E,2026-06-25,ARTAN Omar Abdulkadir,SOM,BRUNO PIRES,BURT Stuart,SAN Fedayi,6.5,5.8,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
57,Fase de grupos,F,2026-06-25,ATCHO Pierre,GAB,CARDOZO Eduardo,CHADE Gabriel,SOTO Juan,7.6,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
58,Fase de grupos,F,2026-06-25,BARTON Ivan,SLV,DANILO MANIS,DANOS Nicolas,TOSKI Rodolpho,5.8,4.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
59,Fase de grupos,D,2026-06-25,BEIDA Dahane,MTN,DE ALMEIDA Stephane,DE VRIES Jan,VAN DRIESSCHE Bram,6.9,5.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
60,Fase de grupos,D,2026-06-25,BENITEZ Juan Gabriel,PAR,DEL YESSO Maximiliano,DIETZ Christian,VILLARREAL Armando,6.5,5.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
61,Fase de grupos,I,2026-06-26,CALDERON Juan,CRC,DITSOGA Boris,ENGAN Jan Erik,AL-MARRI Khamis,6.2,7.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
62,Fase de grupos,I,2026-06-26,CLAUS Raphael,BRA,FIGUEIREDO Rodrigo,GAYNULLIN Timur,ALSHEHRI Abdullah,8.2,4.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
63,Fase de grupos,G,2026-06-26,ELFATH Ismail,USA,GOURARI Mokrane,GUZMAN Alexander,ASHOUR Mahmoud,8.0,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
64,Fase de grupos,G,2026-06-26,ESKAS Espen,NOR,HOSSAM TAHA Ahmed,JERSON SANTOS,BEBEK Ivan,6.4,6.6,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
65,Fase de grupos,H,2026-06-26,FAGHANI Alireza,AUS,JESUS Bruno,KEMPTER Robert,BRISARD Jerome,6.6,7.8,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
66,Fase de grupos,H,2026-06-26,FALCON PEREZ Yael,ARG,KLANCNIK Tomaz,KOVACIC Andraz,DANKERT Bastian,4.7,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
67,Fase de grupos,L,2026-06-27,FISCHER Drew,CAN,LAKRINDIS George,LINDSAY James,DEL CERRO GRANDE Carlos,5.4,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
68,Fase de grupos,L,2026-06-27,GARAY Cristian,CHI,LISTKIEWICZ Tomasz,LOPEZ Walter,DELAJOD Willy,7.8,7.6,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
69,Fase de grupos,J,2026-06-27,GARCIA Katia,MEX,MAIA Luciano,MAINWARING James,DI BELLO Marco,6.7,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
70,Fase de grupos,J,2026-06-27,GHORBAL Mustapha,ALG,MARICA Mihai,MAYO Brooke,DICKERSON Joe,6.3,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
71,Fase de grupos,K,2026-06-27,HERNANDEZ Alejandro,ESP,MIHARA Jun,MORA Juan Carlos,EL FARIQ Hamza,8.0,5.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
72,Fase de grupos,K,2026-06-27,HERRERA Dario,ARG,MORAN David,MORENO Tulio,EVANS Shaun,6.8,5.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
73,16 avos de final,,2026-06-28,JAYED Jalal,MAR,MORIN Alberto,MUGNIER Cyril,FU Ming,6.4,5.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
74,16 avos de final,,2026-06-29,KAWANA-WAUGH Campbell-Kirk,NZL,NARANJO PEREZ Jose Enrique,NAVARRO Cristian,GALLO Nicolas,5.9,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
75,16 avos de final,,2026-06-29,KOVACS Istvan,ROU,NESBITT Kathryn,NOUPUE Elvis,GARCIA Antonio,6.2,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
76,16 avos de final,,2026-06-29,LETEXIER Francois,FRA,NUNN Adam,ORUE Michael,GILLETT Jarred,4.9,7.2,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
77,16 avos de final,,2026-06-30,MA Ning,CHN,PAGES Benjamin,PARKER Corey,GONZALEZ Leodan,7.2,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
78,16 avos de final,,2026-06-30,MAKHADMEH Adham,JOR,PUPIRO Antonio,RAFAEL ALVES,GUZMAN Tatiana,4.2,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
79,16 avos de final,,2026-06-30,MAKKELIE Danny,NED,RAHMOUNI Mehdi,RAMIREZ Christian,HIGLER Dennis,7.3,7.2,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
80,16 avos de final,,2026-07-01,MARCINIAK Szymon,POL,RAMIREZ Sandra,RETAMAL Jose,KWIATKOWSKI Tomasz,8.0,7.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
81,16 avos de final,,2026-07-01,MARIANI Maurizio,ITA,ROCHA Miguel,RODRIGUEZ Facundo,LARA Juan,7.2,6.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
82,16 avos de final,,2026-07-01,MARTINEZ Hector Said,HON,SALDIVAR Milciades,SANCHEZ Diego,MASTRANGELO Hernan,8.2,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
83,16 avos de final,,2026-07-02,MOHAMED Amin,EGY,SIWELA Zakhele,SODERKVIST Andreas,MIRANDA Erick,4.2,5.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
84,16 avos de final,,2026-07-02,NATION Oshane,JAM,STEEGSTRA Hessel,TARAN Nicolas,MOHAMMED OBAID KHADIM,5.5,7.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
85,16 avos de final,,2026-07-02,NYBERG Glenn,SWE,TEGONI Alberto,TREVIS Isaac,PACHECO Guillermo,8.2,4.6,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
86,16 avos de final,,2026-07-03,OLIVER Michael,ENG,TSAPENKO Andrey,TUNYOGI Ferencz,SAN Fedayi,4.3,6.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
87,16 avos de final,,2026-07-03,OMAR AL ALI,UAE,URREGO Jorge,WALES Caleb,SOTO Juan,7.7,4.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
88,16 avos de final,,2026-07-03,ORTEGA Kevin,PER,ZERHOUNI Abbes Akram,ZHOU Fei,TOSKI Rodolpho,7.4,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
89,Oitavas de final,,2026-07-04,PENSO Tori,USA,ABEIGNE Amos,ABOUELREGAL Mahmoud,VAN DRIESSCHE Bram,7.1,5.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
90,Oitavas de final,,2026-07-04,PINHEIRO Joao,POR,AKARKAD Mostafa,AL ABAKRY Mohammed,VILLARREAL Armando,4.5,4.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
91,Oitavas de final,,2026-07-05,RAMON ABATTI,BRA,AL HAMMADI Mohamed,AL KALAF Mohammad,AL-MARRI Khamis,8.2,7.0,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
92,Oitavas de final,,2026-07-05,RAMOS Cesar,MEX,AL MAQALEH Saoud,AL MARRI Taleb,ALSHEHRI Abdullah,5.9,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
93,Oitavas de final,,2026-07-06,ROJAS Andres,COL,AL ROALLE Ahmad,ARFA Lyes,ASHOUR Mahmoud,7.6,6.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
94,Oitavas de final,,2026-07-06,SCHAERER Sandro,SUI,ATKINS Kyle,BARREIRO Carlos,BEBEK Ivan,5.1,7.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
95,Oitavas de final,,2026-07-07,TANTASHEV Ilgiz,UZB,BARWEGEN Micheal,BASHEVKIN Isaak,BRISARD Jerome,5.5,7.3,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
96,Oitavas de final,,2026-07-07,TAYLOR Anthony,ENG,KUPSIK Adam,BEIGI Mahbod,DANKERT Bastian,6.3,6.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
97,Quartas de final,,2026-07-09,TEJERA Gustavo,URU,BELATTI Juan Pablo,BESWICK Gary,DEL CERRO GRANDE Carlos,5.1,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
98,Quartas de final,,2026-07-10,TELLO Facundo,ARG,BINDONI Daniele,BISGUERRA Marco,DELAJOD Willy,5.3,5.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
99,Quartas de final,,2026-07-11,TOM Abongile,RSA,BRINSI Zakaria,BRUNO BOSCHILIA,DI BELLO Marco,5.0,4.5,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
100,Quartas de final,,2026-07-11,TURPIN Clement,FRA,BRUNO PIRES,BURT Stuart,DICKERSON Joe,4.9,6.7,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
101,Semifinais,,2026-07-14,VALENZUELA Jesus,VEN,CARDOZO Eduardo,CHADE Gabriel,EL FARIQ Hamza,6.5,7.9,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
102,Semifinais,,2026-07-15,VINCIC Slavko,SVN,DANILO MANIS,DANOS Nicolas,EVANS Shaun,5.0,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
103,Disputa de 3º lugar,,2026-07-18,WILTON SAMPAIO,BRA,DE ALMEIDA Stephane,DE VRIES Jan,FU Ming,4.9,5.1,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
104,Final,,2026-07-19,ZWAYER Felix,GER,DEL YESSO Maximiliano,DIETZ Christian,GALLO Nicolas,8.2,6.4,Escala simulada para cruzamento de estilos; não é designação oficial da FIFA.
