Grupo,Seleção,Código,Técnico,Primeiro(s) nome(s),Sobrenome,Nacionalidade,Estilo técnico,Sistema base,Intensidade,Posse,Pressão,Risco tático,Observação
D,Australia,AUS,POPOVIC Tony,Tony,POPOVIC,Australia,"organização, força física e jogo direto",4-4-2 / 4-2-3-1,alta,baixa-média,média,dificuldade contra blocos fechados,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
D,Paraguay,PAR,ALFARO Gustavo,Gustavo Julio,ALFARO,Argentina,"bloco baixo/médio, duelos e jogo reativo",4-4-2 / 4-2-3-1,alta,baixa-média,média,pouca criatividade em posse,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
D,Türkiye,TUR,MONTELLA Vincenzo,Vincenzo,MONTELLA,Italy,posse vertical e talento entrelinhas,4-2-3-1 / 4-3-3,alta,média-alta,média-alta,controle defensivo,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
D,USA,USA,POCHETTINO Mauricio,Mauricio Roberto,POCHETTINO TROSSERO,Argentina,"pressão, energia e 4-2-3-1 agressivo",4-2-3-1,alta,média-alta,alta,erros na primeira fase de construção,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
E,Curaçao,CUW,ADVOCAAT Dick,Dirk Nicolaas,ADVOCAAT,Netherlands,"pragmatismo, bloco compacto e experiência",4-2-3-1 / 5-4-1,média,baixa,baixa,sofre sem bola por longos períodos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
E,Côte D'Ivoire,CIV,FAE Emerse,Emerse,FAE,Côte D'Ivoire,"força física, transição e ataques pelos lados",4-3-3,alta,média,média-alta,controle do meio-campo,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
E,Ecuador,ECU,BECCACECE Sebastian,Sebastián Andrés,BECCACECE,Argentina,"pressão, intensidade e laterais altos",4-3-3 / 3-4-3,muito alta,média-alta,alta,faltas e cartões em duelos físicos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
E,Germany,GER,NAGELSMANN Julian,Julian,NAGELSMANN,Germany,"pressão, rotação posicional e jogo entrelinhas",4-2-3-1 / 3-4-2-1,alta,alta,alta,linha defensiva exposta,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
F,Japan,JPN,MORIYASU Hajime,Hajime,MORIYASU,Japan,"adaptação, intensidade e transição técnica",4-2-3-1 / 3-4-2-1,alta,média-alta,média-alta,duelos físicos aéreos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
F,Netherlands,NED,KOEMAN Ronald,Ronald,KOEMAN,Netherlands,construção controlada e variação com linha de 3,3-4-2-1 / 4-3-3,média-alta,alta,média-alta,espaço nas costas dos alas,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
F,Sweden,SWE,POTTER Graham,Graham Stephen,POTTER,England,"flexibilidade, construção e ocupação racional",3-4-2-1 / 4-2-3-1,média,média-alta,situacional,adaptação rápida ao elenco,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
F,Tunisia,TUN,RENARD Herve,Hervé Jean-Marie Roger,RENARD,France,"bloco compacto, físico e contra-ataque",4-4-2 / 5-4-1,média-alta,baixa,baixa-média,mudança recente de comando,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
G,Belgium,BEL,GARCIA Rudi,Rudi José,GARCIA,France,posse com veteranos criativos e transição,4-3-3 / 4-2-3-1,média,alta,situacional,retorno defensivo e envelhecimento,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
G,Egypt,EGY,HOSSAM HASSAN,Hossam Hassan Hassanein,HASSAN,Egypt,"verticalidade, Salah como foco e bloco competitivo",4-3-3 / 4-2-3-1,média-alta,média,situacional,dependência do lado direito ofensivo,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
G,IR Iran,IRN,GHALEHNOY Amir,Ardeshir,GHALEHNOY,IR Iran,"defesa compacta, jogo físico e bola parada",4-2-3-1,média,baixa-média,baixa,controle de posse adversário,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
G,New Zealand,NZL,BAZELEY Darren,Darren Shaun,BAZELEY,New Zealand,bloco baixo/médio e bola aérea,4-4-2 / 5-4-1,média,baixa,baixa,baixa criação em posse,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
H,Cabo Verde,CPV,BUBISTA,Pedro,LEITÃO BRITO,Cabo Verde,"organização, transição e agressividade física",4-3-3 / 4-2-3-1,alta,baixa-média,média,pouca profundidade de elenco,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
H,Saudi Arabia,KSA,DONIS Georgios,Georgios,DONIS,Greece,"intensidade, meio-campo técnico e transição",4-3-3 / 4-2-3-1,alta,média,média-alta,defesa em campo aberto,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
H,Spain,ESP,DE LA FUENTE Luis,Luis,DE LA FUENTE CASTILLO,Spain,"posse, pressão pós-perda e amplitude",4-3-3,alta,muito alta,alta,vulnerabilidade a transições longas,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
H,Uruguay,URU,BIELSA Marcelo,Marcelo Alberto,BIELSA,Argentina,"pressão homem a homem, ritmo alto e verticalidade",4-3-3 / 4-2-3-1,muito alta,média,alta,cartões e espaço às costas,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
I,France,FRA,DESCHAMPS Didier,Didier Claude,DESCHAMPS,France,"pragmatismo, transição e superioridade física",4-2-3-1 / 4-3-3,alta,média,situacional,excesso de dependência de transição,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
I,Iraq,IRQ,ARNOLD Graham,Graham James,ARNOLD,Australia,"organização, jogo direto e competitividade",4-2-3-1 / 4-4-2,média-alta,baixa-média,média,dificuldade sob pressão alta,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
I,Norway,NOR,SOLBAKKEN Stale,Ståle,SOLBAKKEN,Norway,"verticalidade, jogo para Haaland e força aérea",4-3-3 / 4-4-2,média-alta,média,média,previsibilidade ofensiva,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
I,Senegal,SEN,THIAW Pape,Pape Bouna,THIAW,Senegal,"potência, transição e bloco atlético",4-3-3 / 4-2-3-1,alta,média,média-alta,organização contra posse longa,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
J,Algeria,ALG,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,média,média,situacional,dependência de pontas e veteranos criativos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
J,Argentina,ARG,SCALONI Lionel,Lionel Sebastián,SCALONI,Argentina,"controle, flexibilidade e competitividade",4-3-3 / 4-4-2 ajustável,média-alta,alta,situacional,ritmo físico de veteranos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
J,Austria,AUT,RANGNICK Ralf,Ralf Dietrich,RANGNICK,Germany,"gegenpressing, verticalidade e pressão constante",4-2-2-2 / 4-2-3-1,muito alta,média,alta,espaço nas costas da pressão,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
J,Jordan,JOR,SELLAMI Jamal,Jamal,SELLAMI,Morocco,bloco compacto e transição,3-4-3 / 5-4-1,alta,baixa,baixa-média,profundidade de elenco e manutenção de ritmo,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
K,Colombia,COL,LORENZO Nestor,Nestor Gabriel,LORENZO,Argentina,"equilíbrio, lado forte ofensivo e transição",4-2-3-1 / 4-3-3,alta,média-alta,média-alta,dependência de criatividade entrelinhas,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
K,Congo DR,COD,DESABRE Sebastien,Sebastien Serge Louis,DESABRE,France,transição atlética e organização defensiva,4-2-3-1 / 4-3-3,alta,baixa-média,média,saída de bola sob pressão,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
K,Portugal,POR,MARTINEZ Roberto,Roberto,MARTÍNEZ MONTOLIU,Spain,"posse, amplitude e talento associativo",4-3-3 / 3-4-3,alta,alta,média-alta,equilíbrio entre estrelas ofensivas,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
K,Uzbekistan,UZB,CANNAVARO Fabio,Fabio,CANNAVARO,Italy,organização defensiva e transição cautelosa,4-2-3-1 / 5-4-1,média,baixa-média,baixa-média,produção ofensiva contra favoritos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
L,Croatia,CRO,DALIC Zlatko,Zlatko,DALIĆ,Croatia,"controle de meio, experiência e ritmo cadenciado",4-3-3,média,alta,situacional,velocidade defensiva em transição,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
L,England,ENG,TUCHEL Thomas,Thomas,TUCHEL,Germany,"controle, pressão em momentos e qualidade entrelinhas",4-2-3-1 / 3-4-2-1,alta,alta,média-alta,encaixe entre muitos jogadores criativos,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
L,Ghana,GHA,CARLOS QUEIROZ,Carlos Manuel,BRITO LEAL DE QUEIROZ,Portugal,"bloco baixo, disciplina defensiva e contra-ataque",4-3-3 / 4-5-1,média-alta,baixa-média,baixa-média,pouca criação sustentada,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
L,Panama,PAN,CHRISTIANSEN Thomas,Thomas,CHRISTIANSEN TARIN,Spain,"5-4-1, bloco baixo e contra-ataque",5-4-1,alta,baixa,baixa,sustentar pressão adversária,"Ver aba Fontes; estilo é leitura tática qualitativa, não dado oficial."
