selecao;jogos;vitorias;empates;derrotas;pontos;gols_pro;gols_contra;saldo_gols;xg_pro_fase_grupos;gols_acima_xg;pontos_por_jogo;xg_por_jogo;indice_desempenho_geral_0_100;impacto_modelo;tag_desempenho;jogador_destaque;fonte_resultado;fonte_xg;observacao
Estados Unidos;3;2;0;1;6;8;4;4;3.8;4.2;2;1.267;72.33;0.883;contra_pressao_forte;Folarin Balogun / Christian Pulisic;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Canadá;3;1;1;1;4;8;3;5;6.98;1.02;1.333;2.327;71.2;0.754;contra_pressao_forte;Jonathan David / Stephen Eustáquio;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Noruega;3;2;0;1;6;8;7;1;5.5;2.5;2;1.833;70.67;0.751;xg_acima_do_placar;Erling Haaland / Strand Larsen;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Colômbia;3;2;1;0;7;4;1;3;3.6;0.4;2.333;1.2;69.83;0.843;fase_grupos_forte;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Bélgica;3;1;2;0;5;6;2;4;5.8;0.2;1.667;1.933;69.67;0.733;alto_volume_finalizacoes;Leandro Trossard;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Portugal;3;1;2;0;5;6;1;5;3.2;2.8;1.667;1.067;67.5;0.672;fase_grupos_competitiva;Cristiano Ronaldo;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Japão;3;1;2;0;5;7;3;4;3.47;3.53;1.667;1.157;66.57;0.648;fase_grupos_competitiva;Kaishu Sano / Zion Suzuki;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Costa do Marfim;3;2;0;1;6;4;2;2;3.4;0.6;2;1.133;62.67;0.576;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Egito;3;1;2;0;5;5;3;2;4.1;0.9;1.667;1.367;60.83;0.464;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Croácia;3;2;0;1;6;5;5;0;2.4;2.6;2;0.8;58.33;0.413;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Senegal;3;1;0;2;3;8;6;2;4.6;3.4;1;1.533;56.67;0.228;banco_decisivo;Ismaila Sarr;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Suécia;3;1;1;1;4;7;7;0;3.4;3.6;1.333;1.133;53;0.168;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Áustria;3;1;1;1;4;6;6;0;3.1;2.9;1.333;1.033;51.83;0.117;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
RD Congo;3;1;1;1;4;4;3;1;2.8;1.2;1.333;0.933;50.17;0.105;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Equador;3;1;1;1;4;2;2;0;4.2;-2.2;1.333;1.4;47;0.034;contra_pressao_forte;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Argélia;3;1;1;1;4;5;7;-2;3.8;1.2;1.333;1.267;47;-0.029;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Bósnia e Herzegovina;3;1;1;1;4;5;6;-1;2.3;2.7;1.333;0.767;46.67;-0.033;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Irã;3;0;3;0;3;3;3;0;4.3;-1.3;1;1.433;44.17;-0.109;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Austrália;3;1;1;1;4;2;2;0;2.1;-0.1;1.333;0.7;43.5;-0.075;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Turquia;3;1;0;2;3;3;5;-2;6.2;-3.2;1;2.067;43.33;-0.158;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Gana;3;1;1;1;4;2;2;0;1.7;0.3;1.333;0.567;42.83;-0.095;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
África do Sul;3;1;1;1;4;2;3;-1;2.57;-0.57;1.333;0.857;42.12;-0.124;fase_grupos_competitiva;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Cabo Verde;3;0;3;0;3;2;2;0;2.6;-0.6;1;0.867;39.67;-0.232;goleiro_decisivo;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Coreia do Sul;3;1;0;2;3;2;3;-1;3.7;-1.7;1;1.233;39.33;-0.249;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Paraguai;3;1;1;1;4;2;4;-2;1.4;0.6;1.333;0.467;38;-0.258;bloco_baixo_penaltis;Julio Enciso / Orlando Gill;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Uruguai;3;0;2;1;2;3;4;-1;4.3;-1.3;0.667;1.433;37.33;-0.366;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Escócia;3;1;0;2;3;1;4;-3;3;-2;1;1;32.17;-0.467;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Arábia Saudita;3;0;2;1;2;1;5;-4;1.5;-0.5;0.667;0.5;22.83;-0.801;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Tchéquia;3;0;1;2;1;2;6;-4;2.2;-0.2;0.333;0.733;21;-0.913;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Nova Zelândia;3;0;1;2;1;4;10;-6;2.8;1.2;0.333;0.933;21;-0.959;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Catar;3;0;1;2;1;2;10;-8;1.6;0.4;0.333;0.533;15.67;-1.237;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Jordânia;3;0;0;3;0;3;8;-5;2;1;0;0.667;15.5;-1.145;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Curaçao;3;0;1;2;1;1;9;-8;1.2;-0.2;0.333;0.4;13.33;-1.293;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Panamá;3;0;0;3;0;0;4;-4;1.6;-1.6;0;0.533;12;-1.197;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Haiti;3;0;0;3;0;2;8;-6;1.6;0.4;0;0.533;11;-1.274;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Uzbequistão;3;0;0;3;0;2;11;-9;1.4;0.6;0;0.467;10.67;-1.5;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Tunísia;3;0;0;3;0;2;12;-10;1.1;0.9;0;0.367;10.17;-1.5;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
Iraque;3;0;0;3;0;1;12;-11;1.1;-0.1;0;0.367;8.5;-1.5;baixo_retorno_fase_grupos;NA;data/resultados_reais.csv;https://www.foxsports.com/soccer/fifa-world-cup/team-stats?category=standard&groupId=12&season=2026&sort=t_xg&sortOrder=desc;xG FOX ajustado para fase de grupos quando houve jogo de mata-mata já finalizado
