match_id,date,team1,team2,outcome_correct,score_correct,qualification_correct,brier_score,log_loss,goal_absolute_error,primary_factor,significance
27,2026-06-18,Canadá,Catar,False,False,NA,0.22306382,1.0934188,6,red_card_imbalance,acaso
28,2026-06-18,México,Coreia do Sul,True,True,NA,0.16171363,0.84096297,0,finishing_efficiency,tendencia_real
29,2026-06-19,Brasil,Haiti,True,False,NA,0.10284392,0.60306519,2,finishing_efficiency,erro_estatistico
30,2026-06-19,Escócia,Marrocos,False,False,NA,0.31662883,1.52279702,2,first_goal,erro_estatistico
31,2026-06-19,Turquia,Paraguai,False,False,NA,0.32238318,1.55640438,2,red_card_imbalance,acaso
32,2026-06-19,Estados Unidos,Austrália,True,False,NA,0.10078082,0.59448445,1,finishing_efficiency,erro_estatistico
33,2026-06-20,Alemanha,Costa do Marfim,True,False,NA,0.06193277,0.42978649,1,shots_on_target_dominance,erro_estatistico
34,2026-06-20,Equador,Curaçao,False,False,NA,0.31428609,1.43124152,1,shots_on_target_dominance,tendencia_real
35,2026-06-20,Países Baixos,Suécia,True,False,NA,0.18433013,0.93190703,4,finishing_efficiency,tendencia_real
36,2026-06-20,Tunísia,Japão,True,False,NA,0.02480584,0.24698041,2,shots_on_target_dominance,erro_estatistico
37,2026-06-21,Uruguai,Cabo Verde,False,False,NA,0.27316294,1.30611259,3,first_goal,mudanca_estrutural
38,2026-06-21,Espanha,Arábia Saudita,True,False,NA,0.15775473,0.82343128,4,shots_on_target_dominance,tendencia_real
39,2026-06-21,Bélgica,Irã,False,False,NA,0.27427066,1.31769037,2,red_card_imbalance,acaso
40,2026-06-21,Nova Zelândia,Egito,True,False,NA,0.2012351,1.00100475,2,first_goal,erro_estatistico
41,2026-06-22,Noruega,Senegal,True,False,NA,0.06265666,0.43483882,3,shots_on_target_dominance,erro_estatistico
42,2026-06-22,França,Iraque,True,True,NA,0.01700141,0.19968829,0,shots_on_target_dominance,erro_estatistico
43,2026-06-22,Argentina,Áustria,True,False,NA,0.11766688,0.66365828,2,shots_on_target_dominance,erro_estatistico
44,2026-06-22,Jordânia,Argélia,True,False,NA,0.16163546,0.83968624,1,shots_on_target_dominance,tendencia_real
45,2026-06-23,Inglaterra,Gana,False,False,NA,0.39784402,1.7540187,2,scoreline_only,erro_estatistico
46,2026-06-23,Panamá,Croácia,False,False,NA,0.23021798,1.11870072,1,finishing_efficiency,tendencia_real
47,2026-06-23,Portugal,Uzbequistão,True,False,NA,0.02284098,0.23684448,3,shots_on_target_dominance,erro_estatistico
48,2026-06-23,Colômbia,RD Congo,True,True,NA,0.05629935,0.40583818,0,shots_on_target_dominance,erro_estatistico
49,2026-06-24,Escócia,Brasil,True,False,NA,0.14159861,0.75882769,3,shots_on_target_dominance,tendencia_real
50,2026-06-24,Marrocos,Haiti,True,False,NA,0.04846425,0.37035813,4,shots_on_target_dominance,erro_estatistico
51,2026-06-24,Suíça,Canadá,False,False,NA,0.20933191,1.02615582,1,shots_on_target_dominance,tendencia_real
52,2026-06-24,Bósnia e Herzegovina,Catar,False,False,NA,0.33256464,1.56999126,2,first_goal,erro_estatistico
53,2026-06-24,Tchéquia,México,True,False,NA,0.02941351,0.2728355,1,shots_on_target_dominance,erro_estatistico
54,2026-06-24,África do Sul,Coreia do Sul,False,False,NA,0.40898597,1.95498924,3,first_goal,erro_estatistico
55,2026-06-25,Curaçao,Costa do Marfim,True,True,NA,0.04198681,0.34018311,0,finishing_efficiency,erro_estatistico
56,2026-06-25,Equador,Alemanha,False,False,NA,0.56118429,3.27449425,3,finishing_efficiency,tendencia_real
57,2026-06-25,Japão,Suécia,False,False,NA,0.41218917,1.81266855,2,first_goal,erro_estatistico
58,2026-06-25,Tunísia,Países Baixos,True,False,NA,0.00041771,0.02754285,2,shots_on_target_dominance,erro_estatistico
59,2026-06-25,Turquia,Estados Unidos,False,False,NA,0.53326786,2.92393268,3,shots_on_target_dominance,tendencia_real
60,2026-06-25,Paraguai,Austrália,False,False,NA,0.29978442,1.43155117,2,shots_on_target_dominance,tendencia_real
61,2026-06-26,Noruega,França,True,False,NA,0.18836525,0.94692779,3,shots_on_target_dominance,tendencia_real
62,2026-06-26,Senegal,Iraque,True,False,NA,0.0884997,0.54501342,3,red_card_imbalance,erro_estatistico
63,2026-06-26,Egito,Irã,False,True,NA,0.26434185,1.29861321,0,first_goal,mudanca_estrutural
64,2026-06-26,Nova Zelândia,Bélgica,True,False,NA,0.07102935,0.47068706,4,shots_on_target_dominance,erro_estatistico
65,2026-06-26,Cabo Verde,Arábia Saudita,False,False,NA,0.26655146,1.30732792,2,scoreline_only,mudanca_estrutural
66,2026-06-26,Uruguai,Espanha,True,False,NA,0.10824402,0.62575773,1,red_card_imbalance,acaso
67,2026-06-27,Panamá,Inglaterra,True,False,NA,0.126881,0.70050619,2,shots_on_target_dominance,tendencia_real
68,2026-06-27,Croácia,Gana,True,False,NA,0.12858069,0.7073455,1,shots_on_target_dominance,tendencia_real
69,2026-06-27,Argélia,Áustria,False,False,NA,0.26493585,1.28840206,4,first_goal,erro_estatistico
70,2026-06-27,Jordânia,Argentina,True,False,NA,0.01589272,0.19186293,1,shots_on_target_dominance,erro_estatistico
71,2026-06-27,Colômbia,Portugal,False,False,NA,0.26232219,1.28100145,2,shots_on_target_dominance,tendencia_real
72,2026-06-27,RD Congo,Uzbequistão,True,False,NA,0.1108998,0.63601288,3,shots_on_target_dominance,erro_estatistico
73,2026-06-28,África do Sul,Canadá,True,False,True,0.08704806,0.53822251,1,shots_on_target_dominance,erro_estatistico
74,2026-06-29,Alemanha,Paraguai,False,False,False,0.34344632,1.49920777,2,shots_on_target_dominance,tendencia_real
75,2026-06-29,Países Baixos,Marrocos,False,False,False,0.27633996,1.3098001,1,shots_on_target_dominance,tendencia_real
76,2026-06-29,Brasil,Japão,True,False,True,0.13063274,0.71558504,1,shots_on_target_dominance,tendencia_real
77,2026-06-30,França,Suécia,True,False,True,0.05008518,0.37684412,1,shots_on_target_dominance,erro_estatistico
78,2026-06-30,Costa do Marfim,Noruega,False,False,True,0.20811523,1.03085458,1,finishing_efficiency,tendencia_real
79,2026-06-30,México,Equador,True,False,True,0.06474308,0.44009693,1,red_card_imbalance,erro_estatistico
80,2026-07-01,Inglaterra,RD Congo,True,False,True,0.09182164,0.55795043,2,shots_on_target_dominance,erro_estatistico
81,2026-07-01,Estados Unidos,Bósnia e Herzegovina,True,True,True,0.04202483,0.33721972,0,red_card_imbalance,erro_estatistico
82,2026-07-01,Bélgica,Senegal,True,False,True,0.12383633,0.68829099,4,first_goal,erro_estatistico
83,2026-07-02,Portugal,Croácia,True,False,True,0.13144199,0.71885481,1,shots_on_target_dominance,tendencia_real
84,2026-07-02,Espanha,Áustria,True,False,True,0.10008768,0.59257813,2,shots_on_target_dominance,erro_estatistico
85,2026-07-02,Suíça,Argélia,True,True,True,0.0660839,0.44856939,0,shots_on_target_dominance,erro_estatistico
86,2026-07-03,Argentina,Cabo Verde,True,False,True,0.01926535,0.21305833,3,shots_on_target_dominance,erro_estatistico
87,2026-07-03,Colômbia,Gana,True,False,True,0.03938079,0.32472926,1,shots_on_target_dominance,erro_estatistico
88,2026-07-03,Austrália,Egito,False,True,False,0.27061819,1.33061371,0,first_goal,mudanca_estrutural
89,2026-07-04,Paraguai,França,True,False,True,0.03184387,0.28589966,1,shots_on_target_dominance,erro_estatistico
90,2026-07-04,Canadá,Marrocos,False,False,False,0.26684536,1.27565142,3,finishing_efficiency,tendencia_real
91,2026-07-05,Brasil,Noruega,False,False,False,0.3399281,1.61679491,2,finishing_efficiency,tendencia_real
92,2026-07-05,México,Inglaterra,False,False,False,0.28607135,1.36827371,4,red_card_imbalance,acaso
93,2026-07-06,Portugal,Espanha,True,False,True,0.19739258,0.98085592,1,shots_on_target_dominance,tendencia_real
94,2026-07-06,Estados Unidos,Bélgica,False,False,False,0.24042792,1.16277648,3,shots_on_target_dominance,tendencia_real
95,2026-07-07,Argentina,Egito,True,False,True,0.02603143,0.25422924,3,shots_on_target_dominance,erro_estatistico
96,2026-07-07,Suíça,Colômbia,False,False,True,0.27091409,1.31264621,2,penalty_shootout,acaso
97,2026-07-09,França,Marrocos,True,False,True,0.12542778,0.69483861,2,shots_on_target_dominance,tendencia_real
98,2026-07-10,Espanha,Bélgica,True,False,True,0.17839554,0.90505657,1,shots_on_target_dominance,tendencia_real
99,2026-07-11,Noruega,Inglaterra,True,False,True,0.13143392,0.71881787,1,shots_on_target_dominance,tendencia_real
100,2026-07-11,Argentina,Suíça,True,False,True,0.14157134,0.75944725,2,red_card_imbalance,acaso
101,2026-07-14,França,Espanha,True,False,True,0.17038234,0.87187201,2,finishing_efficiency,tendencia_real
102,2026-07-15,Inglaterra,Argentina,True,False,True,0.11961688,0.67161076,1,shots_on_target_dominance,erro_estatistico
103,2026-07-18,França,Inglaterra,False,False,True,0.20489396,1.01070856,8,first_goal,erro_estatistico
104,2026-07-19,Espanha,Argentina,False,False,False,0.21538346,1.05290115,1,red_card_imbalance,acaso
