incoming_jogo,canonical_jogo,incoming_date,canonical_date,incoming_team1,incoming_team2,canonical_team1,canonical_team2,id_changed,date_changed
78,78,2026-06-30,2026-06-30,Costa do Marfim,Noruega,Costa do Marfim,Noruega,False,False
79,79,2026-06-30,2026-06-30,México,Equador,México,Equador,False,False
80,80,2026-07-01,2026-07-01,Inglaterra,RD Congo,Inglaterra,RD Congo,False,False
81,81,2026-07-01,2026-07-01,Estados Unidos,Bósnia e Herzegovina,Estados Unidos,Bósnia e Herzegovina,False,False
82,82,2026-07-01,2026-07-01,Bélgica,Senegal,Bélgica,Senegal,False,False
83,83,2026-07-02,2026-07-02,Portugal,Croácia,Portugal,Croácia,False,False
84,84,2026-07-02,2026-07-02,Espanha,Áustria,Espanha,Áustria,False,False
85,85,2026-07-02,2026-07-02,Suíça,Argélia,Suíça,Argélia,False,False
86,86,2026-07-03,2026-07-03,Argentina,Cabo Verde,Argentina,Cabo Verde,False,False
87,87,2026-07-03,2026-07-03,Colômbia,Gana,Colômbia,Gana,False,False
88,88,2026-07-03,2026-07-03,Austrália,Egito,Austrália,Egito,False,False
90,89,2026-07-04,2026-07-04,Paraguai,França,Paraguai,França,True,False
89,90,2026-07-04,2026-07-04,Canadá,Marrocos,Canadá,Marrocos,True,False
91,91,2026-07-05,2026-07-05,Brasil,Noruega,Brasil,Noruega,False,False
92,92,2026-07-05,2026-07-05,México,Inglaterra,México,Inglaterra,False,False
93,93,2026-07-06,2026-07-06,Portugal,Espanha,Portugal,Espanha,False,False
94,94,2026-07-06,2026-07-06,Estados Unidos,Bélgica,Estados Unidos,Bélgica,False,False
95,95,2026-07-07,2026-07-07,Argentina,Egito,Argentina,Egito,False,False
96,96,2026-07-07,2026-07-07,Suíça,Colômbia,Suíça,Colômbia,False,False
97,97,2026-07-09,2026-07-09,Marrocos,França,França,Marrocos,False,False
98,98,2026-07-10,2026-07-10,Espanha,Bélgica,Espanha,Bélgica,False,False
99,99,2026-07-11,2026-07-11,Noruega,Inglaterra,Noruega,Inglaterra,False,False
100,100,2026-07-11,2026-07-11,Suíça,Argentina,Argentina,Suíça,False,False
101,101,2026-07-14,2026-07-14,França,Espanha,França,Espanha,False,False
102,102,2026-07-15,2026-07-15,Inglaterra,Argentina,Inglaterra,Argentina,False,False
103,103,2026-07-18,2026-07-18,França,Inglaterra,França,Inglaterra,False,False
104,104,2026-07-19,2026-07-19,Espanha,Argentina,Espanha,Argentina,False,False
